ticker,bought,buy,stop,risk%,ext_vs_SMA%,pos%,exit,exit_px,why,held_wk,R,gap_through,giveback,crash,GAP
INDOSTAR,2020-08-31,310.5,254.3,18.1,23.5,11.0,2020-12-01,295.2,time,13,-0.27,False,False,False,late/extended-entry
SUDARSCHEM,2020-09-21,509.4,422.4,17.1,26.8,12.0,2020-12-21,469.7,time,13,-0.46,False,False,False,late/extended-entry
INDOCO,2020-09-21,269.5,217.8,19.2,27.1,10.0,2020-12-21,266.5,time,13,-0.06,False,False,False,late/extended-entry
KRBL,2020-09-29,274.3,233.0,15.1,18.4,13.0,2020-12-28,236.9,time,13,-0.9,False,False,False,late/extended-entry
GRSE,2020-10-05,201.2,158.2,21.4,23.5,9.0,2021-01-04,186.0,time,13,-0.35,False,False,False,late/extended-entry
IDBI,2020-10-19,36.3,31.6,13.2,17.2,15.0,2020-12-28,30.6,stop,10,-1.2,True,False,False,late/extended-entry
INDOSTAR,2020-12-10,349.9,294.9,15.7,25.4,13.0,2021-03-08,327.0,time,13,-0.42,False,False,False,late/extended-entry
TTKPRESTIG,2021-02-15,712.7,566.2,20.6,29.3,10.0,2021-05-17,690.0,time,13,-0.15,False,False,False,late/extended-entry
RELCAPITAL,2021-03-15,13.8,10.5,23.9,39.0,8.0,2021-04-19,9.7,stop,5,-1.24,True,False,False,late/extended-entry
INFIBEAM,2021-03-30,23.8,20.2,15.0,19.0,13.0,2021-04-26,20.2,stop,4,-1.0,False,False,False,late/extended-entry
EPL,2021-06-22,252.6,223.6,11.5,14.5,17.0,2021-07-19,220.4,stop,4,-1.11,True,False,False,late/extended-entry
SYNGENE,2021-07-19,650.5,569.5,12.5,14.0,16.0,2021-10-18,608.7,time,13,-0.52,False,False,False,late/extended-entry
CSBBANK,2021-07-26,350.0,274.4,21.6,33.0,9.0,2021-10-25,309.9,time,13,-0.53,False,False,False,late/extended-entry
BHEL,2021-10-04,65.1,55.2,15.2,22.9,13.0,2022-01-03,58.2,time,13,-0.69,False,False,False,late/extended-entry
DBL,2021-10-11,661.4,565.0,14.6,22.3,14.0,2021-11-22,545.9,stop,6,-1.2,True,False,False,late/extended-entry
IRCON,2021-10-25,46.6,39.5,15.4,21.1,13.0,2022-01-24,41.4,time,13,-0.72,False,False,False,late/extended-entry
KARURVYSYA,2021-11-16,44.4,39.5,10.9,11.0,18.0,2021-11-29,38.8,stop,2,-1.14,True,False,False,gap-through-stop
WELCORP,2021-11-29,161.7,135.3,16.3,26.3,12.0,2022-02-28,133.9,stop,13,-1.05,True,False,False,late/extended-entry
ZENSARTECH,2021-12-06,414.5,357.5,13.8,19.8,15.0,2022-02-21,337.5,stop,11,-1.35,True,False,False,late/extended-entry
SIS,2022-01-24,507.3,428.3,15.6,14.4,13.0,2022-04-25,490.8,time,13,-0.21,False,False,False,late/extended-entry
AFFLE,2022-02-21,1175.1,1070.0,8.9,10.4,22.0,2022-05-16,1045.0,stop,12,-1.24,True,False,False,gap-through-stop
SUNTECK,2022-02-28,473.8,406.8,14.1,15.5,14.0,2022-05-16,382.3,stop,11,-1.37,True,False,False,late/extended-entry
ANGELONE,2022-03-21,153.3,115.6,24.6,38.0,8.0,2022-06-20,111.9,stop,13,-1.1,True,False,False,late/extended-entry
JAMNAAUTO,2022-04-25,104.5,94.8,9.2,14.2,22.0,2022-05-09,94.6,stop,2,-1.02,True,False,False,late/extended-entry
CRISIL,2022-04-25,3160.5,2811.2,11.1,15.0,18.0,2022-07-25,3124.4,time,13,-0.1,False,False,False,late/extended-entry
