ticker,first_seen,last_seen
GULFOILLUB,2018-10-04,2020-07-25
GVKPIL,2018-10-04,2019-02-01
HATHWAY,2018-10-04,2022-05-04
HATSUN,2018-10-04,2022-10-09
HCC,2018-10-04,2019-02-01
HCL-INSYS,2018-10-04,2019-02-01
HDBFS,2026-05-02,2026-05-02
HEIDELBERG,2018-10-04,2020-07-25
HEMIPROP,2022-05-04,2022-05-04
HERITGFOOD,2018-10-04,2020-07-25
HEXAWARE,2018-10-04,2020-07-25
HEXT,2026-01-07,2026-05-02
HGS,2022-05-04,2023-04-04
HIKAL,2022-05-04,2023-04-04
HIMATSEIDE,2018-10-04,2020-07-25
HLEGLAS,2022-05-04,2024-02-26
HSIL,2018-10-04,2018-10-04
IBREALEST,2018-10-04,2023-04-04
IBULHSGFIN,2018-10-04,2024-02-26
IBVENTURES,2018-10-04,2020-07-25
ICICIAMC,2026-05-02,2026-05-02
ICIL,2018-10-04,2022-05-04
ICRA,2020-07-25,2020-07-25
IFBIND,2018-10-04,2023-04-04
IIFLWAM,2020-07-25,2022-10-09
IL&FSTRANS,2018-10-04,2019-02-01
INDIGOPNTS,2022-05-04,2024-02-26
INDOCO,2018-10-04,2022-10-09
INDOSTAR,2020-07-25,2020-07-25
INFIBEAM,2018-10-04,2024-02-26
INFRATEL,2018-10-04,2020-07-25
INGERRAND,2020-07-25,2024-02-26
INOXLEISUR,2018-10-04,2022-10-09
ISEC,2018-10-04,2024-02-26
ITCHOTELS,2026-01-07,2026-05-02
ITDC,2018-10-04,2020-07-25
ITDCEM,2018-10-04,2019-02-01
JAGRAN,2018-10-04,2020-07-25
JAICORPLTD,2018-10-04,2020-07-25
JAINREC,2026-05-02,2026-05-02
JAMNAAUTO,2020-07-25,2024-02-26
JCHAC,2018-10-04,2020-07-25
JETAIRWAYS,2018-10-04,2019-02-01
JINDWORLD,2023-04-04,2023-04-04
JISLJALEQS,2018-10-04,2019-02-01
JKIL,2018-10-04,2019-02-01
JKLAKSHMI,2018-10-04,2024-02-26
JKPAPER,2020-07-25,2024-02-26
JPASSOCIAT,2018-10-04,2019-02-01
JSLHISAR,2018-10-04,2022-05-04
JSWCEMENT,2026-01-07,2026-05-02
JSWDULUX,2026-05-02,2026-05-02
KENNAMET,2023-04-04,2023-04-04
KIOCL,2018-10-04,2019-02-01
KOLTEPATIL,2018-10-04,2020-07-25
KRBL,2018-10-04,2024-02-26
KSB,2020-07-25,2026-01-07
KSCL,2018-10-04,2020-07-25
KTKBANK,2018-10-04,2020-07-25
LAKSHVILAS,2018-10-04,2019-02-01
LAOPALA,2020-07-25,2020-07-25
LAXMIMACH,2018-10-04,2024-02-26
LENSKART,2026-05-02,2026-05-02
LGEINDIA,2026-05-02,2026-05-02
LTI,2018-10-04,2022-10-09
LTM,2026-05-02,2026-05-02
LUXIND,2018-10-04,2024-02-26
LXCHEM,2022-05-04,2024-02-26
MAHINDCIE,2018-10-04,2023-04-04
MAHLIFE,2022-10-09,2024-02-26
MAHLOG,2018-10-04,2023-04-04
MAHSCOOTER,2020-07-25,2026-01-07
MANPASAND,2018-10-04,2019-02-01
MASFIN,2018-10-04,2020-07-25
MAXINDIA,2018-10-04,2019-02-01
MCLEODRUSS,2018-10-04,2019-02-01
MEDPLUS,2022-05-04,2024-02-26
MEESHO,2026-05-02,2026-05-02
MERCK,2018-10-04,2019-02-01
METROBRAND,2022-05-04,2024-02-26
MFL,2023-04-04,2023-04-04
MHRIL,2018-10-04,2024-02-26
MIDHANI,2020-07-25,2020-07-25
MINDTREE,2018-10-04,2022-05-04
MOIL,2018-10-04,2022-10-09
MTARTECH,2022-05-04,2024-02-26
NAVKARCORP,2018-10-04,2019-02-01
NAZARA,2022-05-04,2024-02-26
NBVENTURES,2018-10-04,2020-07-25
NESCO,2018-10-04,2022-05-04
NFL,2018-10-04,2020-07-25
NIITLTD,2022-10-09,2022-10-09
NILKAMAL,2018-10-04,2020-07-25
NOCIL,2022-05-04,2023-04-04
NUVOCO,2022-05-04,2026-05-02
OMAXE,2018-10-04,2020-07-25
ONESOURCE,2026-01-07,2026-05-02
ORIENTBANK,2018-10-04,2019-02-01
ORIENTCEM,2018-10-04,2020-07-25
ORIENTELEC,2020-07-25,2024-02-26
ORIENTREF,2020-07-25,2020-07-25
PARADEEP,2026-05-02,2026-05-02
PARAGMILK,2018-10-04,2019-02-01
PCJEWELLER,2018-10-04,2019-02-01
PFS,2018-10-04,2019-02-01
PGHH,2018-10-04,2026-01-07
PGHL,2020-07-25,2024-02-26
PHILIPCARB,2018-10-04,2020-07-25
PINELABS,2026-05-02,2026-05-02
PIRAMALFIN,2026-05-02,2026-05-02
POLYPLEX,2022-05-04,2024-02-26
PRINCEPIPE,2022-05-04,2024-02-26
PRIVISCL,2022-05-04,2022-10-09
PRSMJOHNSN,2018-10-04,2024-02-26
PTC,2018-10-04,2020-07-25
PVR,2018-10-04,2023-04-04
PWL,2026-05-02,2026-05-02
QUESS,2018-10-04,2024-02-26
RAIN,2018-10-04,2024-02-26
RAJESHEXPO,2018-10-04,2024-02-26
RALLIS,2018-10-04,2024-02-26
RATNAMANI,2020-07-25,2024-02-26
RBA,2022-05-04,2024-02-26
RCOM,2018-10-04,2019-02-01
RELAXO,2018-10-04,2024-02-26
RELCAPITAL,2018-10-04,2019-02-01
RELINFRA,2018-10-04,2026-01-07
REPCOHOME,2018-10-04,2020-07-25
RHFL,2018-10-04,2019-02-01
RNAVAL,2018-10-04,2019-02-01
ROSSARI,2022-05-04,2024-02-26
RUPA,2018-10-04,2019-02-01
RUSTOMJEE,2023-04-04,2023-04-04
SADBHAV,2018-10-04,2020-07-25
SADBHIN,2018-10-04,2019-02-01
SAFARI,2024-02-07,2024-02-26
SANOFI,2018-10-04,2024-02-26
SEQUENT,2020-07-25,2022-05-04
SFL,2019-02-01,2024-02-26
SHANKARA,2018-10-04,2019-02-01
SHARDACROP,2022-10-09,2024-02-26
SHILPAMED,2018-10-04,2022-10-09
SHK,2018-10-04,2019-02-01
SHOPERSTOP,2018-10-04,2024-02-26
SIS,2018-10-04,2022-10-09
SOLARA,2022-05-04,2022-05-04
SOUTHBANK,2018-10-04,2020-07-25
SPANDANA,2020-07-25,2020-07-25
SPARC,2018-10-04,2024-02-26
SPICEJET,2020-07-25,2022-05-04
SPLPETRO,2026-05-02,2026-05-02
SPTL,2018-10-04,2019-02-01
SREINFRA,2018-10-04,2019-02-01
STAR,2018-10-04,2022-05-04
STARCEMENT,2018-10-04,2020-07-25
STLTECH,2022-05-04,2024-02-26
STRTECH,2018-10-04,2020-07-25
SUDARSCHEM,2018-10-04,2022-10-09
SUNTECK,2018-10-04,2024-02-26
SUPRAJIT,2020-07-25,2024-02-26
SUVEN,2018-10-04,2019-02-01
SUVENPHAR,2022-05-04,2024-02-26
SWANCORP,2026-01-07,2026-05-02
SYMPHONY,2018-10-04,2024-02-26
SYNDIBANK,2018-10-04,2019-02-01
TAKE,2018-10-04,2020-07-25
TASTYBITE,2020-07-25,2020-07-25
TATACAP,2026-05-02,2026-05-02
TATAMTRDVR,2018-10-04,2024-02-26
TATASPONGE,2018-10-04,2019-02-01
TATASTLBSL,2020-07-25,2020-07-25
TATASTLLP,2022-05-04,2022-05-04
TCI,2022-10-09,2023-04-04
TCIEXP,2020-07-25,2023-04-04
TCNSBRANDS,2020-07-25,2023-04-04
TEAMLEASE,2018-10-04,2024-02-26
TEGA,2026-05-02,2026-05-02
TENNIND,2026-05-02,2026-05-02
TEXRAIL,2018-10-04,2019-02-01
THELEELA,2026-01-07,2026-05-02
THOMASCOOK,2018-10-04,2019-02-01
THYROCARE,2018-10-04,2022-10-09
TIFIN,2018-10-04,2019-02-01
TIMETECHNO,2018-10-04,2020-07-25
TMB,2023-04-04,2023-04-04
TMCV,2026-05-02,2026-05-02
TMPV,2026-01-07,2026-05-02
TNPL,2018-10-04,2019-02-01
TRAVELFOOD,2026-05-02,2026-05-02
TTKPRESTIG,2018-10-04,2024-02-26
TV18BRDCST,2018-10-04,2024-02-26
TVSSRICHAK,2018-10-04,2019-02-01
TVTODAY,2018-10-04,2020-07-25
UFLEX,2018-10-04,2023-04-04
UJJIVAN,2018-10-04,2020-07-25
UJJIVANSFB,2020-07-25,2024-02-26
UNICHEMLAB,2018-10-04,2019-02-01
URBANCO,2026-05-02,2026-05-02
VAIBHAVGBL,2020-07-25,2024-02-26
VAKRANGEE,2018-10-04,2022-05-04
VARROC,2019-02-01,2024-02-26
VENKEYS,2018-10-04,2022-05-04
VENTIVE,2026-01-07,2026-01-07
VESUVIUS,2020-07-25,2020-07-25
VIJAYABANK,2018-10-04,2018-10-04
VINATIORGA,2018-10-04,2024-02-26
VIPIND,2018-10-04,2024-02-26
VMART,2018-10-04,2024-02-26
VRLLOG,2018-10-04,2020-07-25
VSTIND,2020-07-25,2020-07-25
WABAG,2018-10-04,2019-02-01
ZOMATO,2022-05-04,2024-02-26
ZYDUSWELL,2018-10-04,2026-05-02
