ticker,signal_date,entry_date,exit_date,why,close_sig,st_line,ema200,pivot,atr14,entry_px,stop_px,target_px,exit_px,R,mfe_R,mae_R,held_d,stop_pct,gap_flag,pnl
SUPREMEIND,2019-02-26,2019-02-27,2019-05-07,stop,1029.23,,1007.3,1024.86,41.94,1028.86,945.34,1195.9,945.34,-1.0,0.94,-1.05,42,8.1,False,-8601.0
LALPATHLAB,2019-04-15,2019-04-16,2019-05-08,stop,504.51,,461.08,492.61,14.88,504.61,474.76,564.3,474.76,-1.0,0.55,-1.01,12,5.9,False,-6896.0
TEXRAIL,2019-05-02,2019-05-03,2019-05-09,stop,59.91,,59.24,59.77,2.12,59.37,55.67,66.77,55.67,-1.0,0.08,-1.02,4,6.2,False,-6989.0
SIS,2019-05-06,2019-05-07,2019-05-09,stop,458.58,,427.43,407.12,16.64,448.0,425.29,493.41,425.29,-1.0,0.06,-1.48,2,5.1,False,-5700.0
LT,2019-05-07,2019-05-08,2019-05-13,stop,1216.0,,1184.2,1209.76,21.51,1213.6,1172.99,1294.83,1172.99,-1.0,0.11,-1.14,3,3.3,False,-3937.0
TRIDENT,2019-03-18,2019-03-19,2019-05-15,stop,5.8,,5.47,5.78,0.22,5.83,5.36,6.77,5.36,-1.0,0.73,-1.36,35,8.1,False,-9061.0
DCMSHRIRAM,2019-05-02,2019-05-03,2019-05-16,target,422.13,,348.97,399.03,15.82,423.45,390.49,489.38,489.38,2.0,2.49,-0.6,9,7.8,False,15643.0
UNOMINDA,2019-05-10,2019-05-13,2019-05-16,stop,168.88,,166.82,168.13,6.27,171.25,156.34,201.08,156.34,-1.0,0.0,-1.2,3,8.7,False,-9386.0
ATUL,2018-10-12,2018-10-15,2019-05-17,target,3122.97,,2755.19,3050.55,126.86,3163.28,2869.25,3751.33,3751.33,2.0,2.06,-0.66,142,9.3,False,19911.0
CUB,2019-05-15,2019-05-16,2019-05-23,target,141.21,,132.47,140.96,3.28,141.14,134.66,154.11,154.11,2.0,2.25,0.0,5,4.6,False,8671.0
AARTIIND,2019-03-27,2019-03-28,2019-05-24,target,377.33,,325.65,371.25,12.45,376.05,352.43,423.3,423.3,2.0,2.21,-0.52,36,6.3,False,12903.0
DBL,2019-05-24,2019-05-27,2019-06-04,stop,609.51,,563.56,597.37,27.54,617.56,554.42,743.84,554.42,-1.0,0.0,-1.11,6,10.2,False,-11270.0
GSPL,2019-06-12,2019-06-13,2019-06-14,stop,195.8,,181.47,191.05,6.88,195.25,182.03,221.68,182.03,-1.0,0.0,-1.33,1,6.8,False,-7653.0
TTKPRESTIG,2019-05-15,2019-05-16,2019-06-17,stop,695.82,,597.44,674.49,19.49,689.12,656.85,753.66,656.85,-1.0,0.85,-1.03,21,4.7,False,-5175.0
TRENT,2019-05-14,2019-05-15,2019-06-25,target,370.89,,343.62,360.86,13.63,373.47,343.63,433.16,433.16,2.0,2.41,-0.52,28,8.0,False,15551.0
ADANIPOWER,2019-06-24,2019-06-25,2019-07-01,target,10.03,,8.72,9.65,0.52,10.06,8.99,12.19,12.19,2.0,2.05,0.0,4,10.6,False,21496.0
INDIANB,2019-05-24,2019-05-27,2019-07-08,stop,227.23,,223.57,223.76,9.61,228.64,208.0,269.91,208.0,-1.0,1.06,-1.17,29,9.0,False,-10011.0
SUPREMEIND,2019-06-28,2019-07-01,2019-07-08,stop,1062.27,,1004.38,1056.42,30.3,1061.3,1001.68,1180.55,1001.68,-1.0,0.33,-1.01,5,5.6,False,-6441.0
SUVEN,2019-05-09,2019-05-10,2019-07-11,stop,12.05,,10.26,12.02,0.38,11.99,11.29,13.41,11.29,-1.0,1.66,-1.66,43,5.9,False,-6471.0
COLPAL,2019-07-05,2019-07-08,2019-07-11,stop,1005.31,,1003.7,982.82,18.01,1005.31,969.28,1077.36,969.28,-1.0,0.0,-1.06,3,3.6,False,-4348.0
