tkr,sig_date,entry_date,entry,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
ORIENTREF,2021-04-22,2021-04-27,306.7,255.93,2.0,,,2021-10-01,348.14,stall,109,0.816,False,12610.05,210.93
TRIDENT,2021-05-07,2021-05-12,17.38,12.74,2.0,2021-10-01,26.665584367474494,2021-10-06,31.31,target3,101,2.5,False,42567.22,172.5
ANGELONE,2021-09-28,2021-10-01,122.9,113.73,2.0,2021-10-13,141.23771372176742,2021-10-13,150.41,target3,8,2.5,False,49878.45,609.84
ASTERDM,2021-08-17,2021-08-20,140.36,121.21,2.0,2021-09-02,178.66990211980527,2021-10-21,144.18,deep_half,42,1.1,False,19594.22,295.6
AAVAS,2021-10-08,2021-10-13,2838.1,2627.37,2.0,,,2021-10-25,2627.37,stop,7,-1.0,False,-23774.66,565.3
SPARC,2021-07-29,2021-08-03,280.95,239.61,2.0,,,2021-10-26,273.5,stall,57,-0.18,False,-4473.74,264.14
MAHLOG,2021-07-28,2021-08-02,725.24,589.89,2.0,,,2021-10-27,661.54,deep,59,-0.471,False,-9820.97,198.66
TRITURBINE,2021-08-16,2021-08-18,129.31,111.52,2.0,2021-10-01,164.9061245468873,2021-10-27,182.7,target3,47,2.5,False,46327.77,323.36
IDBI,2021-10-08,2021-10-13,55.51,42.54,2.0,,,2021-11-29,44.2,stall,30,-0.873,False,-19320.67,167.67
CDSL,2021-10-20,2021-10-25,666.01,619.87,2.0,2021-11-15,758.2881897165782,2021-11-29,619.87,stop_half,23,0.5,False,8600.7,635.94
CYIENT,2021-07-14,2021-07-19,945.55,771.46,2.0,,,2021-12-01,924.64,deep,91,-0.12,False,-3080.62,209.86
CRISIL,2021-11-11,2021-11-15,3030.66,2740.4,2.0,,,2021-12-06,2740.4,stop,14,-1.0,False,-23708.62,440.72
AAVAS,2021-11-29,2021-11-30,2890.0,2602.39,2.0,,,2021-12-07,2602.39,stop,5,-1.0,False,-22582.12,404.23
ADANIENSOL,2021-10-21,2021-10-26,1864.0,1623.08,2.0,,,2021-12-21,1696.0,deep,38,-0.697,False,-15543.68,306.64
TRITURBINE,2021-11-29,2021-12-01,184.54,152.93,2.0,,,2021-12-24,173.63,stall,17,-0.345,False,-8182.39,241.0
ZEEL,2021-09-20,2021-09-23,329.67,240.24,2.0,,,2021-12-31,306.7,stall,68,-0.257,False,-5424.17,143.13
SUZLON,2021-12-20,2021-12-22,7.16,6.05,2.0,2022-01-03,9.377899824142457,2022-01-11,10.49,target3,14,2.5,False,49141.04,309.97
ADANIGREEN,2021-12-01,2021-12-06,1398.3,1233.77,2.0,2022-01-17,1727.3701464843748,2022-01-18,1891.91,target3,31,2.5,False,52879.71,418.27
ECLERX,2021-12-30,2022-01-03,903.51,798.32,2.0,,,2022-01-24,798.32,stop,15,-1.0,False,-22259.33,340.81
TCIEXP,2021-12-21,2021-12-23,2459.67,1745.46,2.0,,,2022-01-27,1942.47,stall,24,-0.724,False,-15162.19,125.32
KEI,2021-10-22,2021-10-27,964.93,834.05,2.0,2021-12-06,1226.6946958980493,2022-02-04,1113.84,stall_half,69,1.569,False,32415.06,343.5
HFCL,2021-12-06,2021-12-07,80.37,69.59,2.0,,,2022-02-04,82.56,stall,42,0.202,False,3705.54,319.49
ANGELONE,2022-01-13,2022-01-18,127.96,113.56,2.0,,,2022-02-14,113.56,stop,18,-1.0,False,-24664.79,401.4
ASAHIINDIA,2022-01-06,2022-01-11,543.5,471.68,2.0,,,2022-02-15,482.83,deep,24,-0.845,False,-19858.62,317.14
SCHAEFFLER,2021-07-22,2021-07-27,1334.75,1062.12,2.0,,,2022-02-16,1617.28,stall,140,1.036,False,19161.01,207.81
RENUKA,2022-02-09,2022-02-14,38.05,33.72,2.0,,,2022-02-21,33.72,stop,5,-1.0,False,-23333.07,365.22
DCMSHRIRAM,2022-01-25,2022-01-27,1053.88,949.07,2.0,,,2022-02-22,949.07,stop,18,-1.0,True,-23831.19,426.91
ADANIENSOL,2022-02-15,2022-02-16,1940.9,1818.28,2.0,,,2022-02-22,1818.28,stop,4,-1.0,False,-23395.49,647.74
SCHAEFFLER,2022-02-17,2022-02-21,1799.07,1606.02,2.0,,,2022-02-23,1774.24,stall,2,-0.129,False,-4016.68,384.42
BSE,2022-02-01,2022-02-04,236.12,204.82,2.0,,,2022-02-24,204.82,stop,14,-1.0,False,-23612.27,324.43
LINDEINDIA,2022-02-17,2022-02-22,2867.32,2634.12,2.0,,,2022-02-24,2634.12,stop,2,-1.0,False,-21713.27,473.17
GAEL,2022-02-18,2022-02-23,95.04,91.01,2.0,,,2022-02-24,91.01,stop,1,-1.0,True,-22493.66,894.51
FLUOROCHEM,2021-12-01,2021-12-06,2509.14,1961.37,2.0,,,2022-02-28,2439.42,deep,59,-0.127,False,-3409.1,193.81
HINDALCO,2022-02-22,2022-02-24,504.58,486.89,2.0,2022-02-28,539.9532721844712,2022-02-28,557.64,target3,2,2.5,False,45914.11,1142.78
JSWENERGY,2022-02-23,2022-02-28,331.88,318.41,2.0,,,2022-03-04,318.41,stop,3,-1.0,False,-21752.89,897.96
DCMSHRIRAM,2022-02-28,2022-03-04,1014.49,934.54,2.0,,,2022-03-07,934.54,stop,1,-1.0,False,-21352.34,479.59
BDL,2022-02-28,2022-03-04,224.34,199.87,2.0,,,2022-03-08,218.76,stall,2,-0.228,False,-5737.98,356.31
ONGC,2022-03-07,2022-03-08,148.01,130.04,2.0,,,2022-03-10,130.04,stop,2,-1.0,False,-18941.63,285.15
MHRIL,2022-03-08,2022-03-10,220.0,197.8,2.0,,,2022-03-14,213.0,stall,2,-0.315,False,-6905.77,351.15
OIL,2022-03-02,2022-03-07,138.51,125.83,2.0,,,2022-03-15,125.83,stop,6,-1.0,True,-20127.73,391.06
ADANIENSOL,2022-02-22,2022-02-24,1990.0,1808.29,2.0,2022-03-04,2353.420248779297,2022-03-30,2535.13,target3,22,2.5,False,46332.22,468.26
GAEL,2022-03-10,2022-03-15,117.35,105.9,2.0,2022-04-11,140.23426758864656,2022-04-13,151.68,target3,20,2.5,False,42531.26,404.43
HINDALCO,2022-02-28,2022-03-04,590.63,516.26,2.0,,,2022-04-18,529.55,stall,28,-0.821,False,-16690.02,296.33
WELCORP,2022-04-11,2022-04-18,200.99,181.09,2.0,,,2022-05-02,181.09,stop,10,-1.0,False,-19709.38,354.54
BALRAMCHIN,2022-03-09,2022-03-14,476.97,419.75,2.0,,,2022-05-04,436.96,stall,33,-0.699,False,-12884.73,282.72
CRISIL,2022-04-27,2022-05-02,3484.46,3127.67,2.0,,,2022-05-06,3127.67,stop,3,-1.0,False,-19747.9,343.69
AMBER,2022-04-28,2022-05-04,3928.0,3438.36,2.0,,,2022-05-10,3438.36,stop,4,-1.0,False,-19374.36,276.9
HOMEFIRST,2022-05-02,2022-05-06,776.19,666.03,2.0,,,2022-05-10,759.21,stall,2,-0.154,False,-3610.55,247.93
COALINDIA,2022-02-25,2022-03-03,140.05,112.35,2.0,,,2022-05-11,126.83,deep,45,-0.477,False,-9662.37,188.19
GUJALKALI,2022-03-25,2022-03-30,813.16,721.89,2.0,,,2022-05-11,721.89,stop,27,-1.0,False,-19321.22,306.9
RENUKA,2022-04-07,2022-04-12,58.95,43.01,2.0,,,2022-05-11,43.01,stop,18,-1.0,False,-19307.81,122.07
CRISIL,2022-05-09,2022-05-11,3127.1,2948.78,2.0,,,2022-05-12,2948.78,stop,1,-1.0,False,-18201.63,554.11
ADANIGREEN,2022-04-08,2022-04-13,2880.0,2208.89,2.0,,,2022-05-13,2208.89,stop,19,-1.0,False,-18781.87,140.5
BDL,2022-05-11,2022-05-12,318.94,296.47,2.0,2022-05-20,363.86966501969414,2022-05-23,386.33,target3,7,2.5,False,38977.13,492.63
ATGL,2022-05-11,2022-05-13,2450.41,2230.55,2.0,,,2022-05-25,2230.55,stop,8,-1.0,False,-15883.12,325.67
RCF,2022-05-18,2022-05-23,94.35,81.45,2.0,,,2022-05-25,92.73,stall,2,-0.126,False,-2446.48,233.96
FINEORG,2022-02-23,2022-02-28,4259.3,3729.36,2.0,2022-06-02,5319.186806423444,2022-06-02,5849.13,target3,63,2.5,False,45315.21,345.67
CHALET,2022-05-30,2022-06-02,320.15,292.98,2.0,,,2022-06-06,292.98,stop,2,-1.0,False,-17649.3,369.21
NLCINDIA,2022-05-17,2022-05-20,74.73,64.83,2.0,,,2022-06-10,66.44,stall,15,-0.837,False,-13641.45,225.3
RENUKA,2022-06-01,2022-06-06,53.15,47.25,2.0,,,2022-06-13,47.25,stop,5,-1.0,False,-16730.1,276.36
ELGIEQUIP,2022-06-09,2022-06-14,410.52,384.57,2.0,,,2022-06-16,384.57,stop,2,-1.0,False,-17211.79,476.39
ATGL,2022-05-26,2022-05-27,2436.43,2139.72,2.0,,,2022-06-17,2139.72,stop,15,-1.0,False,-15749.43,236.34
COROMANDEL,2022-06-13,2022-06-16,936.93,861.72,2.0,,,2022-06-20,861.72,stop,2,-1.0,False,-16002.84,366.92
