tkr,sig_date,entry_date,entry,trig,stop0,risk_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through,net_pnl,stt_paid
RELAXO,2019-08-01,2019-08-05,425.05,425.05,402.13,2.0,,,2019-08-22,416.14,ma_breach,11,-0.389,False,-14074.23,833.17
ASIANPAINT,2019-07-22,2019-07-24,1346.28,1326.99,1277.76,2.0,2019-08-09,1483.3230908693909,2019-09-16,1417.79,trail,34,1.522,False,32179.72,906.86
NAM-INDIA,2019-08-22,2019-08-23,201.83,201.83,190.3,2.0,2019-08-28,224.88316186829252,2019-09-16,208.44,trail,14,1.287,False,26325.03,823.84
ADANIPOWER,2019-09-11,2019-09-16,12.9,12.9,12.1,2.0,,,2019-10-01,12.1,stop,11,-1.0,False,-25549.66,717.95
ELGIEQUIP,2019-09-26,2019-10-01,148.38,141.38,134.63,2.0,,,2019-10-03,134.63,stop,1,-1.0,False,-26466.3,482.0
BRIGADE,2019-09-26,2019-10-01,160.87,146.18,141.12,2.0,,,2019-10-07,141.12,stop,3,-1.0,False,-25328.01,358.17
BHARTIARTL,2019-10-09,2019-10-14,367.5,344.94,323.73,2.0,,,2019-10-24,323.73,stop,7,-1.0,False,-22946.64,352.36
TRENT,2019-08-09,2019-08-13,451.22,451.22,428.97,2.0,2019-09-23,495.70615436480347,2019-11-11,503.56,trail,58,2.177,False,45457.62,968.28
KOLTEPATIL,2019-10-03,2019-10-04,242.92,242.92,219.68,2.0,,,2019-11-18,233.62,ma_breach,28,-0.4,False,-12092.98,468.58
KEI,2019-11-07,2019-11-11,564.51,537.8,517.02,2.0,,,2019-11-18,517.02,stop,4,-1.0,False,-25360.58,534.92
BPCL,2019-09-18,2019-09-23,132.43,124.65,118.22,2.0,2019-10-01,160.85277629027263,2019-11-27,158.47,trail,43,1.916,True,43570.32,476.52
GODFRYPHLP,2019-08-23,2019-08-28,300.96,293.33,260.2,2.0,2019-11-14,382.49385332138576,2019-12-03,415.78,time,63,2.408,False,54478.37,398.44
CHOLAFIN,2019-11-13,2019-11-18,324.85,296.29,290.21,2.0,,,2019-12-06,296.0,ma_breach,14,-0.833,False,-19663.76,407.33
PETRONET,2019-09-20,2019-09-23,216.61,201.05,184.02,2.0,,,2019-12-30,204.97,ma_breach,65,-0.357,False,-8824.63,299.84
GRANULES,2019-10-18,2019-10-24,114.44,99.99,94.91,2.0,,,2019-12-31,122.68,ma_breach,46,0.422,False,8726.09,279.08
AAVAS,2019-11-14,2019-11-18,1627.75,1615.0,1510.49,2.0,2019-12-11,1862.274,2020-01-27,1882.37,trail,49,2.086,False,44711.39,678.36
NMDC,2019-12-03,2019-12-06,18.13,18.0,16.71,2.0,2019-12-30,20.973491675021155,2020-01-28,20.21,trail,36,1.73,False,37335.19,621.91
ABCAPITAL,2019-12-11,2019-12-12,100.0,96.5,88.46,2.0,,,2020-01-31,100.6,ma_breach,35,0.052,False,478.38,401.66
TATACOMM,2019-11-25,2019-11-28,389.1,355.06,330.91,2.0,,,2020-02-17,357.0,ma_breach,56,-0.552,False,-14405.27,298.07
ATGL,2020-01-24,2020-01-27,176.68,176.68,147.91,2.0,,,2020-02-19,164.69,ma_breach,17,-0.417,False,-11053.84,299.27
ESSELPACK,2020-02-03,2020-02-04,167.05,158.12,146.18,2.0,,,2020-03-02,146.18,stop,18,-1.0,False,-26244.16,364.9
INFIBEAM,2019-12-26,2019-12-31,14.15,13.99,11.88,2.0,,,2020-03-04,14.2,ma_breach,45,0.022,False,-519.01,298.91
RATNAMANI,2020-02-28,2020-03-04,868.03,860.95,793.93,2.0,,,2020-03-09,793.93,stop,3,-1.0,False,-29146.25,572.81
DEEPAKNTR,2019-12-24,2019-12-30,369.96,359.98,343.62,2.0,2020-02-14,422.6396562324842,2020-03-12,448.93,trail,51,2.499,True,56986.71,728.82
ORIENTELEC,2020-01-24,2020-01-29,225.37,205.71,197.79,2.0,,,2020-03-12,197.79,stop,29,-1.0,False,-26634.06,377.94
MIDHANI,2020-02-17,2020-02-18,211.61,202.67,173.56,2.0,,,2020-03-12,173.56,stop,15,-1.0,False,-25859.81,252.83
TASTYBITE,2020-02-20,2020-02-26,12808.75,12287.81,10788.76,2.0,,,2020-03-12,10788.76,stop,10,-1.0,True,-27091.59,298.03
AMBER,2020-03-06,2020-03-09,1482.87,1482.87,1329.8,2.0,,,2020-03-12,1329.8,stop,2,-1.0,False,-26241.39,453.06
SFL,2020-03-11,2020-03-12,776.6,776.6,741.13,2.0,,,2020-03-13,741.13,stop,1,-1.0,True,-29132.47,981.94
BAYERCROP,2020-03-09,2020-03-13,3676.04,3676.04,3512.25,2.0,,,2020-03-16,3512.25,stop,1,-1.0,True,-24233.51,921.91
RATNAMANI,2020-03-09,2020-03-13,816.52,816.52,757.96,2.0,,,2020-03-16,757.96,stop,1,-1.0,False,-24564.9,564.78
IPCALAB,2020-02-11,2020-02-14,700.37,620.91,604.37,2.0,,,2020-03-19,604.37,stop,22,-1.0,False,-26029.92,337.71
NAVINFLUOR,2020-03-13,2020-03-17,1359.26,1359.26,1106.29,2.0,,,2020-03-19,1106.29,stop,2,-1.0,True,-19905.35,190.66
PIDILITIND,2020-03-17,2020-03-18,777.07,777.07,716.71,2.0,,,2020-03-19,716.71,stop,1,-1.0,True,-20360.93,482.37
PFIZER,2020-03-13,2020-03-16,3797.74,3797.74,3022.05,2.0,,,2020-03-20,3527.04,ma_breach,4,-0.349,False,-7867.99,194.48
IPCALAB,2020-03-20,2020-03-23,796.22,741.24,647.0,2.0,,,2020-03-24,647.0,stop,1,-1.0,False,-18786.29,178.59
NAVINFLUOR,2020-03-26,2020-03-27,1322.02,1293.6,1091.6,2.0,,,2020-04-03,1180.65,ma_breach,4,-0.614,False,-11785.88,196.48
HINDUNILVR,2020-03-31,2020-04-01,2069.06,2069.06,1952.6,2.0,,,2020-04-03,1952.6,stop,1,-1.0,False,-18872.81,613.61
AJANTPHARM,2020-03-30,2020-03-31,832.25,832.25,743.27,2.0,,,2020-04-23,815.41,ma_breach,13,-0.189,False,-4475.37,326.08
NAVINFLUOR,2020-04-03,2020-04-07,1288.7,1255.13,1165.03,2.0,2020-04-27,1536.028131082598,2020-05-12,1390.33,trail,22,1.411,False,22879.5,381.93
IPCALAB,2020-03-31,2020-04-03,694.92,694.92,644.14,2.0,2020-04-08,796.5025762138079,2020-05-29,742.3,trail,35,1.466,False,24593.75,501.31
ABBOTINDIA,2020-03-26,2020-03-30,15487.62,13578.23,13015.65,2.0,,,2020-06-11,14955.46,ma_breach,47,-0.215,False,-4648.91,221.58
DIVISLAB,2020-04-07,2020-04-08,2085.58,2085.58,1861.82,2.0,,,2020-06-18,2236.81,ma_breach,47,0.676,False,11529.27,347.4
INDIACEM,2020-05-15,2020-05-18,117.11,117.11,98.78,2.0,,,2020-07-13,119.82,ma_breach,39,0.148,False,1944.75,244.88
TRIDENT,2020-06-10,2020-06-11,6.67,6.35,5.67,2.0,,,2020-07-16,5.67,stop,25,-1.0,False,-20988.58,247.28
GMMPFAUDLR,2020-04-20,2020-04-23,1270.27,1166.73,1061.3,2.0,,,2020-07-20,1306.7,ma_breach,60,0.174,False,2459.06,231.26
ALKYLAMINE,2020-04-22,2020-04-27,678.46,678.46,554.79,2.0,2020-07-09,925.7985899429601,2020-07-27,882.21,time,63,1.824,False,33752.78,242.78
ZYDUSLIFE,2020-04-03,2020-04-07,291.32,269.57,248.88,2.0,,,2020-07-30,348.66,ma_breach,78,1.351,False,22719.92,258.79
BPCL,2020-07-17,2020-07-20,151.32,151.32,132.45,2.0,,,2020-08-04,132.45,stop,11,-1.0,False,-20881.21,305.74
NAUKRI,2020-05-27,2020-06-01,530.08,478.2,457.09,2.0,2020-08-10,676.0623456779233,2020-08-27,642.21,time,63,1.768,False,33737.2,316.13
ITI,2020-06-17,2020-06-18,101.0,92.8,82.32,2.0,2020-07-07,138.36479695129395,2020-08-31,131.87,trail,52,1.826,False,35379.52,250.93
BHARATRAS,2020-07-06,2020-07-09,2223.17,1928.41,1891.55,2.0,2020-08-11,2886.4137041852096,2020-08-31,2356.76,trail,37,1.201,False,22972.7,298.59
ADVENZYMES,2020-07-28,2020-07-31,175.2,164.78,149.71,2.0,2020-08-17,226.16080925393976,2020-08-31,199.31,trail,21,1.473,False,28572.37,312.36
