tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
UBL,2018-08-20,1342.25,1149.12,2.0,16.81,,,2018-10-08,1095.94,stop,7,-1.275,-37173.56,361.53
3MINDIA,2018-07-23,21785.11,18158.42,2.0,19.97,,,2018-10-22,20438.05,time,13,-0.371,-11936.09,320.83
STRTECH,2018-07-27,314.46,270.17,2.0,16.39,,,2018-10-29,329.18,time,13,0.332,8397.22,398.66
ALKEM,2018-07-30,1956.42,1691.86,2.0,15.64,,,2018-10-29,1791.24,time,13,-0.624,-18607.98,391.13
VENKEYS,2018-08-08,2953.82,2004.72,2.0,47.34,,,2018-11-05,2787.97,time,13,-0.175,-5138.01,167.44
VINATIORGA,2018-08-13,625.07,483.05,2.0,29.4,,,2018-11-12,735.97,time,13,0.781,21131.21,270.96
TEAMLEASE,2018-09-24,2530.0,1989.65,2.0,27.16,,,2018-12-24,2928.0,time,13,0.737,18489.78,266.34
HAVELLS,2018-10-08,561.41,526.41,2.0,6.65,2018-11-19,640.92,2019-01-07,649.8,time,13,2.263,55908.23,825.02
COFORGE,2018-10-22,230.9,193.34,2.0,19.43,,,2019-01-21,225.95,time,13,-0.132,-3801.45,300.7
AIAENG,2018-10-29,1622.42,1413.16,2.0,14.81,,,2019-01-28,1536.26,time,13,-0.412,-11586.4,376.47
BAJFINANCE,2018-10-29,226.79,193.69,2.0,17.09,,,2019-01-28,253.08,time,13,0.794,19157.11,361.59
ASTRAL,2018-11-19,459.49,418.73,2.0,9.74,,,2019-02-18,504.57,time,13,1.106,27325.86,631.76
MUTHOOTFIN,2018-12-11,402.62,340.67,2.0,18.19,,,2019-03-11,501.86,time,13,1.602,41893.88,388.22
NAUKRI,2019-01-07,306.13,272.45,2.0,12.36,,,2019-04-08,357.48,time,13,1.525,41017.03,555.22
COFORGE,2019-01-28,239.19,223.81,2.0,6.87,,,2019-04-30,242.13,time,13,0.192,3809.48,881.65
ADANIPOWER,2019-02-18,7.87,6.67,2.0,17.99,2019-04-15,10.65,2019-04-30,9.71,trail,10,1.767,54485.23,431.81
SUVEN,2019-02-11,9.5,7.88,2.0,20.55,,,2019-05-13,11.99,time,13,1.537,42909.05,381.88
AUROPHARMA,2019-04-30,798.22,743.14,2.0,7.41,,,2019-05-13,715.48,stop,2,-1.502,-48935.94,866.76
ASTRAL,2019-03-11,538.38,482.32,2.0,11.62,,,2019-06-10,593.11,time,13,0.976,28419.02,633.39
INTELLECT,2019-04-08,223.32,202.57,2.0,10.24,2019-06-17,269.54,2019-07-08,258.52,time,13,1.848,59217.25,739.89
BLUESTARCO,2019-05-13,353.36,320.46,2.0,10.26,,,2019-08-13,345.78,time,13,-0.23,-9212.27,642.46
BRIGADE,2019-05-13,115.23,106.48,2.0,8.22,2019-07-22,130.4,2019-08-13,131.0,time,13,1.901,48069.13,849.37
OBEROIRLTY,2019-06-24,542.57,491.53,2.0,10.38,,,2019-08-26,458.61,stop,9,-1.645,-56169.37,642.95
APOLLOHOSP,2019-06-10,1371.67,1217.84,2.0,12.63,,,2019-09-09,1469.64,time,13,0.637,19936.69,610.01
DEN,2019-08-26,97.0,66.0,2.0,46.97,,,2019-09-23,62.15,stop,4,-1.124,-36590.86,163.15
INDIGO,2019-07-22,1474.93,1287.63,2.0,14.55,,,2019-10-22,1716.1,time,13,1.288,41610.28,563.99
VBL,2019-07-29,57.46,44.9,2.0,27.99,,,2019-10-29,54.74,time,13,-0.217,-8258.02,297.54
ABFRL,2019-08-13,203.6,179.89,2.0,13.18,,,2019-11-11,202.17,time,13,-0.06,-3931.84,559.9
BLUESTARCO,2019-08-13,345.78,305.29,2.0,13.26,,,2019-11-11,382.84,time,13,0.915,26228.88,588.61
ELGIEQUIP,2019-09-30,145.95,125.52,2.0,16.28,,,2019-11-25,120.65,stop,8,-1.238,-46199.84,456.56
DIXON,2019-09-03,536.16,448.46,2.0,19.56,,,2019-12-02,664.92,time,13,1.468,45847.21,442.1
BPCL,2019-09-11,121.85,109.76,2.0,11.01,2019-09-30,151.59,2019-12-09,156.3,trail,13,2.425,83650.51,730.05
BIRLACORPN,2019-11-11,601.64,560.04,2.0,7.43,,,2019-12-30,560.9,stop,7,-0.979,-38099.47,963.62
GODFRYPHLP,2019-10-22,324.12,289.17,2.0,12.09,2020-01-06,394.44,2020-01-20,435.66,time,13,2.596,88990.46,744.6
NMDC,2019-12-09,18.24,16.71,2.0,9.2,2020-01-20,22.07,2020-02-03,17.35,trail,8,0.709,30637.23,874.23
VBL,2019-11-11,65.13,54.23,2.0,20.1,,,2020-02-10,73.62,time,13,0.779,25318.26,438.85
ADVENZYMES,2020-01-20,172.64,156.79,2.0,10.11,,,2020-02-17,155.14,stop,4,-1.104,-46940.37,786.21
INFIBEAM,2019-11-26,12.95,10.85,2.0,19.35,,,2020-02-24,14.7,time,13,0.833,27602.49,461.65
JAICORPLTD,2020-01-06,97.43,82.19,2.0,18.54,,,2020-03-02,80.97,stop,8,-1.08,-40682.0,424.89
BALRAMCHIN,2020-02-17,165.86,148.81,2.0,11.46,,,2020-03-02,137.33,stop,2,-1.673,-65086.05,666.81
ATGL,2020-02-24,189.07,162.25,2.0,16.53,,,2020-03-02,139.65,stop,1,-1.842,-71262.79,463.22
ORIENTREF,2020-03-02,221.5,210.81,2.0,5.07,,,2020-03-09,183.17,stop,1,-3.586,-127327.47,1260.46
AARTIIND,2019-12-30,410.5,374.84,2.0,9.51,2020-02-03,470.33,2020-03-16,422.8,trail,11,1.172,33134.34,858.85
CROMPTON,2020-02-03,264.67,242.77,2.0,9.02,,,2020-03-16,224.21,stop,6,-1.848,-73476.03,851.74
ABFRL,2020-02-10,258.55,221.0,2.0,16.99,,,2020-03-23,165.6,stop,6,-2.475,-96672.97,434.19
BIOCON,2020-03-09,301.98,275.35,2.0,9.67,,,2020-03-23,251.44,stop,2,-1.898,-60947.35,654.53
BAYERCROP,2020-03-16,3469.23,2882.41,2.0,20.36,,,2020-03-30,2756.6,stop,2,-1.214,-35702.01,302.65
