tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
ADANIPOWER,2019-03-05,9.8,7.27,2.0,34.8,,,2019-06-03,10.09,time,13,0.115,2093.76,163.83
JUSTDIAL,2019-03-20,630.9,548.0,2.0,15.13,,,2019-06-17,740.0,time,13,1.316,27339.4,351.48
HONAUT,2019-04-08,22926.32,21701.63,2.0,5.64,,,2019-07-08,24122.77,time,13,0.977,15731.27,822.35
SBIN,2019-05-13,280.98,265.07,2.0,6.0,2019-05-27,321.81,2019-07-29,311.75,trail,11,1.967,44325.03,762.99
JBCHEPHARM,2019-05-27,171.93,153.18,2.0,12.24,,,2019-08-26,177.18,time,13,0.28,3603.15,412.72
ACC,2019-07-15,1478.21,1387.41,2.0,6.54,,,2019-08-26,1396.17,stop,6,-0.904,-21569.59,710.91
LALPATHLAB,2019-06-19,526.22,485.66,2.0,8.35,2019-09-16,626.46,2019-09-23,634.92,time,14,2.34,55913.14,644.19
VBL,2019-07-29,57.46,44.9,2.0,27.99,,,2019-10-29,54.74,time,13,-0.217,-5553.62,200.1
GUJGASLTD,2019-08-06,172.58,146.5,2.0,17.8,,,2019-11-04,189.44,time,13,0.647,12908.12,299.71
ADANIENSOL,2019-08-26,225.0,211.7,2.0,6.28,2019-10-29,264.85,2019-11-25,264.9,time,13,2.5,60695.74,808.22
OBEROIRLTY,2019-09-03,555.31,439.98,2.0,26.21,,,2019-12-02,505.39,time,13,-0.433,-10665.05,210.95
AARTIIND,2019-10-29,435.02,394.58,2.0,10.25,,,2019-12-09,386.96,stop,6,-1.189,-30958.66,499.55
BALRAMCHIN,2019-09-16,135.78,120.24,2.0,12.93,,,2019-12-16,163.19,time,13,1.763,39436.74,447.27
BANDHANBNK,2019-12-02,566.67,515.89,2.0,9.84,,,2019-12-16,502.41,stop,2,-1.266,-31663.74,511.45
ASIANPAINT,2019-09-23,1597.89,1413.66,2.0,13.03,,,2019-12-23,1693.2,time,13,0.517,11179.91,411.63
VBL,2019-11-11,65.13,54.23,2.0,20.1,,,2020-02-10,73.62,time,13,0.779,18083.27,313.44
CUB,2019-12-09,167.97,156.5,2.0,7.33,,,2020-03-02,155.16,stop,12,-1.116,-29150.24,676.09
TCS,2019-12-24,1901.8,1767.0,2.0,7.63,,,2020-03-02,1732.44,stop,10,-1.256,-31524.0,651.34
ITDC,2020-02-17,317.33,280.02,2.0,13.32,,,2020-03-02,234.58,stop,2,-2.218,-56596.82,368.89
GODREJPROP,2020-02-10,1168.8,990.0,2.0,18.06,,,2020-03-09,900.0,stop,4,-1.503,-38662.0,289.75
CGCL,2019-12-16,177.84,165.25,2.0,7.62,2020-02-17,207.56,2020-03-16,180.2,trail,13,1.094,27770.2,700.43
BIRLACORPN,2020-03-09,665.91,632.87,2.0,5.22,,,2020-03-16,550.97,stop,1,-3.478,-81514.77,823.75
ICICIGI,2020-03-09,1209.4,1083.71,2.0,11.6,,,2020-03-16,1054.79,stop,1,-1.23,-28241.07,402.97
REDINGTON,2020-03-16,44.06,38.61,2.0,14.13,,,2020-03-23,29.38,stop,1,-2.692,-54171.84,263.87
RATNAMANI,2020-03-16,816.59,614.69,2.0,32.85,,,2020-03-30,568.09,stop,2,-1.231,-24838.77,134.43
MRF,2020-03-16,61376.14,55466.21,2.0,10.66,,,2020-04-07,55931.48,stop,3,-0.921,-18758.7,389.08
SFL,2020-03-16,782.5,631.05,2.0,24.0,,,2020-04-07,647.0,stop,3,-0.895,-18619.03,185.01
DRREDDY,2020-03-09,608.28,553.83,2.0,9.83,2020-04-20,755.56,2020-05-18,724.1,trail,10,2.063,53045.59,553.84
DEEPAKNTR,2020-04-07,388.29,339.14,2.0,14.49,2020-05-04,473.82,2020-06-08,479.57,trail,9,1.928,29739.75,301.33
