tkr,entry_date,entry,stop0,rank,half_date,half_px,exit_date,exit_px,reason,held_weeks,R
CSBBANK,2021-07-26,350.0,274.4,0.2163,,,2021-10-25,309.9,time,13,-0.53
DELTACORP,2021-09-06,200.77,166.02,0.0802,2021-10-04,272.87,2021-11-01,249.71,trail,8,1.704
VIPIND,2021-08-16,451.12,368.71,0.1062,,,2021-11-15,616.15,time,13,2.002
DBL,2021-10-11,661.4,565.05,0.04,,,2021-11-22,545.94,stop,6,-1.198
KARURVYSYA,2021-11-16,44.36,39.51,0.0084,,,2021-11-29,38.81,stop,2,-1.144
CENTURYPLY,2021-09-06,393.94,338.79,0.0295,2021-10-18,532.67,2021-12-06,627.52,time,13,3.118
BHEL,2021-10-04,65.08,55.16,0.0592,,,2022-01-03,58.22,time,13,-0.692
UNIONBANK,2021-10-18,39.12,32.47,0.0596,,,2022-01-17,39.17,time,13,0.006
IRCON,2021-10-25,46.64,39.46,0.0218,,,2022-01-24,41.44,time,13,-0.723
RVNL,2021-10-26,33.41,27.86,0.2404,,,2022-01-24,34.18,time,13,0.138
ASAHIINDIA,2021-11-01,434.7,341.17,0.1566,,,2022-01-31,573.15,time,13,1.48
ZENSARTECH,2021-12-06,414.49,357.48,0.1172,,,2022-02-21,337.5,stop,11,-1.35
ELGIEQUIP,2021-11-29,261.51,205.26,0.1902,2022-02-07,413.48,2022-02-28,323.43,trail,13,1.55
WELCORP,2021-11-29,161.73,135.31,0.1756,,,2022-02-28,133.9,stop,13,-1.054
OIL,2022-01-03,106.96,93.08,0.1081,2022-03-07,138.51,2022-03-21,123.05,trail,11,1.58
CHOLAFIN,2022-01-24,654.13,581.78,0.1079,,,2022-04-25,704.97,time,13,0.703
SIS,2022-01-24,507.32,428.28,0.0749,,,2022-04-25,490.8,time,13,-0.209
GAEL,2022-01-31,106.3,86.23,0.1762,2022-04-18,157.2,2022-05-02,163.39,time,13,2.422
RENUKA,2022-03-14,38.85,31.0,0.297,2022-04-25,60.8,2022-05-09,50.5,trail,8,1.742
JAMNAAUTO,2022-04-25,104.5,94.85,0.1561,,,2022-05-09,94.61,stop,2,-1.024
AFFLE,2022-02-21,1175.1,1069.95,0.1119,,,2022-05-16,1045.0,stop,12,-1.237
SUNTECK,2022-02-28,473.83,406.83,0.1676,,,2022-05-16,382.3,stop,11,-1.366
ANGELONE,2022-03-21,153.33,115.58,0.3013,,,2022-06-20,111.92,stop,13,-1.097
CRISIL,2022-04-25,3160.5,2811.15,0.1671,,,2022-07-25,3124.4,time,13,-0.103
HOMEFIRST,2022-05-09,760.73,666.69,0.1587,,,2022-08-08,825.33,time,13,0.687
ABB,2022-05-09,2209.51,1960.61,0.1517,,,2022-08-08,2641.88,time,13,1.737
TATAELXSI,2022-05-16,7559.58,6108.44,0.3235,,,2022-08-16,9955.78,time,13,1.651
POWERINDIA,2022-05-16,3038.95,2743.82,0.2034,,,2022-08-16,3236.45,time,13,0.669
VIPIND,2022-06-20,590.26,500.61,0.127,,,2022-09-19,644.96,time,13,0.61
GSFC,2022-07-25,144.73,124.88,0.1947,,,2022-09-26,116.35,stop,9,-1.429
SOLARINDS,2022-08-08,3144.3,2665.97,0.1633,2022-10-10,4086.09,2022-11-07,4036.26,time,13,1.932
RCF,2022-08-08,89.31,80.24,0.1208,,,2022-11-07,94.58,time,13,0.582
RHIM,2022-08-16,539.17,493.2,0.0401,2022-09-26,657.56,2022-11-07,642.31,trail,12,2.122
TCI,2022-09-19,743.38,662.18,0.0497,,,2022-11-07,654.94,stop,7,-1.089
MAZDOCK,2022-08-16,150.45,132.09,0.1016,2022-09-05,191.52,2022-11-14,382.62,time,13,7.321
PRAJIND,2022-10-10,434.76,386.97,0.1569,,,2022-11-28,373.79,stop,7,-1.276
KPITTECH,2022-09-26,640.05,547.63,0.1512,,,2022-12-26,640.0,time,13,-0.001
YESBANK,2022-11-07,16.55,15.25,0.0713,2022-12-12,19.95,2022-12-26,17.6,trail,7,1.404
CHALET,2022-11-28,358.6,318.7,0.0447,,,2022-12-26,321.64,stop,4,-0.926
ATGL,2023-01-02,3694.93,3095.85,0.1641,,,2023-01-30,2497.57,stop,4,-1.999
