ticker,week_end,entry,base_hi,base_lo,stop_pct,base_range_pct,sma30,sma44,ext_vs_30w_pct,ext_vs_44w_pct,mansfield,vol_x,year,is_member,adv20,liquid,band
FSL,2023-05-12,124.10840606689453,115.07368239468519,88.88267505542184,28.38,29.47,102.68779729207357,101.46649187261409,20.86,22.31,17.17,7.48,2023,True,494415804.4455246,True,20-25%
GAEL,2023-09-22,156.7024688720703,152.22455270860456,113.15693585104917,27.79,34.53,126.94666188557943,124.41974674571644,23.44,25.95,16.87,4.9,2023,True,461540517.00129396,True,>25%
GAEL,2026-01-02,137.7100067138672,127.7699966430664,101.19999694824219,26.51,26.25,110.49856847127279,111.74106112393466,24.63,23.24,14.89,2.65,2026,False,143413059.84238282,True,20-25%
GLAND,2026-05-22,2334.0,1984.9000244140625,1573.5999755859375,32.58,26.14,1776.5899943033853,1832.4398664994674,31.38,27.37,34.74,24.0,2026,True,1597646409.0510986,True,>25%
GLAXO,2023-09-15,1514.498046875,1395.0132762273777,1135.4177317113365,25.03,22.86,1269.6525431315104,1248.8935546875,19.28,21.27,9.51,2.28,2023,True,140756789.03200683,True,20-25%
GMDCLTD,2023-05-19,151.31446838378906,149.98393726736967,112.59117586567108,25.59,33.21,132.47127482096354,135.12834427573463,14.22,11.98,8.85,2.64,2023,False,510976152.121085,True,10-15%
GNFC,2023-10-20,620.2330322265625,608.8119366457217,470.0019964477655,24.22,29.53,534.5818511962891,520.2740214954723,16.02,19.21,11.8,2.62,2023,True,806963255.5445709,True,15-20%
GODFRYPHLP,2021-10-01,391.53765869140625,340.9536058462698,255.4484740777495,34.76,33.47,295.0232248942057,292.53715723211116,32.71,33.84,13.81,8.43,2021,True,214352342.10844573,True,>25%
GODREJAGRO,2020-01-10,503.1138610839844,488.21522422311705,387.36321614821145,23.01,26.04,444.98741556803384,449.6387079412287,13.06,11.89,5.13,5.56,2020,True,57452689.707675174,True,10-15%
GODREJAGRO,2025-07-25,828.0966796875,816.1554018939735,646.4108728187389,21.94,26.26,743.8593485514323,740.796483820135,11.32,11.78,7.9,3.48,2025,True,306989052.6524536,True,10-15%
GODREJIND,2023-06-16,497.6499938964844,494.95001220703125,395.0,20.63,25.3,442.35499979654946,443.0681818181818,12.5,12.32,5.35,2.58,2023,True,107111315.98961945,True,10-15%
GPPL,2025-10-31,161.6133270263672,160.64337223328167,121.29727964291884,24.95,32.44,146.70955708821614,143.9236864610152,10.16,12.29,2.66,2.09,2025,False,298305362.1266281,True,10-15%
GRASIM,2023-09-15,1950.4190673828125,1850.715612223875,1501.439357417311,23.02,23.26,1702.3076416015624,1690.6379644220526,14.58,15.37,4.67,2.73,2023,True,1610603654.2476928,True,15-20%
GREAVESCOT,2024-01-05,153.3522491455078,151.68805154609743,118.50169585149013,22.73,28.0,134.40338872273762,133.45225316827947,14.1,14.91,0.26,3.74,2024,False,458703192.7075287,True,10-15%
GREENPLY,2017-11-10,302.88189697265625,287.58202388394994,247.1907174508681,18.39,16.34,268.1560780843099,268.6585429798473,12.95,12.74,2.28,4.88,2017,True,19650816.061543275,False,10-15%
GRINDWELL,2019-03-08,558.684814453125,540.3079785091743,442.219742497286,20.85,22.18,489.9228047688802,485.5104099620472,14.04,15.07,12.99,2.41,2019,True,7615477.26635437,False,15-20%
GRINDWELL,2024-05-31,2522.3134765625,2429.10953399518,1845.5758558554028,26.83,31.62,2142.1160807291667,2139.13774247603,17.75,17.91,8.24,10.83,2024,True,442053305.47351074,True,15-20%
GRINDWELL,2026-05-15,1859.9000244140625,1735.800048828125,1329.0,28.54,30.61,1577.2300089518228,1584.8863719593394,17.92,17.35,22.18,5.98,2026,False,271722451.9341858,True,15-20%
GSPL,2024-01-05,334.0,315.5,254.5,23.8,23.97,286.6333333333333,284.5647727272727,16.53,17.37,3.25,2.92,2024,True,587476799.365,True,15-20%
GUJALKALI,2024-10-11,852.810791015625,832.8556240152564,617.9591842244165,27.54,34.78,750.9336140950521,750.2748426957564,13.57,13.67,3.75,4.04,2024,True,159078225.2859497,True,10-15%
GULFOILLUB,2023-08-04,499.98974609375,457.6407414972782,349.4009345652338,30.12,30.98,387.0532531738281,383.928559736772,29.18,30.23,20.2,8.75,2023,False,57710579.381455995,True,>25%
HAL,2019-11-01,330.5682067871094,326.4247519766667,261.1609105045193,21.0,24.99,290.22642618815104,290.4498062133789,13.9,13.81,5.18,2.3,2019,True,11499084.204425048,False,10-15%
HDFCBANK,2019-03-15,520.41650390625,500.4360138706636,435.4128309578869,16.33,14.93,476.34241536458336,479.00232488458806,9.25,8.65,4.05,2.51,2019,True,5794414771.883032,True,5-10%
HEROMOTOCO,2023-07-07,2850.6806640625,2740.029316143576,2033.7426313920455,28.66,34.73,2371.627490234375,2368.648448597301,20.2,20.35,10.38,2.55,2023,True,2558574607.4319825,True,20-25%
HFCL,2023-12-22,81.78137969970703,80.51538093616035,61.33603650957419,25.0,31.27,69.08852361043294,67.40758852525191,18.37,21.32,6.27,9.54,2023,True,2087158028.0047631,True,20-25%
HIKAL,2018-09-07,185.65699768066406,168.97390808811076,128.27380787105167,30.91,31.73,146.01391042073567,146.73154241388494,27.15,26.53,15.3,16.96,2018,False,257470838.33019257,True,>25%
HIKAL,2019-04-05,175.50193786621094,168.33562387259366,135.17131983224925,22.98,24.54,152.23666687011718,149.65846252441406,15.28,17.27,9.19,2.64,2019,False,44037374.828186035,False,15-20%
HIKAL,2024-06-28,331.3621520996094,328.73189275922823,258.360241539948,22.03,27.24,290.6106699625651,288.967153375799,14.02,14.67,0.45,6.06,2024,False,220571113.61523134,True,10-15%
HINDZINC,2024-04-12,393.92132568359375,311.1609387691337,259.54392703707373,34.11,19.89,284.13207194010414,283.7746568159624,38.64,38.81,24.87,16.4,2024,True,1405985436.4198165,True,>25%
HINDZINC,2025-12-12,551.572265625,526.5201051159478,406.0805394823193,26.38,29.66,453.34645284016926,440.4847710349343,21.67,25.22,17.67,3.21,2025,True,3869957074.923944,True,>25%
HONASA,2026-04-10,344.8500061035156,319.0,248.39999389648438,27.97,28.42,287.7100016276042,288.4545468417081,19.86,19.55,25.12,2.8,2026,True,404641603.8549759,True,15-20%
HSCL,2026-04-24,565.383056640625,498.12426904484107,417.9330556788151,26.08,19.19,465.8846791585286,468.67445581609553,21.36,20.63,26.63,9.83,2026,True,3810428421.9430513,True,20-25%
IFBIND,2023-11-17,1007.5499877929688,1003.0,787.7999877929688,21.81,27.32,871.0300008138021,855.9000008322976,15.67,17.72,9.48,2.16,2023,False,92522315.76831055,True,15-20%
