ticker,week_end,entry,base_hi,base_lo,stop_pct,base_range_pct,sma30,sma44,ext_vs_30w_pct,ext_vs_44w_pct,mansfield,vol_x,year,is_member,adv20,liquid,band
INDIAMART,2023-04-13,2537.60302734375,2444.175746102856,1923.6175986545006,24.2,27.06,2169.4510172526043,2117.2831115722656,16.97,19.85,16.53,2.16,2023,True,570211102.116333,True,15-20%
INDIANB,2025-06-06,605.3469848632812,600.4779102800381,452.4468817196769,25.26,32.72,522.9728373209635,520.3379988236861,15.75,16.34,11.63,2.82,2025,True,1721743269.413327,True,15-20%
INFY,2024-01-12,1486.21875,1468.0183241638513,1187.2466172377842,20.12,23.65,1313.0361857096354,1273.0942965420809,13.19,16.74,0.06,2.02,2024,True,10848639152.823944,True,15-20%
INGERRAND,2019-05-31,567.1669311523438,555.3554712734449,440.20483738317847,22.39,26.16,507.771885172526,500.4671006636186,11.7,13.33,6.48,4.54,2019,False,10624316.672628785,False,10-15%
INOXINDIA,2026-04-10,1303.5323486328125,1260.4840952873649,1066.9168905614442,18.15,18.14,1165.9078735351563,1169.5071744051847,11.8,11.46,16.91,3.75,2026,False,211131439.53510132,True,10-15%
INTELLECT,2022-03-25,844.503173828125,791.6972109502426,593.6499621706841,29.7,33.36,689.1105244954427,698.7077567360618,22.55,20.87,16.13,3.13,2022,True,539243905.8251464,True,20-25%
IRB,2018-04-13,12.544912338256836,11.85174756662927,8.820435440828659,29.69,34.37,10.41357453664144,10.219531991265036,20.47,22.75,16.74,4.95,2018,True,677298969.4720049,True,20-25%
ITC,2018-07-27,210.3003387451172,197.85882912186665,172.09558911909997,18.17,14.97,185.47000071207682,183.51634909889916,13.39,14.59,5.41,3.0,2018,True,3224015141.8668604,True,10-15%
J&KBANK,2026-02-27,121.38999938964844,110.0,97.3499984741211,19.8,12.99,103.7314951578776,103.42843090404163,17.02,17.37,18.06,8.31,2026,True,737493986.5057427,True,15-20%
JAMNAAUTO,2023-09-01,115.84326171875,110.01723338884372,88.99422987788692,23.18,23.62,98.86018397013346,99.17698461359197,17.18,16.8,8.13,2.34,2023,True,348986668.6808155,True,15-20%
JKTYRE,2025-10-24,411.95001220703125,397.4293025029442,298.8525638649648,27.45,32.99,346.07607014973956,335.69224201549184,19.03,22.72,13.09,4.65,2025,True,441444164.6653687,True,20-25%
JSWDULUX,2019-09-27,1632.8109130859375,1513.540383091703,1301.9701793043944,20.26,16.25,1423.0621744791667,1407.1749655983665,14.74,16.03,13.64,4.62,2019,False,41713228.75712891,False,15-20%
