tkr,sig_date,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held,R,net_pnl,stt_paid
GHCL,2018-03-19,2018-03-21,227.9,209.65,2.0,8.7,,,2018-03-26,209.65,stop,3,-1.0,-22323.63,493.83
BLUESTARCO,2018-03-05,2018-03-07,367.98,331.59,2.0,10.98,,,2018-05-14,361.55,ma_breach,45,-0.177,-6595.85,436.22
BLISSGVS,2018-03-19,2018-03-21,192.58,170.81,2.0,12.75,,,2018-05-18,182.11,ma_breach,39,-0.481,-11961.15,354.47
BATAINDIA,2018-03-26,2018-03-27,695.47,625.7,2.0,11.15,,,2018-05-22,691.48,ma_breach,37,-0.057,-2566.89,402.24
JCHAC,2018-03-12,2018-03-13,2487.0,2240.01,2.0,11.03,,,2018-05-24,2532.5,ma_breach,49,0.184,1198.55,433.53
ENDURANCE,2018-05-21,2018-05-22,1247.28,1097.33,2.0,13.67,,,2018-05-29,1212.61,ma_breach,5,-0.231,-5859.0,333.07
FRETAIL,2018-05-28,2018-05-29,595.0,490.76,2.0,21.24,,,2018-06-08,572.8,ma_breach,8,-0.213,-5131.66,227.97
COALINDIA,2018-05-28,2018-05-29,149.4,137.91,2.0,8.33,,,2018-06-20,142.48,ma_breach,16,-0.602,-14057.74,517.13
ASTRAL,2018-02-26,2018-02-28,384.71,330.22,2.0,16.5,,,2018-07-06,436.14,ma_breach,88,0.944,19264.47,335.91
HFCL,2018-06-11,2018-06-12,31.05,23.8,2.0,30.44,,,2018-07-19,25.79,ma_breach,27,-0.725,-15322.7,159.64
JAICORPLTD,2018-06-18,2018-06-20,147.58,115.18,2.0,28.13,,,2018-07-24,131.46,ma_breach,24,-0.498,-10838.37,176.91
ASIANPAINT,2018-05-14,2018-05-15,1200.74,1095.64,2.0,9.59,,,2018-09-04,1270.01,ma_breach,78,0.659,13013.49,496.04
BAJAJHLDNG,2018-05-21,2018-05-22,2503.18,2256.83,2.0,10.92,,,2018-09-21,2256.83,stop,84,-1.0,-22588.54,392.31
AIAENG,2018-07-09,2018-07-10,1515.22,1418.54,2.0,6.82,2018-08-07,1708.5870792645196,2018-09-21,1608.82,trail,49,1.484,27861.51,668.05
INFIBEAM,2018-07-23,2018-07-24,43.75,38.24,2.0,14.42,2018-08-24,54.77655,2018-09-21,54.05,trail,39,1.934,38746.49,362.66
ALKEM,2018-09-03,2018-09-04,2032.36,1852.89,2.0,9.69,,,2018-09-21,1852.89,stop,11,-1.0,-23636.08,475.65
WELCORP,2018-08-27,2018-08-28,141.58,108.48,2.0,30.52,,,2018-09-28,108.48,stop,21,-1.0,-22625.36,166.5
CARBORUNIV,2018-10-01,2018-10-03,374.77,350.93,2.0,6.79,,,2018-10-04,350.93,stop,1,-1.0,-23420.45,598.32
AXISBANK,2018-08-06,2018-08-07,593.78,534.81,2.0,11.03,,,2018-10-05,582.84,ma_breach,38,-0.186,-4615.54,415.87
CYIENT,2018-10-01,2018-10-03,628.94,575.09,2.0,9.36,,,2018-10-05,575.09,stop,2,-1.0,-21188.81,439.37
HDFCBANK,2018-10-01,2018-10-04,465.55,441.9,2.0,5.35,,,2018-10-10,449.27,ma_breach,4,-0.688,-14525.61,741.54
NAUKRI,2018-10-08,2018-10-09,285.42,255.09,2.0,11.89,,,2018-10-15,298.08,ma_breach,4,0.418,6451.88,354.44
IEX,2018-10-08,2018-10-10,49.65,47.31,2.0,4.95,,,2018-10-16,49.65,ma_breach,4,0.001,-4868.72,776.52
3MINDIA,2018-10-15,2018-10-16,21274.16,19526.66,2.0,8.95,,,2018-10-22,19526.66,stop,3,-1.0,-21225.0,436.27
ABFRL,2018-10-15,2018-10-16,189.4,164.99,2.0,14.8,,,2018-10-23,174.37,ma_breach,4,-0.616,-12479.48,278.42
ASIANPAINT,2018-10-15,2018-10-16,1182.19,1101.66,2.0,7.31,,,2018-10-23,1060.09,ma_breach,4,-1.516,-29268.65,520.3
BIOCON,2018-10-22,2018-10-23,330.99,300.21,2.0,10.25,,,2018-10-26,300.21,stop,3,-1.0,-18001.1,355.99
RELAXO,2018-10-22,2018-10-23,363.63,330.65,2.0,9.98,,,2018-10-29,360.38,ma_breach,4,-0.099,-4114.04,381.04
BAJFINANCE,2018-10-29,2018-10-30,232.23,193.5,2.0,20.02,,,2018-11-07,228.84,ma_breach,6,-0.088,-1844.27,201.32
AIAENG,2018-10-29,2018-10-30,1700.81,1411.74,2.0,20.48,,,2018-11-26,1509.43,ma_breach,17,-0.662,-11854.81,187.82
INTELLECT,2018-10-29,2018-10-30,252.67,188.61,2.0,33.96,,,2018-11-30,212.94,ma_breach,21,-0.62,-10919.09,122.93
STRTECH,2018-10-29,2018-10-30,348.75,298.74,2.0,16.74,,,2018-12-06,298.74,stop,25,-1.0,-17678.81,218.96
PRAJIND,2018-10-08,2018-10-09,92.37,74.06,2.0,24.73,,,2018-12-11,90.07,ma_breach,42,-0.125,-2952.69,183.52
EXIDEIND,2018-11-26,2018-11-27,242.18,221.48,2.0,9.35,,,2018-12-11,229.88,ma_breach,10,-0.594,-10520.25,377.71
ATUL,2018-10-15,2018-10-16,3184.02,2835.25,2.0,12.3,,,2018-12-13,3212.93,ma_breach,39,0.083,349.7,342.72
ICICIGI,2018-12-10,2018-12-12,869.65,764.17,2.0,13.8,,,2019-01-24,796.31,ma_breach,30,-0.695,-12044.22,253.45
BATAINDIA,2018-10-29,2018-10-30,873.85,777.26,2.0,12.43,2018-12-28,1067.0454594068135,2019-01-28,1022.1,trail,61,1.767,29285.4,335.88
KSCL,2019-01-28,2019-01-30,570.36,522.31,2.0,9.2,,,2019-02-08,522.31,stop,7,-1.0,-17326.55,364.94
VBL,2018-12-31,2019-01-01,45.8,40.89,2.0,12.01,,,2019-02-18,43.73,ma_breach,33,-0.422,-8496.06,298.63
ASIANPAINT,2018-12-17,2018-12-18,1264.64,1170.93,2.0,8.0,,,2019-02-20,1291.78,ma_breach,44,0.29,3870.0,438.83
BAJFINANCE,2018-12-17,2018-12-18,245.22,225.91,2.0,8.55,,,2019-02-20,250.65,ma_breach,44,0.281,3782.97,412.98
ADANIPOWER,2019-02-18,2019-02-20,8.06,6.66,2.0,20.96,,,2019-02-26,7.94,ma_breach,4,-0.086,-1661.55,178.66
AARTIIND,2019-03-05,2019-03-07,362.22,320.81,2.0,12.91,,,2019-03-13,353.43,ma_breach,4,-0.212,-4533.16,287.23
TEAMLEASE,2019-02-18,2019-02-20,3130.4,2650.15,2.0,18.12,,,2019-04-16,2949.95,ma_breach,36,-0.376,-6906.4,197.45
DELTACORP,2019-04-01,2019-04-02,257.23,222.89,2.0,15.4,,,2019-04-25,230.14,ma_breach,15,-0.789,-14677.9,248.43
ADANIPOWER,2019-03-05,2019-03-06,10.34,7.26,2.0,42.37,,,2019-05-03,8.87,ma_breach,36,-0.478,-8078.17,103.14
HEIDELBERG,2019-02-18,2019-02-20,119.74,110.48,2.0,8.38,2019-03-07,138.24751825584985,2019-05-08,135.67,trail,48,1.861,26294.43,432.58
GODFRYPHLP,2019-03-11,2019-03-13,305.37,262.98,2.0,16.12,,,2019-05-08,301.55,ma_breach,34,-0.09,-2387.14,243.85
SUVEN,2019-02-11,2019-02-12,9.64,7.87,2.0,22.56,,,2019-05-10,11.99,ma_breach,55,1.324,20625.21,196.25
IPCALAB,2019-02-18,2019-02-19,393.86,351.7,2.0,11.99,2019-04-01,478.1816868727899,2019-05-13,447.96,trail,52,1.642,24560.72,317.88
SRF,2019-02-11,2019-02-14,438.99,378.73,2.0,15.91,2019-05-20,559.5181416731862,2019-05-23,564.59,time,63,2.042,31371.37,258.98
