tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
CROMPTON,2018-02-05,229.59,217.6,2.0,5.51,,,2018-02-19,213.38,stop,2,-1.352,-44378.09,1107.16
PRAJIND,2017-11-28,104.57,70.6,2.0,48.13,,,2018-02-26,81.01,time,13,-0.694,-23590.25,180.82
CAPLIPOINT,2018-02-19,626.22,586.92,2.0,6.7,,,2018-03-05,575.72,stop,2,-1.285,-40702.29,842.4
ABREL,2018-02-12,1216.4,1107.01,2.0,9.88,,,2018-03-12,1102.06,stop,4,-1.045,-31414.76,614.58
CENTURYPLY,2018-03-05,322.85,302.08,2.0,6.88,,,2018-03-26,297.85,stop,3,-1.204,-34970.11,798.73
OBEROIRLTY,2018-03-12,513.81,457.2,2.0,12.38,,,2018-03-26,457.39,stop,2,-0.997,-26936.74,437.32
VRLLOG,2018-01-29,197.85,169.95,2.0,16.42,,,2018-04-02,167.74,stop,9,-1.079,-35732.97,416.18
APLAPOLLO,2018-02-12,208.54,181.76,2.0,14.73,,,2018-05-14,204.96,time,13,-0.134,-5440.27,447.72
IDBI,2018-02-26,72.87,57.45,2.0,26.85,,,2018-05-21,56.78,stop,12,-1.043,-28239.53,224.32
ASHOKA,2018-03-26,159.14,149.67,2.0,6.33,2018-04-30,185.83,2018-05-28,174.47,trail,9,1.809,50835.26,870.3
JKTYRE,2018-04-02,147.33,128.66,2.0,14.51,,,2018-05-28,121.16,stop,8,-1.402,-35927.95,355.75
CROMPTON,2018-03-26,223.31,203.55,2.0,9.71,,,2018-06-25,211.7,time,13,-0.588,-16144.43,534.56
NCC,2018-05-28,106.87,86.73,2.0,23.23,,,2018-07-02,87.53,stop,5,-0.96,-23423.94,231.3
AUBANK,2018-04-30,367.31,322.77,2.0,13.8,,,2018-07-16,316.34,stop,11,-1.144,-30669.24,392.9
IFBIND,2018-07-02,1220.0,1072.0,2.0,13.81,,,2018-07-23,1109.95,stop,3,-0.744,-19129.76,357.35
ELGIEQUIP,2018-05-14,140.86,120.1,2.0,17.28,,,2018-08-13,140.38,time,13,-0.023,-2708.35,339.08
JYOTHYLAB,2018-05-21,193.52,159.94,2.0,20.99,,,2018-08-20,194.85,time,13,0.04,-19.26,286.03
GODREJAGRO,2018-05-28,589.18,528.63,2.0,11.46,,,2018-08-27,547.36,time,13,-0.691,-18127.95,449.83
IIFL,2018-08-13,376.13,342.2,2.0,9.92,,,2018-09-17,331.53,stop,5,-1.314,-31796.68,477.88
JAICORPLTD,2018-06-25,141.49,126.58,2.0,11.78,,,2018-09-24,122.8,stop,13,-1.253,-29659.14,408.98
ASTERDM,2018-08-20,141.19,121.93,2.0,15.79,,,2018-10-01,115.55,stop,6,-1.331,-32362.87,304.83
JBCHEPHARM,2018-08-27,151.33,134.44,2.0,12.57,,,2018-10-01,134.39,stop,5,-1.003,-24340.72,376.82
JINDALSTEL,2018-09-17,228.72,207.62,2.0,10.16,,,2018-10-01,189.72,stop,2,-1.848,-41713.87,439.09
DCMSHRIRAM,2018-09-24,410.45,343.04,2.0,19.65,,,2018-10-08,331.93,stop,2,-1.165,-25109.61,229.8
SONATSOFTW,2018-07-16,99.11,81.31,2.0,21.88,,,2018-10-15,97.68,time,13,-0.08,-2631.69,245.01
3MINDIA,2018-07-23,21785.11,18158.42,2.0,19.97,,,2018-10-22,20438.05,time,13,-0.371,-9379.5,252.12
ADANIPORTS,2019-01-21,379.84,355.86,2.0,6.74,,,2019-02-04,322.27,stop,2,-2.4,-47348.58,565.01
APOLLOHOSP,2018-12-28,1217.89,1175.71,2.0,3.59,2019-01-21,1338.65,2019-02-18,1119.87,stop_half,7,-0.162,3044.26,1070.31
BAJAJFINSV,2018-12-28,639.84,602.59,2.0,6.18,,,2019-02-18,604.48,stop,7,-0.949,-18619.64,616.22
ATUL,2019-03-08,3290.82,3199.35,2.0,2.86,,,2019-03-18,3250.9,stop,1,-0.436,-15246.01,1229.31
ASIANPAINT,2019-03-18,1353.56,1296.46,2.0,4.4,,,2019-05-13,1255.32,stop,8,-1.72,-29936.02,758.71
