,r_mom,r_lv
2023-03-06,0.003331975444833546,0.005907971446531546
2023-03-08,0.009343478802753324,-0.007241516044864338
2023-03-09,-0.009698120776260644,-0.0012377242975879499
2023-03-10,-0.007475185062198686,-0.004966557773955382
2023-03-13,-0.027173834881164316,-0.010807789218656438
2023-03-14,-0.02607345899694624,-0.005955084057405635
2023-03-15,-0.004809590756580717,0.003911123761844104
2023-03-16,-0.00797001034539091,0.004615959780550405
2023-03-17,0.01161075238629583,0.004023833537789567
2023-03-20,-0.008875903924622897,-0.0013699400635244219
2023-03-21,0.01150109179857961,-0.0003817306088103045
2023-03-22,0.009925020635338067,0.009839372879691055
2023-03-23,-0.0027749566681135596,-0.006659410979506952
2023-03-24,-0.017390500377713725,0.0004859365500975432
2023-03-27,-0.01905932682623601,0.00325119966901255
2023-03-28,0.003968574826741511,0.0003698200795405615
2023-03-29,0.04582036990127336,0.010189273127576559
2023-03-31,0.008927322922079428,0.015173299430420117
2023-04-03,0.021949044583414512,-0.0030734027303876976
2023-04-05,0.01798733414514664,0.004040098005902548
2023-04-06,-0.002096616593707523,0.001215967391826167
2023-04-10,-0.0043133204164006456,0.0015984134248610005
2023-04-11,0.006446041915450618,0.0016168845524553443
2023-04-12,-0.004591237951205529,0.0012515949513949298
2023-04-13,0.008236560356724043,-0.0021344479642630976
2023-04-17,0.01757032913271428,-0.0011768155061417929
2023-04-18,0.002919443644841646,0.0057595060397777065
2023-04-19,-0.0025988764848619006,-0.0035785376656413126
2023-04-20,0.0016017920062916247,-0.0043224273873824215
2023-04-21,-0.0029505844365752543,0.006342051535783488
2023-04-24,0.03637328889453162,0.007831141226396499
2023-04-25,0.035417325730553895,-0.001316374846904389
2023-04-26,0.014966089920804393,0.0006538400072528816
2023-04-27,-0.004755029573416447,0.006748814023733507
2023-04-28,0.022302107518511027,0.00933782318957932
2023-05-02,0.0240624313901725,0.0009833350179704325
2023-05-03,0.015938573660376543,0.002137799196607837
2023-05-04,-0.056847666021141,0.0045457949148102195
2023-05-05,0.01222316332462925,-0.004818204717888408
2023-05-08,-0.012741343561571528,0.00640346122575397
2023-05-09,-0.02998213356039192,0.002265066459829601
2023-05-10,-0.008981554114751433,0.0035643839178431946
2023-05-11,0.013833447322532999,0.00027453015249800927
2023-05-12,-0.006631875342895888,-0.009558012128456639
2023-05-15,-0.010151376940389478,-0.001963048472241824
2023-05-16,0.003556123223834362,-0.004091937126122547
2023-05-17,0.007513923464988359,0.0008819042406027489
2023-05-18,-0.010469043421158841,-0.005409101115216974
2023-05-19,-0.016959575042126307,0.0038721977640385763
2023-05-22,-0.0002648599865503476,0.003976330306313169
2023-05-23,-0.011664732134323397,0.00041678174733972284
2023-05-24,0.005719227673975702,0.00440641563761246
2023-05-25,0.0001247983977443745,-0.00012178077344315863
2023-05-26,0.0029508204195529686,0.008274015875750829
2023-05-29,-0.002015052777107562,-0.004316714477232697
2023-05-30,-0.008763243115736952,0.004650694967745617
2023-05-31,0.0256740116839711,0.007078996807812432
2023-06-01,0.0008680568489798368,-0.00018299061597959465
2023-06-02,0.010619287406229416,0.004945573551736304
2023-06-05,0.01273724407493182,0.013005144298026128
2023-06-06,0.011283816748723918,0.005493501578233584
2023-06-07,0.013548263738954791,0.0035517101362316783
2023-06-08,-0.0026535629530407556,-0.00501285103545801
2023-06-09,0.0028969676310448556,-0.0056671488809459936
2023-06-12,-0.0027856850672802747,-0.0032721565149860243
2023-06-13,0.004806826617014703,0.006326040989305559
2023-06-14,0.007787612825152612,-0.0027119236899518784
2023-06-15,-0.00012275835310493477,-0.0022304943929590815
2023-06-16,0.025006559256706806,0.008488947814534908
2023-06-19,-0.001686251297287944,0.00165368432881019
2023-06-20,0.002966348956373599,0.0008755311563446444
2023-06-21,-0.01215458122821711,0.0035066333412749895
2023-06-22,-0.009255477438763648,-0.0028911802344426807
2023-06-23,-0.01598008836703857,-0.0037371836344827214
2023-06-26,0.008666657818713341,0.014516860688134958
2023-06-27,0.0017652093076920838,0.0065692764579177165
2023-06-28,0.004188989348536065,0.0055009036079198825
2023-06-30,0.015496036662577595,0.008722527094962462
2023-07-03,0.010511723875266998,-0.001892181984018193
2023-07-04,-0.0011630542247115239,0.0060199938326459534
2023-07-05,0.01193653411246376,0.006946335816590654
2023-07-06,0.005782733469063439,0.002551180334730896
2023-07-07,0.0015553190172250542,-0.00020049135947586283
2023-07-10,0.008337930212013234,-0.00031554952634094136
2023-07-11,0.018610379773465136,0.009734537918618003
2023-07-12,0.013222791820762803,-0.0011255648288496234
2023-07-13,-0.00032080113139032473,-0.007164435520962686
2023-07-14,0.007506144047536134,0.0003770683002881636
2023-07-17,0.0013745474440476357,0.009769149260646426
2023-07-18,0.008584032730515778,-0.003832975441212416
2023-07-19,0.0256243128417728,0.002761243641488109
2023-07-20,0.019389273865741963,0.010884476378592023
2023-07-21,0.016917768429716373,-0.0043447973209094215
2023-07-24,0.006143274374365015,-0.0012115720119653117
2023-07-25,-0.01571298886585637,-0.004329471110618099
2023-07-26,0.0017881724074917393,0.0010985884828329517
2023-07-27,-0.011186810074555131,0.014025331301529942
2023-07-28,0.019424085555479254,0.004031795910147462
2023-07-31,0.0031876134327548655,0.0029769750547945506
2023-08-01,-0.01448188761940461,0.0062794725621309055
2023-08-02,-0.009005440851833857,-0.0008495565691817308
2023-08-03,0.001762172139948115,-0.011805942586480378
2023-08-04,0.0072452625429182405,0.0059954229554253224
2023-08-07,0.01800611127409213,0.001279135812246368
2023-08-08,-0.002374714903144559,3.53872329974525e-05
2023-08-09,0.002316303628024041,0.012857977652223296
2023-08-10,0.006148119659085571,-0.010923053759734458
2023-08-11,-0.008391037112961519,-0.000553594598485585
2023-08-14,0.0015531914229605093,-0.00666099793608721
2023-08-16,0.02389622427715743,-0.001893604674658489
2023-08-17,0.011835368074176955,-0.002035974265392815
2023-08-18,-0.0265638604946844,-0.003096373112053019
2023-08-21,-0.0012062347156286402,0.0030090716022062036
2023-08-22,0.006482870791360007,-0.0007538858134766846
2023-08-23,-0.0005902713215434341,0.004441360226843827
2023-08-24,0.007008480212764123,0.001238030196148765
2023-08-25,-0.0028392333024250815,-0.0041345807733551565
2023-08-28,0.0007441969476873478,-0.0011388179175561008
2023-08-29,0.0014392808791128253,0.011195487693459683
2023-08-30,0.001044351821768874,0.00014589239411066934
2023-08-31,0.028343332883426164,-0.0029693102900681945
2023-09-01,0.01375065161657707,0.006206863013459518
2023-09-04,0.020837256312993713,-0.002311002451615196
2023-09-05,0.010682916016485855,0.011442962206317464
2023-09-06,-0.004824949475657481,0.00013856641566944994
2023-09-07,0.014851982298639932,0.00400711522575703
2023-09-08,0.02187020041164045,0.0041637031583259265
2023-09-11,0.03863513064860502,0.007332783199240911
2023-09-12,-0.06557069892168665,-0.0076243003026555956
2023-09-13,-0.005128619246104527,0.009922200748176069
2023-09-14,0.022585575619458176,0.005206241468744599
2023-09-15,0.02436451278721319,0.005176189523938612
2023-09-18,-0.01658579819489725,0.005427791618528355
2023-09-20,-0.0019172389805894863,-0.004630632276905966
2023-09-21,-0.0188163133755872,-0.005688509380829099
2023-09-22,0.0064905357578675105,0.009494179979025352
2023-09-25,0.003349341168978448,-0.014861553640675651
2023-09-26,0.01949292776470224,-0.003107414840776035
2023-09-27,-0.0027303936635515447,0.0032529831037739765
2023-09-28,-0.011970476384300599,-0.00899880012686638
2023-09-29,0.0064578555493937095,0.0026635971318069718
2023-10-03,0.009989855233088818,-0.0009732794014469803
2023-10-04,-0.015685491619108816,-0.0039443206888466475
2023-10-05,0.008280451841237824,0.0037685267925091637
2023-10-06,0.008964085972455127,0.004430966370171818
2023-10-09,-0.03316435428316866,-0.007398481182185557
2023-10-10,0.025321403372912776,0.010715791128436125
2023-10-11,0.008141480352699348,0.0046451973417498404
2023-10-12,0.009484308394243968,0.004531676217030878
2023-10-13,-3.5159444587429256e-05,-0.0004075569371123633
2023-10-16,0.0193399837310122,-0.0001192907216801542
2023-10-17,0.004916215648364641,-0.004209989701555283
2023-10-18,-0.015864516271642426,-0.008206839431479596
2023-10-19,-0.0013128545448822804,-0.0020814216623942228
2023-10-20,-0.005526244040081951,-0.007135947290218603
2023-10-23,-0.05190372669344978,-0.014043608785127448
2023-10-25,-0.017622025596499613,-0.005920924612880185
2023-10-26,0.006010946380828441,-0.012604094958238887
2023-10-27,0.02381138379841663,0.012357238428122308
2023-10-30,0.006374083156886368,0.003230448581227785
2023-10-31,0.01781470335133517,-0.0020450349995203565
2023-11-01,-0.003812980316484804,-0.008201807187092736
2023-11-02,0.012737268555090608,0.009296648028528143
2023-11-03,0.0057354747224904745,0.006446850152053818
2023-11-06,0.011701876692072677,0.011744921094187788
2023-11-07,0.00681759599752052,0.004694528385461805
2023-11-08,0.009913823835292268,0.0009958969221339764
2023-11-09,0.005356153640193817,-0.005252563040079816
2023-11-10,-0.0011169521952958394,0.0017962102244521994
2023-11-13,0.015164821840524922,-0.0016246179073063916
2023-11-15,0.007394019935884399,0.007102246112770105
2023-11-16,-0.007364817632107168,0.0020051801435885253
2023-11-17,0.012409728618256288,-0.007166040241889271
2023-11-20,0.01618085689847737,5.5693474046103475e-05
2023-11-21,0.005908015917369669,0.0023002833844227855
2023-11-22,-0.01805220903080007,-0.00016736094555713787
2023-11-23,0.0026759064593113724,0.001402149867241853
2023-11-24,-0.0005569667206272166,-0.0005480333542063898
2023-11-28,-0.006999716268205725,0.0014511395406815453
2023-11-29,-0.001682582654941478,0.01013516340607934
2023-11-30,0.006786259431858399,4.565109644971699e-06
2023-12-01,0.016102576697862858,0.010731608633915313
2023-12-04,0.012770545004290312,0.016028188372269492
2023-12-05,-0.003654588711854534,0.006511333245676321
2023-12-06,0.012686864925305574,-0.0029493373866480432
2023-12-07,-0.0014138057136030557,0.00022366237899040797
2023-12-08,-0.0045788926333693025,0.0021976488234956015
2023-12-11,0.005168709807535921,-0.0002363119826197524
2023-12-12,-0.002758176788078659,-0.002016614387782445
2023-12-13,0.0037016827142395403,-0.0014753351435857764
2023-12-14,0.004959218229900975,0.007084302007472454
2023-12-15,0.010880878896654123,-0.0017031000284796205
2023-12-18,0.008465854698591624,-0.00046233957616281796
2023-12-19,-0.003632667013364288,0.004373687964731143
2023-12-20,-0.03806110295430287,-0.011357792987467752
2023-12-21,0.021790697685161398,0.0019602627004426942
2023-12-22,0.01636573990656598,0.00633950646392778
2023-12-26,0.019739528996599365,0.007037716132331839
2023-12-27,0.004006986694651049,0.006409916658373982
2023-12-28,-0.00036670166418029115,0.01123090407071059
2023-12-29,0.009179428546691515,0.011634018851113037
2024-01-01,0.015445802153762678,0.00681830335696354
2024-01-02,-0.00022555819193770255,0.0021898591906546194
2024-01-03,0.00954732600572994,-0.004794006567221065
2024-01-04,0.0045633196637999696,0.010028771800020486
2024-01-05,-0.007671557155995767,0.00044834407370486495
2024-01-08,-0.00023515449094646534,-0.010335242822332558
2024-01-09,0.0013557120276321832,0.0011980716581740936
2024-01-10,0.0029491143834117217,0.003675594103260904
2024-01-11,0.005488717937397247,0.013842138535858695
2024-01-12,-0.0030123379066836486,0.0020409263414564727
2024-01-15,0.016313569121718885,0.01020531015764603
2024-01-16,-0.0008787911182673858,0.0023928191327950987
2024-01-17,0.004666029863076737,-0.008813201754564126
2024-01-18,-0.007977124372377853,-0.0017408334454862562
2024-01-19,0.027697398639364268,0.0058135149843721035
2024-01-23,-0.029744991845990887,-0.001343588177308619
2024-01-24,0.031013710879080003,-0.0020683370996430472
2024-01-25,0.008310899876554867,-0.004262533706232863
2024-01-29,0.0023473066512158525,0.02000932045360737
2024-01-30,0.004768398570238697,-0.00869948234818485
2024-01-31,0.006007557877205194,0.012335641196563607
2024-02-01,-0.015249584732780042,0.009925474636743647
2024-02-02,0.004509590430249011,0.002818612835053358
2024-02-05,-0.01532912825189836,0.0006097421209210196
2024-02-06,0.009405896104142997,0.009358228385391465
2024-02-07,0.002729657712690292,-0.0005637731396609391
2024-02-08,0.003063632165418495,-0.013336239691413954
2024-02-09,-0.025111692504911076,-0.004661871982060584
2024-02-12,-0.05392738885239445,-0.011761063032100783
2024-02-13,0.011500519605839532,-0.0038525825807146363
2024-02-14,0.014873615742253099,0.0005834103224982012
2024-02-15,0.02504645848435172,-0.00039672302578530605
2024-02-16,-0.009415331436539498,0.008669096382834862
2024-02-19,0.004795505418019319,0.007893173403503262
2024-02-20,-0.005679128218686769,0.004482588049116609
2024-02-21,-0.01885572149215331,-0.0018792957202773408
2024-02-22,-0.0006701769340944352,0.0049831811624969635
2024-02-23,0.004230943617873573,-0.001872019799378677
2024-02-26,-0.004225825031738073,-0.004609902800540855
2024-02-27,-0.0045619979111072295,0.005631420034760248
2024-02-28,-0.02653104271444351,-0.013099139647941405
2024-02-29,0.010858373711061686,0.001693492576363198
2024-03-01,0.005616375967354648,0.0006605137730264499
2024-03-04,0.014163596456838956,-0.0056635458898894875
2024-03-05,-0.006043032558183059,0.009830367302623877
2024-03-06,-0.008304808639139516,0.0044426397572581156
2024-03-07,0.007593166188855749,0.0006162406261212006
2024-03-11,-0.009767666091494043,-0.004407179343083101
2024-03-12,-0.030285087613428185,-0.006803690485048919
2024-03-13,-0.08636037980507227,-0.018785454633006515
2024-03-14,0.07317347358489146,0.00862078050784798
2024-03-15,0.001812969818447474,-0.0063967403844515935
2024-03-18,-0.013052147247271662,0.0033958210183664406
2024-03-19,-0.0202402806861659,-0.004807176571647531
2024-03-20,-0.005216831324915461,0.0034491039169999294
2024-03-21,0.04450501071114554,0.006170784205069779
2024-03-22,0.006512812981641858,0.003991566601753371
2024-03-26,0.00032343169493542767,-0.0038509235677173237
2024-03-27,0.0030467756680536695,-0.008295788605429455
2024-03-28,0.009717190173357482,0.002800142326326638
2024-04-01,0.03881351753069762,0.012868848940032818
2024-04-02,0.02112892706990377,0.006041073451670709
2024-04-03,0.026989818808508703,0.006210322019778891
2024-04-04,-0.0015437586486031218,-0.009128411927177948
2024-04-05,0.005617362588178798,0.001467338766911741
2024-04-08,-0.008118935526047588,0.002356377767659401
2024-04-09,-0.015795973006000885,-0.006346635717053739
2024-04-10,0.00850106346155921,0.007974825037804001
2024-04-12,-0.01002751828300319,-0.0029237898300000786
2024-04-15,-0.02811923943758199,-0.0167550960144206
2024-04-16,0.016672607269059947,-0.0007470113500511744
2024-04-18,-0.007599612625544316,-0.008506959058634744
2024-04-19,-0.006215002768286904,0.0006384124448692852
2024-04-22,0.03299701293914481,0.009773014322104201
2024-04-23,0.06097828445306708,0.002770985741192389
2024-04-24,0.006008403147604646,0.006657826625381835
2024-04-25,0.011700261383871702,0.00024270165792317222
2024-04-26,0.01332108891229633,-0.001799828717457097
2024-04-29,-0.008056019717590068,0.0035718818137628894
2024-04-30,0.004923062246899201,0.0003073679350005243
2024-05-02,0.02281161160379286,0.006069888869303153
2024-05-03,-0.00221313971417314,-0.004066157513972546
2024-05-06,-0.03049752269520445,0.014898168694948088
2024-05-07,-0.033370205920833285,0.012618585650892689
2024-05-08,0.030276142772566184,-0.0006805317441858083
2024-05-09,-0.034485825894781774,-0.017481345003250937
2024-05-10,0.0011032905901133816,0.004815472942198085
2024-05-13,-0.01871076764041435,0.0037652490191011356
2024-05-14,0.04754632021233651,0.008259699217448624
2024-05-15,0.007814342919155726,-0.007551914726516729
2024-05-16,0.007134970794159479,0.004709468165169817
2024-05-17,0.022684973916957896,0.005773929043068726
2024-05-21,0.052621983915721815,-0.0019754846039603535
2024-05-22,-0.01088790033306175,0.007418646677515461
2024-05-23,0.032027476788649034,0.007429408667698034
2024-05-24,0.005494410714892428,-0.0035809969125786267
2024-05-27,0.024892806327351913,0.0020167899027991876
2024-05-28,-0.06810340909122803,0.0017410454916859663
2024-05-29,-0.001229573030648634,-0.010800472616397716
2024-05-30,-0.029231756065792647,-0.005745016317311724
2024-05-31,0.02370707348082335,0.0010449102107639163
2024-06-03,0.030920186488587742,0.010332697525236023
2024-06-04,-0.11431562283214569,-0.02634356333369614
2024-06-05,-0.005428938570711583,0.03258809268053087
2024-06-06,0.06109806990107014,0.01180113045156106
2024-06-07,0.02780475496073942,0.009061888698329357
2024-06-10,-0.01144634816452239,0.010524320413605182
2024-06-11,0.021521754585724473,-0.0003521051791111063
