tkr,sig_date,entry_date,entry,trig,gap_pct,stop0,stop_pct,sh,notional_pct,risk_pct,adv_cr,rank,half_date,half_px,exit_date,exit_px,reason,held,R,final_stop,half_done,engine,slope66_pct,dist_to_44sma_pct,atr_pct,regime_ok,days_to_fill,mae_pct,mfe_pct,max_1d_move_in_trade_pct,zero_vol_days,exit_day_open,gap_through_stop,gross_ret_pct,src
PFC,2023-05-12,2023-05-15,116.074607717708,116.074607717708,-0.06966631798899225,101.37707864436223,14.49788183866072,1633.5091729843173,15.795118640481046,2.0,152.58585923628414,24,2023-06-20,145.46966586439956,2023-07-18,159.23920532729827,stop,45,2.4684304209974317,159.23920532729827,True,B,14.082690035480393,1.9985495358053162,3.179285325018629,True,1,-1.4303053293531653,42.52029745460626,4.7871327773296075,0,160.4038328548894,False,37.18694248320531,pinned
INGERRAND,2023-05-23,2023-05-24,2505.6875050044537,2500.4703707682893,0.2086461130335726,2179.411051330677,14.97085432665688,74.24379992778273,15.359291035507772,2.0,5.681057816887208,39,,,2023-07-21,2628.0283025516933,stop,41,0.3749605470137923,2628.0283025516933,False,B,31.440920742183632,1.7985332326201586,3.281356110843128,True,1,-3.3737582172984837,15.485135335937116,5.278928339900243,0,2672.6779276782445,False,4.882524149675338,pinned
ANURAS,2023-07-12,2023-07-13,1049.7697775482588,1049.7697775482588,-1.4306231661461166,901.4642944534694,16.451620325650573,184.19925564673156,14.156857260325278,2.0,20.84424851185608,29,,,2023-07-21,974.9035474399401,stop,6,-0.5048109385171416,974.9035474399401,False,A,55.83289549406081,-5.469577905784561,3.5886555360053882,True,1,-7.442693196436911,1.7061072441886926,1.996243016856758,0,975.8794185306521,False,-7.131680841790766,pinned
POLICYBZR,2023-06-13,2023-06-14,646.646,646.646,-1.1901392404760402,559.253011291241,15.626735474696885,298.7501899653,14.798578457019634,2.0000000000000004,155.86641701314787,18,,,2023-07-25,729.27,stop,28,0.9454305341970649,729.27,False,B,27.439457331032635,4.987831107167162,3.431212748675262,True,1,-3.192782449748388,20.93169987906831,6.324680268043695,0,755.9500122070312,False,12.777315563693282,pinned
EQUITASBNK,2023-06-26,2023-06-27,83.66309951917755,83.64892592231548,0.016944146868347332,71.25473446567736,17.414092055142195,2142.6100262342056,13.48495134668489,2.0,56.79459054787029,29,,,2023-07-31,92.75754943799855,stop,23,0.7329289458852283,92.75754943799855,False,B,32.271747042491405,4.038929044683637,3.74281641965014,True,1,-0.40887672939260433,18.956770066047657,4.0020264772991325,0,98.14065666983119,False,10.870323919491343,pinned
PRESTIGE,2023-07-28,2023-07-31,595.8407967133194,595.8407967133194,-0.7598322977594885,515.0650665526055,15.682626410941802,331.6941507747419,14.752965910127111,2.0,82.59324481856842,21,,,2023-08-10,564.0202720767635,stop,8,-0.39393670070508524,564.0202720767635,False,B,32.50515298675647,6.183600119957178,3.4365039527303445,True,1,-7.72668857030202,2.748657746277461,5.1074405656555095,0,581.408434419302,False,-5.340440737203478,pinned
RVNL,2023-07-20,2023-07-21,128.58337575917852,128.07063776858135,0.4003556158779009,112.77194145408173,14.020716590691018,1731.7813344506717,16.26460614237,2.0,150.3048240342779,9,,,2023-08-18,121.36492583406186,stop,19,-0.4565335304710339,121.36492583406186,False,B,83.70608068414379,6.357641839930794,3.115960530832325,True,1,-8.279017189360328,12.418562209732276,6.145251428857397,0,123.01424219721945,False,-5.613828290397327,pinned
ANGELONE,2023-07-19,2023-07-20,145.5600115466242,145.5600115466242,-0.779872419149219,119.4262035107763,21.88280902146382,1041.1919673446262,11.139594455347549,2.0,125.9872355110054,21,,,2023-08-23,166.53488154277164,stop,23,0.8025952424298862,166.53488154277164,False,A,36.568521633294225,-1.0411113183320775,4.564228125316334,True,1,-3.842334727376273,19.046094672177816,12.355090047932219,0,167.53929277273735,False,14.409774891663151,pinned
JBMA,2023-08-14,2023-08-16,671.081917839921,671.081917839921,-2.76667516280783,532.0023721500932,26.14265517797154,192.45685732259608,9.650332326171865,2.0,32.72915683647583,38,,,2023-08-31,732.6888838365865,stop,11,0.4429620882862246,732.6888838365865,False,B,80.1903275879136,2.358255083285976,5.3198555816201205,True,1,-3.43150845822362,19.421800774585773,10.728564741340477,0,762.061261218294,False,9.180245266474474,pinned
OLECTRA,2023-08-14,2023-08-16,1128.120361495184,1128.120361495184,-0.3567606553748215,856.8835505761567,31.65387067316805,98.68429064117485,8.318342614874378,2.0,138.7209534011908,41,,,2023-09-12,1212.809325637421,stop,19,0.31223256111619485,1212.809325637421,False,B,71.83506892572748,1.2717096474719636,6.03904379435212,True,1,-0.3567606553748215,13.814726939399957,4.631068875549523,0,1268.9790722044625,False,7.507085860057727,pinned
FIVESTAR,2023-09-08,2023-09-11,732.5111661153626,730.3009581886789,0.3026434378732734,595.6799305260765,22.970596888910322,199.97672635980356,10.706782891504028,2.0,65.31034781169129,36,,,2023-09-13,689.6171635669257,stop,2,-0.31348107297070643,689.6171635669257,False,B,35.64812124433621,0.022621243183862383,4.710630936545884,True,1,-7.298817424253079,0.6734252485186554,5.246512585368665,0,679.6444345050558,True,-5.855747261289057,pinned
