ticker,entry_week,exit_week,entry,stop0,risk_pct,R,held_weeks,reason,gap_through,half_booked,ext_vs_44w_pct,mansfield,adv20,year,legs
EPL,2024-07-05,2024-08-09,218.93,162.3,25.87,-0.374,5,stop,False,False,18.88,2.0,542927808.4280059,2024,stop@198.51x1.00
EXIDEIND,2018-05-11,2018-09-21,242.24,178.27,26.41,-0.029,19,stop,False,False,21.04,13.3,768686251.296148,2018,stop@241.24x1.00
FDC,2023-07-07,2023-09-15,331.09,239.67,27.61,0.346,10,stop,False,False,20.26,12.26,264426340.123967,2023,stop@365.15x1.00
FEDERALBNK,2025-10-24,2026-01-09,227.4,182.05,19.94,0.702,11,stop,False,False,16.34,8.43,2507647257.7969384,2025,stop@260.10x1.00
FINEORG,2024-07-05,2024-09-20,5321.97,4005.4,24.74,-0.092,11,stop,False,False,17.84,2.02,287937385.4515381,2024,stop@5237.98x1.00
FIVESTAR,2024-10-18,2024-11-08,886.43,674.21,23.94,-1.013,3,stop,False,False,18.13,7.59,2971504730.119995,2024,stop@674.21x1.00
FORTIS,2021-01-08,2021-02-19,178.28,120.24,32.55,-0.338,6,stop,False,False,34.78,2.11,630051831.05224,2021,stop@159.25x1.00
FORTIS,2023-06-16,2023-10-27,308.26,243.96,20.86,0.231,19,stop,False,False,11.63,5.78,355060033.43866426,2023,stop@325.35x1.00
FSL,2023-05-12,2023-06-16,124.11,88.88,28.38,-0.115,5,stop,False,False,22.31,17.17,494415804.4455246,2023,stop@120.92x1.00
GAEL,2023-09-22,2023-12-22,156.7,113.16,27.79,0.408,13,stop,False,False,25.95,16.87,461540517.00129396,2023,stop@175.63x1.00
GLAXO,2023-09-15,2023-10-27,1514.5,1135.42,25.03,-0.274,6,stop,False,False,21.27,9.51,140756789.03200683,2023,stop@1420.80x1.00
GNFC,2023-10-20,2024-02-09,620.23,470.0,24.22,0.271,16,stop,False,False,19.21,11.8,806963255.5445709,2023,stop@663.27x1.00
GODFRYPHLP,2021-10-01,2021-11-26,391.54,255.45,34.76,-0.224,8,stop,False,False,33.84,13.81,214352342.10844573,2021,stop@363.68x1.00
GODREJAGRO,2020-01-10,2020-02-28,503.11,387.36,23.01,-0.271,7,stop,False,True,11.89,5.13,57452689.707675174,2020,stage3_half@477.44x0.50;stop@473.00x0.50
GODREJAGRO,2025-07-25,2025-09-19,828.1,646.41,21.94,-0.528,8,stop,False,True,11.78,7.9,306989052.6524536,2025,stage3_half@752.55x0.50;stop@722.70x0.50
GODREJIND,2023-06-16,2023-07-21,497.65,395.0,20.63,-0.253,5,stop,False,False,12.32,5.35,107111315.98961945,2023,stop@475.05x1.00
GRASIM,2023-09-15,2023-10-27,1950.42,1501.44,23.02,-0.23,6,stop,False,False,15.37,4.67,1610603654.2476928,2023,stop@1853.78x1.00
GRINDWELL,2024-05-31,2024-08-09,2522.31,1845.58,26.83,-0.064,10,stop,True,True,17.91,8.24,442053305.47351074,2024,stage3_half@2576.47x0.50;stop@2416.96x0.50
GSPL,2024-01-05,2024-03-15,334.0,254.5,23.8,0.227,10,stop,False,False,17.37,3.25,587476799.365,2024,stop@353.30x1.00
GUJALKALI,2024-10-11,2024-11-14,852.81,617.96,27.54,-0.382,5,stop,False,False,13.67,3.75,159078225.2859497,2024,stop@768.73x1.00
HDFCBANK,2019-03-15,2019-07-12,520.42,435.41,16.33,0.388,17,stop,False,False,8.65,4.05,5794414771.883032,2019,stop@555.30x1.00
HEROMOTOCO,2023-07-07,2023-08-04,2850.68,2033.74,28.66,-0.122,4,stop,False,False,20.35,10.38,2558574607.4319825,2023,stop@2761.31x1.00
HFCL,2023-12-22,2024-03-15,81.78,61.34,25.0,0.373,12,stop,False,False,21.32,6.27,2087158028.0047631,2023,stop@89.71x1.00
HINDZINC,2024-04-12,2024-07-26,393.92,259.54,34.11,1.411,15,stop,False,False,38.81,24.87,1405985436.4198165,2024,stop@585.26x1.00
HINDZINC,2025-12-12,2026-02-06,551.57,406.08,26.38,0.009,8,stop,True,False,25.22,17.67,3869957074.923944,2025,stop@554.86x1.00
INDIANB,2025-06-06,2025-08-01,605.35,452.45,25.26,0.0,8,stop,False,False,16.34,11.63,1721743269.413327,2025,stop@607.61x1.00
INFY,2024-01-12,2024-03-07,1486.22,1187.25,20.12,0.052,8,stop,False,False,16.74,0.06,10848639152.823944,2024,stop@1507.18x1.00
IRB,2018-04-13,2018-05-18,12.54,8.82,29.69,-0.293,5,stop,False,False,22.75,16.74,677298969.4720049,2018,stop@11.50x1.00
ITC,2018-07-27,2018-09-28,210.3,172.1,18.17,-0.15,9,stop,False,False,14.59,5.41,3224015141.8668604,2018,stop@205.33x1.00
