,blend
2019-07-11,0.001296607540950151
2019-07-12,-0.0003488397505224705
2019-07-15,-0.0029598303946937413
2019-07-16,0.00440237994952828
2019-07-17,0.003774500216117217
2019-07-18,0.0038907740567598508
2019-07-19,-0.021333019372962544
2019-07-22,-0.0047032891450443015
2019-07-23,-0.000534630487634755
2019-07-24,-0.01019878556017777
2019-07-25,0.012533872707808074
2019-07-26,0.0018910517794432018
2019-07-29,-0.012269127268320254
2019-07-30,-0.009050383467840973
2019-07-31,-0.00016688490386449492
2019-08-01,-0.009264785581557366
2019-08-02,-0.004766636971526208
2019-08-05,-0.004669269912691783
2019-08-06,0.009742970325104357
2019-08-07,0.00112814082120584
2019-08-08,0.010426958677791568
2019-08-09,0.007061017659418944
2019-08-13,-0.009376883346783098
2019-08-14,0.013091635124012065
2019-08-16,0.0011423955848805655
2019-08-19,0.003202123202428409
2019-08-20,0.0009464736848886542
2019-08-21,-0.0026259201745907125
2019-08-22,-0.005255972794152238
2019-08-23,-0.010702556536947195
2019-08-26,0.012955010761530002
2019-08-27,0.0035851920427615435
2019-08-28,-0.003394820032924694
2019-08-29,0.0019089742583543574
2019-08-30,0.01261598790888245
2019-09-03,-0.01268757242240014
2019-09-04,0.0014526748077725066
2019-09-05,-0.0004999431620041703
2019-09-06,0.0010041553619526756
2019-09-09,0.010323226366789558
2019-09-11,0.00717743063117343
2019-09-12,0.0010660604595583273
2019-09-13,0.0004646439132559957
2019-09-16,0.008467356685350322
2019-09-17,-0.012031843734568656
2019-09-18,-0.0010091578902360569
2019-09-19,-0.00024124874191217146
2019-09-20,0.025157932232737414
2019-09-23,0.017669282798535316
2019-09-24,0.01038444982050049
2019-09-25,-0.00458048994637629
2019-09-26,-0.005044052284488273
2019-09-27,0.0012087547525848731
2019-09-30,-0.006823436899010167
2019-10-01,-0.00993333890366465
2019-10-03,3.372126278507279e-05
2019-10-04,-0.011799760301344926
2019-10-07,0.00114764179580489
2019-10-09,0.006401001595897316
2019-10-10,-0.01261241323197253
2019-10-11,0.010018256503409949
2019-10-14,0.006206343643454756
2019-10-15,0.0011496093762356288
2019-10-16,-0.0028190749790382116
2019-10-17,0.015883714780125863
2019-10-18,0.01178344171082748
2019-10-22,0.01570734261035689
2019-10-23,-0.002895720378995278
2019-10-24,-0.002168093317561971
2019-10-25,-0.007646381361214599
2019-10-27,0.005320312789823521
2019-10-29,0.0005942457968462862
2019-10-30,-0.002264393225868206
2019-10-31,0.005676969632979461
2019-11-01,0.0015402881155736382
2019-11-04,-0.00020896859588126135
2019-11-05,-0.0007735158913975949
2019-11-06,0.00270776218871687
2019-11-07,-0.0007044440643516948
2019-11-08,-0.00434454015915564
2019-11-11,0.00486095393079888
2019-11-13,-0.00854893366367783
2019-11-14,0.005832791044823827
2019-11-15,0.0030167773425588637
2019-11-18,-0.0046675187975704305
2019-11-19,-0.004888664706168779
2019-11-20,0.0036970460948176813
2019-11-21,-0.001371939050896946
2019-11-22,-0.001535952836192657
2019-11-25,0.01559969351251806
2019-11-26,-0.014865184979054268
2019-11-27,0.004338224123088518
2019-11-28,0.0008730098075536187
2019-11-29,0.00271245849671212
2019-12-02,-0.008793583671092954
2019-12-03,-0.007432767751747272
2019-12-04,0.010304121998590089
2019-12-05,0.003258010263748351
2019-12-06,-0.02040756171210536
2019-12-09,-0.0016430192096845177
2019-12-10,-0.007352142352495998
2019-12-11,-0.002193806556852471
2019-12-12,0.00027359862733588865
2019-12-13,0.010056602923600522
2019-12-16,-0.005286449953344118
2019-12-17,0.005700423155822573
2019-12-18,0.008260923993221921
2019-12-19,-0.0024797299440194737
2019-12-20,0.0032047728232426085
2019-12-23,0.00031904299439148177
2019-12-24,-0.005379028119767622
2019-12-26,0.0011688697279868122
2019-12-27,0.003019427649574285
2019-12-30,0.0065509506024793085
2019-12-31,-0.003964521837840928
2020-01-01,0.0069512213584928635
2020-01-02,0.002961670515061513
2020-01-03,-0.0036859723561749715
2020-01-06,-0.017083117886072793
2020-01-07,0.00704988469886919
2020-01-08,0.00287030959213534
2020-01-09,0.014188793541059497
2020-01-10,0.006513615029298887
2020-01-13,0.022152436703848782
2020-01-14,-0.00022895636907014445
2020-01-15,0.0037026062229019155
2020-01-16,0.001682413847699066
2020-01-17,0.004832310125688004
2020-01-20,-0.008758923930770933
2020-01-21,-0.002888955653750528
2020-01-22,-0.003254562193604972
2020-01-23,0.013099602712427957
2020-01-24,0.014286940176133679
2020-01-27,0.0029515508229453237
2020-01-28,-0.00511651135514312
2020-01-29,0.007269119732143902
2020-01-30,-0.006895999170850986
2020-01-31,-0.0016874385580894448
2020-02-03,0.007938532786896973
2020-02-04,0.007701156050703428
2020-02-05,0.013774923733671982
2020-02-06,-0.0011051396212953535
2020-02-07,0.014335778660014925
