tkr,sig_date,entry_date,entry,trig,stop0,stop_pct,risk_pct,notional_pct,half_date,half_px,exit_date,exit_px,reason,held,R,gap_through
AUROPHARMA,2018-10-29,2018-11-01,765.81,743.65,688.88,11.17,2.0,19.91,,,2018-12-11,692.24,ma_breach,26,-0.956,False
PRAJIND,2019-01-07,2019-01-10,130.16,112.05,108.97,19.44,2.0,12.29,,,2019-01-25,108.97,stop,11,-1.0,False
COLPAL,2018-11-26,2018-11-27,1014.16,1014.16,968.95,4.67,2.0,44.86,2018-12-13,1104.5755094449419,2019-01-30,1069.48,ma_breach_half,45,1.612,False
MUTHOOTFIN,2018-12-07,2018-12-10,423.27,423.27,376.82,12.33,2.0,18.22,,,2019-02-05,438.41,ma_breach,40,0.326,False
AARTIIND,2018-12-11,2018-12-13,344.79,333.83,319.23,8.0,2.0,26.99,2019-02-04,395.8938080867429,2019-02-05,421.45,target3,37,2.5,False
ASTRAL,2019-01-30,2019-02-04,510.8,510.8,480.1,6.39,2.0,33.28,,,2019-02-21,480.1,stop,12,-1.0,False
TIINDIA,2018-12-07,2018-12-12,328.9,328.9,307.44,6.98,2.0,30.65,2019-01-03,371.8237314688379,2019-03-15,393.28,target3,64,2.5,False
PRAJIND,2019-01-29,2019-01-30,118.9,118.9,106.72,11.41,2.0,19.53,2019-03-06,143.24998939631044,2019-04-10,129.89,ma_breach_half,46,1.452,False
ABFRL,2019-02-19,2019-02-21,215.87,214.59,199.9,7.99,2.0,27.03,,,2019-04-10,218.48,ma_breach,31,0.164,False
EIHOTEL,2019-03-26,2019-04-01,200.64,197.41,177.58,12.99,2.0,17.4,,,2019-04-25,187.25,ma_breach,16,-0.581,False
MERCK,2019-04-05,2019-04-10,2925.09,2828.08,2722.42,7.44,2.0,28.87,,,2019-04-30,2722.42,stop,11,-1.0,False
AMBUJACEM,2019-04-24,2019-04-30,201.89,201.31,191.96,5.17,2.0,40.66,,,2019-05-07,196.77,ma_breach,4,-0.515,False
BATAINDIA,2019-01-31,2019-02-05,1111.95,1052.37,1014.23,9.63,2.0,22.76,2019-03-28,1307.392664609998,2019-05-09,1264.5,ma_breach_half,59,1.781,False
JUSTDIAL,2019-03-13,2019-03-18,654.0,654.0,552.9,18.29,2.0,12.94,,,2019-05-09,562.0,ma_breach,32,-0.91,False
STAR,2019-05-07,2019-05-10,466.24,466.24,427.67,9.02,2.0,24.18,,,2019-05-13,427.67,stop,1,-1.0,False
DCMSHRIRAM,2019-05-08,2019-05-13,465.98,439.29,425.99,9.39,2.0,23.31,,,2019-05-14,425.99,stop,1,-1.0,True
IPCALAB,2019-02-28,2019-03-06,427.63,397.15,389.48,9.8,2.0,22.42,,,2019-05-16,448.54,ma_breach,45,0.548,False
DCMSHRIRAM,2019-05-14,2019-05-16,479.12,463.56,403.2,18.83,2.0,12.62,,,2019-06-20,451.75,ma_breach,24,-0.361,False
LALPATHLAB,2019-06-20,2019-06-24,550.78,542.71,510.96,7.79,2.0,27.66,,,2019-06-28,510.96,stop,4,-1.0,False
BLUESTARCO,2019-05-03,2019-05-08,347.6,333.41,320.42,8.48,2.0,25.58,,,2019-07-09,354.3,ma_breach,43,0.246,False
MANAPPURAM,2019-05-14,2019-05-17,108.11,107.23,98.78,9.44,2.0,23.18,2019-06-14,126.76165570380833,2019-07-11,112.91,ma_breach_half,38,1.257,False
MERCK,2019-05-10,2019-05-15,3013.21,2768.84,2711.4,11.13,2.0,19.97,2019-05-17,3616.8396415654897,2019-07-16,3918.65,target3,43,2.5,False
DCMSHRIRAM,2019-06-26,2019-07-01,518.87,498.29,474.09,9.45,2.0,23.17,,,2019-07-16,486.98,ma_breach,11,-0.712,False
BALRAMCHIN,2019-07-12,2019-07-15,154.47,154.47,139.02,11.11,2.0,20.0,,,2019-07-18,139.02,stop,3,-1.0,False
FEDERALBNK,2019-05-02,2019-05-07,95.23,90.19,86.85,9.66,2.0,22.71,,,2019-07-22,94.44,ma_breach,53,-0.095,False
OBEROIRLTY,2019-07-09,2019-07-10,583.19,583.19,517.94,12.6,2.0,17.88,,,2019-07-25,517.94,stop,11,-1.0,True
LALPATHLAB,2019-07-17,2019-07-19,529.09,520.94,492.51,7.43,2.0,28.93,,,2019-08-02,505.08,ma_breach,10,-0.656,False
BRIGADE,2019-07-31,2019-08-02,129.24,129.24,123.31,4.81,2.0,43.61,2019-08-19,141.08885851020275,2019-08-28,147.02,target3,16,2.5,False
GSPL,2019-07-12,2019-07-16,204.75,198.7,189.81,7.87,2.0,27.41,,,2019-10-07,207.25,ma_breach,54,0.167,False
BRIGADE,2019-09-26,2019-10-01,160.87,146.18,141.12,14.0,2.0,16.29,,,2019-10-07,141.12,stop,3,-1.0,False
NAM-INDIA,2019-10-01,2019-10-07,226.32,222.56,211.01,7.25,2.0,29.58,2019-10-22,256.9198832164656,2019-10-23,272.22,target3,10,2.5,False
HDFCLIFE,2019-08-14,2019-08-19,535.56,530.51,471.84,13.51,2.0,16.81,,,2019-11-20,561.38,ma_breach,61,0.405,False
BPCL,2019-09-18,2019-09-23,132.43,124.65,118.22,12.02,2.0,18.64,2019-10-01,160.85277629027263,2019-11-20,175.06,target3,38,2.5,False
ASIANPAINT,2019-07-22,2019-07-25,1394.09,1326.99,1277.76,9.1,2.0,23.97,2019-09-23,1626.750868815268,2019-11-21,1629.18,ma_breach_half,77,2.01,False
