tkr,entry_date,entry,stop0,risk_pct,entry_to_stop_pct,half_date,half_px,exit_date,exit_px,reason,held_weeks,R,net_pnl,stt_paid
EIHOTEL,2019-05-20,177.28,157.52,2.0,12.54,,,2019-08-05,147.12,stop,11,-1.527,-26310.39,267.76
FLFL,2019-06-24,447.25,429.21,2.0,4.2,,,2019-09-03,425.0,stop,10,-1.233,-23991.43,754.12
SYMPHONY,2019-08-05,1171.61,1103.81,2.0,6.14,,,2019-11-04,1183.74,time,13,0.179,-581.57,505.49
BALRAMCHIN,2019-09-03,123.7,112.19,2.0,10.27,2019-09-23,150.77,2019-11-11,139.34,trail,10,1.679,25354.07,333.86
AARTIIND,2019-09-03,392.35,356.62,2.0,10.02,,,2019-12-02,413.76,time,13,0.599,7441.52,322.75
HINDPETRO,2019-09-06,134.53,119.38,2.0,12.68,,,2019-12-09,133.86,time,13,-0.044,-1064.34,249.53
RECLTD,2019-11-04,63.42,60.01,2.0,5.67,,,2019-12-09,58.04,stop,5,-1.579,-26884.19,563.05
KNRCON,2019-11-18,122.49,110.52,2.0,10.83,2020-01-20,148.2,2020-02-17,140.86,trail,13,1.768,25276.77,327.17
TCS,2019-12-09,1807.47,1707.29,2.0,5.87,,,2020-03-02,1732.44,stop,12,-0.749,-11425.09,496.86
GODREJPROP,2019-12-16,923.75,870.0,2.0,6.18,2020-01-27,1049.85,2020-03-02,1029.5,trail,11,1.984,28756.85,517.75
TITAN,2020-01-27,1204.56,1138.84,2.0,5.77,,,2020-03-16,1029.91,stop,7,-2.657,-42684.15,533.8
FINPIPE,2020-03-09,100.06,96.26,2.0,3.95,,,2020-03-16,91.58,stop,1,-2.229,-38829.17,768.43
REDINGTON,2020-03-16,44.06,38.61,2.0,14.13,,,2020-03-23,29.38,stop,1,-2.692,-38330.31,186.7
HINDUNILVR,2020-03-23,1744.34,1571.97,2.0,10.97,2020-04-13,2129.89,2020-05-04,1905.36,trail,6,1.467,19937.44,281.43
DRREDDY,2020-03-23,516.14,480.47,2.0,7.42,2020-04-07,625.86,2020-05-18,724.1,trail,8,3.916,56657.23,430.68
JUBLFOOD,2020-03-23,262.16,225.38,2.0,16.32,2020-06-15,342.53,2020-06-22,335.02,time,13,1.99,26475.33,210.65
ASTRAZEN,2020-03-24,2019.48,1872.94,2.0,7.82,2020-04-07,2487.41,2020-06-22,3250.87,time,13,5.202,72361.1,424.89
ORIENTELEC,2020-04-01,194.24,139.48,2.0,39.26,,,2020-06-29,190.39,time,13,-0.07,-1389.48,102.92
SANOFI,2020-04-07,4957.41,4393.91,2.0,12.82,,,2020-07-06,5943.59,time,13,1.75,23796.69,273.63
BALKRISIND,2020-04-13,836.86,760.61,2.0,10.03,2020-06-01,1037.54,2020-07-13,1215.26,time,13,3.481,58352.66,400.55
SCI,2020-06-22,45.93,42.15,2.0,8.99,2020-06-29,52.59,2020-08-03,49.91,trail,6,1.524,25184.56,492.04
NAM-INDIA,2020-06-29,260.17,229.53,2.0,13.35,,,2020-08-03,220.92,stop,5,-1.281,-26682.85,313.62
AMBER,2020-05-18,1151.0,1058.3,2.0,8.76,2020-06-08,1545.0,2020-08-17,1790.0,time,13,4.447,89595.52,498.44
GMRAIRPORT,2020-06-08,18.56,17.03,2.0,8.99,2020-08-24,22.16,2020-09-07,21.62,time,13,2.0,39287.05,497.9
MGL,2020-08-24,896.65,813.74,2.0,10.19,,,2020-09-07,782.07,stop,2,-1.382,-29959.93,427.66
ORIENTELEC,2020-08-31,200.0,183.46,2.0,9.01,,,2020-09-28,172.27,stop,4,-1.676,-37565.3,481.78
POLYCAB,2020-07-09,825.84,737.99,2.0,11.9,,,2020-10-05,800.38,time,13,-0.29,-7048.68,367.97
SFL,2020-09-08,721.5,673.53,2.0,7.12,,,2020-10-05,679.25,stop,4,-0.881,-21362.15,585.87
DMART,2020-10-05,2192.95,2082.9,2.0,5.28,,,2020-10-12,2072.0,stop,1,-1.099,-22580.84,748.72
SUDARSCHEM,2020-08-03,399.01,370.93,2.0,7.57,2020-08-31,462.93,2020-11-02,430.97,trail,13,1.569,30852.12,580.27
RELAXO,2020-10-20,660.71,638.16,2.0,3.53,2020-11-17,734.72,2021-01-18,833.01,time,13,4.819,98327.04,1209.55
ABBOTINDIA,2020-12-14,15131.25,14181.48,2.0,6.7,,,2021-01-18,14036.22,stop,5,-1.153,-26904.28,655.51
DMART,2020-11-02,2240.0,2100.35,2.0,6.65,2020-12-14,2715.0,2021-02-01,2700.0,trail,13,2.647,60548.12,653.22
HAL,2020-11-17,348.17,312.15,2.0,11.54,2021-01-18,441.06,2021-02-15,473.93,time,13,2.745,59422.35,449.52
BBTC,2021-02-08,1231.83,1178.55,2.0,4.52,,,2021-02-22,1170.19,stop,2,-1.157,-30556.62,1013.09
ASTRAZEN,2021-02-08,3852.65,3549.5,2.0,8.54,,,2021-03-01,3422.34,stop,3,-1.419,-33785.72,539.29
GRSE,2021-02-15,183.14,169.95,2.0,7.76,,,2021-04-19,163.5,stop,9,-1.489,-36284.92,576.39
GMMPFAUDLR,2021-02-22,1437.66,1226.35,2.0,17.23,,,2021-05-24,1695.61,time,13,1.221,25696.69,319.11
MOIL,2021-02-22,127.9,118.98,2.0,7.5,2021-05-10,158.85,2021-05-24,147.55,time,13,2.1,57088.29,677.71
CCL,2021-03-08,245.19,220.09,2.0,11.4,2021-05-10,308.11,2021-06-07,350.15,time,13,3.091,71211.84,499.2
STAR,2021-06-14,815.39,760.31,2.0,7.24,,,2021-06-28,752.21,stop,2,-1.147,-31603.26,750.63
CUB,2021-06-28,127.24,117.34,2.0,8.44,,,2021-07-12,117.74,stop,2,-0.96,-25686.32,632.97
CRISIL,2021-04-19,1753.81,1637.68,2.0,7.09,2021-06-14,2210.82,2021-07-19,2569.42,time,13,4.512,111793.27,745.03
CREDITACC,2021-07-12,729.61,691.12,2.0,5.57,,,2021-08-02,657.88,stop,3,-1.863,-50643.68,917.49
ALKEM,2021-05-10,2789.46,2614.16,2.0,6.71,2021-07-12,3211.45,2021-08-09,3332.2,time,13,2.548,60261.2,774.76
DCBBANK,2021-05-24,98.87,91.36,2.0,8.22,,,2021-08-16,87.42,stop,12,-1.525,-37697.83,580.01
BLUESTARCO,2021-08-09,412.71,399.42,2.0,3.33,,,2021-08-16,399.32,stop,1,-1.007,-31251.56,1489.03
CHALET,2021-08-16,169.81,158.87,2.0,6.88,2021-09-27,222.75,2021-11-15,284.68,time,13,6.251,175226.66,913.53
INDIGO,2021-08-16,1674.17,1613.47,2.0,3.76,2021-09-06,1981.15,2021-11-15,2306.1,time,13,6.206,179800.08,1483.92
3MINDIA,2021-09-06,22856.25,21012.18,2.0,8.78,,,2021-12-06,23977.46,time,13,0.608,13521.13,661.49
INFIBEAM,2021-09-06,22.73,19.88,2.0,14.34,,,2021-12-06,20.0,time,13,-0.956,-26270.52,390.47
HINDCOPPER,2021-10-11,124.55,107.79,2.0,15.55,,,2022-01-10,128.6,time,13,0.241,6132.55,432.58
ADANIPORTS,2021-11-15,733.86,690.25,2.0,6.32,,,2022-02-14,695.8,time,13,-0.873,-28797.57,1013.21
3MINDIA,2021-12-06,23977.46,22247.61,2.0,7.78,,,2022-02-14,21418.15,stop,10,-1.479,-47614.21,782.13
AMBER,2021-12-06,3274.05,2975.0,2.0,10.05,,,2022-03-07,3400.0,time,13,0.421,10224.34,665.15
HATSUN,2022-02-14,1074.32,1026.39,2.0,4.67,,,2022-04-04,1025.97,stop,7,-1.009,-35140.39,1276.68
CERA,2022-01-31,4651.67,4076.42,2.0,14.11,,,2022-05-02,4054.75,stop,13,-1.038,-31821.63,441.59
AARTIIND,2022-04-04,946.04,894.46,2.0,5.77,,,2022-05-02,861.52,stop,4,-1.639,-49688.54,1023.2
ASAHIINDIA,2022-05-02,454.02,435.05,2.0,4.36,,,2022-05-09,424.23,stop,1,-1.57,-47597.04,1238.73
BSOFT,2022-03-07,408.03,370.5,2.0,10.13,,,2022-05-16,345.4,stop,10,-1.669,-48260.43,568.28
TATASTEEL,2022-03-07,110.03,97.38,2.0,12.99,,,2022-05-16,96.5,stop,10,-1.07,-31106.68,462.11
MHRIL,2022-05-16,233.15,215.0,2.0,8.44,,,2022-06-20,210.1,stop,5,-1.27,-32700.33,589.17
CHOLAFIN,2022-05-16,633.88,596.19,2.0,6.32,2022-08-08,770.22,2022-08-16,779.32,time,13,2.93,88575.66,901.81
MAXHEALTH,2022-05-16,365.83,347.72,2.0,5.21,,,2022-08-16,353.39,time,13,-0.687,-18293.31,957.71
ASAHIINDIA,2022-06-20,458.32,416.32,2.0,10.09,2022-07-11,567.02,2022-08-16,545.43,trail,8,2.037,52576.66,565.34
KPRMILL,2022-08-22,615.09,566.04,2.0,8.66,,,2022-09-19,563.4,stop,4,-1.054,-31472.12,664.56
GUJALKALI,2022-08-16,709.77,679.77,2.0,4.41,2022-08-22,804.81,2022-10-03,782.86,trail,7,2.218,68994.54,1316.45
TRITURBINE,2022-08-08,186.87,167.5,2.0,11.57,2022-09-26,226.75,2022-11-07,283.39,time,13,3.49,91758.19,608.42
ABFRL,2022-08-16,292.8,271.5,2.0,7.85,2022-10-03,348.0,2022-11-14,319.05,trail,13,1.616,48825.92,772.29
MAHLIFE,2022-11-14,404.48,384.11,2.0,5.3,,,2022-11-28,360.25,stop,2,-2.171,-74838.65,1200.36
BRIGADE,2022-10-03,375.96,345.22,2.0,8.9,,,2022-12-19,340.42,stop,11,-1.156,-36380.65,684.97
CANBK,2022-10-03,39.89,36.32,2.0,9.83,2022-10-31,50.75,2022-12-26,51.03,trail,12,2.56,89210.78,747.28
PVR,2022-10-03,1793.0,1630.0,2.0,10.0,,,2023-01-02,1728.8,time,13,-0.394,-12719.93,635.07
POWERINDIA,2022-12-19,3328.27,3056.76,2.0,8.88,,,2023-01-30,3030.09,stop,6,-1.098,-35272.34,699.92
EIDPARRY,2023-01-02,560.58,522.65,2.0,7.26,,,2023-01-30,517.63,stop,4,-1.132,-36116.79,833.35
SUMICHEM,2022-11-28,460.69,435.06,2.0,5.89,,,2023-02-20,421.68,stop,12,-1.522,-49932.04,1046.52
ASHOKLEY,2023-01-30,67.91,65.41,2.0,3.82,,,2023-02-27,64.13,stop,4,-1.509,-43792.37,1440.96
CREDITACC,2023-02-27,999.08,933.7,2.0,7.0,,,2023-03-20,905.82,stop,3,-1.426,-40147.17,765.32
ASTERDM,2023-02-20,172.42,156.53,2.0,10.16,,,2023-05-22,192.97,time,13,1.292,30336.42,607.68
BDL,2023-02-20,430.02,384.3,2.0,11.9,,,2023-05-22,520.72,time,13,1.984,51463.03,549.84
LEMONTREE,2023-03-06,79.1,72.9,2.0,8.5,2023-05-22,94.85,2023-06-05,93.95,time,13,2.198,60842.66,718.46
360ONE,2023-03-27,403.62,373.47,2.0,8.07,,,2023-06-26,433.02,time,13,0.975,21676.95,685.22
3MINDIA,2023-05-22,23018.87,22141.98,2.0,3.96,2023-06-05,25365.91,2023-08-21,28138.56,time,13,3.919,110750.59,1558.81
BEML,2023-06-05,739.94,696.36,2.0,6.26,2023-07-24,834.31,2023-09-04,1238.89,time,13,6.724,192763.12,1179.09
360ONE,2023-06-26,433.02,400.84,2.0,8.03,2023-09-11,509.02,2023-09-25,511.91,time,13,2.226,70181.89,893.01
HINDPETRO,2023-09-11,159.41,150.91,2.0,5.63,,,2023-10-30,148.78,stop,7,-1.25,-47473.34,1308.43
JINDWORLD,2023-08-07,68.72,61.28,2.0,12.15,,,2023-11-06,67.55,time,13,-0.157,-7366.15,609.74
ELGIEQUIP,2023-09-04,492.45,459.78,2.0,7.11,,,2023-12-04,527.31,time,13,1.067,33905.0,1105.1
CGCL,2023-10-30,763.65,730.81,2.0,4.49,,,2024-01-08,194.66,stop,10,-17.325,-600474.08,1004.06
BDL,2023-11-08,520.62,471.05,2.0,10.52,2023-12-11,653.86,2024-02-05,873.45,time,13,4.559,166727.88,897.64
DEVYANI,2023-12-11,188.9,176.0,2.0,7.33,,,2024-02-05,171.45,stop,8,-1.353,-53542.28,1031.14
ASHOKLEY,2024-02-05,81.29,77.78,2.0,4.52,,,2024-03-18,74.96,stop,6,-1.803,-47629.18,1125.44
DATAPATTNS,2024-02-21,2026.72,1742.21,2.0,16.33,2024-03-04,2785.94,2024-03-26,2289.5,trail,5,1.462,44280.22,401.99
SUPRAJIT,2024-01-02,404.03,357.6,2.0,12.98,,,2024-04-01,407.85,time,13,0.082,558.85,463.38
BRITANNIA,2024-03-18,4852.42,4660.47,2.0,4.12,,,2024-04-15,4623.44,stop,4,-1.193,-32277.76,1243.15
BAJFINANCE,2024-04-01,713.68,662.94,2.0,7.65,,,2024-04-29,667.36,stop,4,-0.913,-24051.31,680.54
ABCAPITAL,2024-02-05,182.0,163.35,2.0,11.42,2024-04-29,233.0,2024-05-06,232.5,time,13,2.354,67828.31,562.6
CHEMPLASTS,2024-04-15,485.0,464.0,2.0,4.53,,,2024-05-13,462.0,stop,4,-1.095,-32822.61,1140.18
NESTLEIND,2024-05-13,1240.94,1198.9,2.0,3.51,,,2024-05-21,1208.23,stop,1,-0.778,-21577.13,1423.91
