id,ticker,entry_date,cohort,ext_band,crs_tercile,false_touch,noise_stop,exit_too_early,R,opp_quality_R,ext_vs_sma,rank_crs
635ab3c7ce41,LAURUSLABS,2020-05-26,strong_winner,1,2,0,0,1,8.597,23.659,21.4,0.4317
9197575f1196,THERMAX,2022-03-07,strong_winner,1,2,0,0,1,2.144,5.151,14.37,0.2131
67e537dd4a27,ASTRAZEN,2021-01-05,false_touch,2,0,1,0,0,-0.948,-0.351,30.43,0.004
d557b10fb90a,GPPL,2021-03-08,false_touch,2,0,1,0,0,-1.075,0.386,34.04,0.0561
25c156e58342,INDIGO,2021-02-08,noise_stop,2,0,0,1,0,-1.098,0.937,31.71,0.0282
35d25f8653d0,CHENNPETRO,2021-03-08,noise_stop,2,0,0,1,0,-1.271,1.23,30.38,0.0366
ac64c362b060,JKLAKSHMI,2021-02-15,strong_winner,2,0,0,0,0,3.315,5.126,32.95,0.0129
f49fb5bd658b,INFY,2021-02-15,strong_winner,2,0,0,0,0,2.159,2.873,35.21,0.0335
856fba3fa751,ROSSARI,2021-09-06,false_touch,2,1,1,0,0,-1.226,0.648,34.21,0.1207
f6d2daae20fd,BAJFINANCE,2021-09-27,false_touch,2,1,1,0,0,-1.054,0.045,37.41,0.1641
54d06bbbfc2a,ADANIGREEN,2022-08-22,false_touch,2,1,1,0,0,-1.471,0.253,29.29,0.1702
57878391e9a2,CREDITACC,2024-01-08,false_touch,2,1,1,0,0,-0.989,0.123,30.84,0.1352
617f6c0239fb,FINCABLES,2024-05-27,false_touch,2,1,1,0,0,-1.011,1.32,27.98,0.1538
40f718282332,JMFINANCIL,2021-07-19,false_touch,2,1,1,0,0,-1.009,-0.016,28.91,0.1688
7e54486c593d,SUPREMEIND,2021-10-11,false_touch,2,1,1,0,0,-1.106,-0.027,28.54,0.095
9b1b3a370d63,PNBHOUSING,2021-09-20,false_touch,2,1,1,0,0,-1.912,0.29,31.38,0.1312
5b6146fd324b,CERA,2021-11-08,false_touch,2,1,1,0,0,-1.007,-0.046,30.25,0.1326
f5c4028d8f62,CONCOR,2024-01-08,false_touch,2,1,1,0,0,-1.438,1.526,30.56,0.1481
001fd56e0646,VARROC,2021-02-22,false_touch,2,1,1,0,0,-1.204,0.515,41.23,0.1107
47f1010ac3e8,JUBLFOOD,2021-08-16,false_touch,2,1,1,0,0,-1.039,0.953,31.07,0.1445
21b608b5ebab,CYIENT,2024-02-05,false_touch,2,1,1,0,0,-1.237,0.564,28.76,0.1331
65dc9fa8c54b,VMART,2021-10-11,noise_stop,2,1,0,1,0,-1.081,1.295,30.06,0.1099
ebff30741521,AMBUJACEM,2024-02-26,noise_stop,2,1,0,1,0,-0.876,0.939,30.84,0.1706
8201d588a48e,KAJARIACER,2021-10-11,noise_stop,2,1,0,1,0,-1.081,0.447,30.02,0.0995
64705d3cb46c,CUMMINSIND,2021-05-24,noise_stop,2,1,0,1,0,-1.168,0.931,34.18,0.1671
51cdef937bed,JKPAPER,2024-06-18,noise_stop,2,1,0,1,0,-1.076,1.625,29.51,0.1671
ea93b2d4844d,WESTLIFE,2021-03-01,noise_stop,2,1,0,1,0,-1.039,0.106,35.42,0.087
de0890fafba6,DALBHARAT,2021-10-04,noise_stop,2,1,0,1,0,-1.468,0.266,28.46,0.0922
cb9ffa9b3ee1,BANKBARODA,2021-04-05,noise_stop,2,1,0,1,0,-2.376,0.542,30.91,0.1328
1d15b08a916a,ARE&M,2020-12-21,noise_stop,2,1,0,1,0,-0.987,0.279,36.71,0.0928
544f993c78a1,GNFC,2023-12-18,noise_stop,2,1,0,1,0,-1.021,0.435,28.36,0.1285
3c54636b4a01,BAJAJCON,2021-02-08,noise_stop,2,1,0,1,0,-1.049,0.691,51.78,0.1441
fd44f5a40330,3MINDIA,2021-03-16,noise_stop,2,1,0,1,0,-1.068,0.386,36.07,0.094
083c60935458,ALOKINDS,2024-04-08,noise_stop,2,1,0,1,0,-0.982,-0.036,30.62,0.1706
7d325ee8930b,SBIN,2021-04-26,strong_winner,2,1,0,0,0,3.861,6.792,28.44,0.1523
2e6c455ea227,BSOFT,2021-03-15,strong_winner,2,1,0,0,0,5.073,8.951,40.66,0.1205
63be256db986,HAVELLS,2020-12-21,strong_winner,2,1,0,0,0,2.009,2.528,45.26,0.156
5de30d4649cf,SKFINDIA,2021-11-01,strong_winner,2,1,0,0,0,2.038,3.013,32.05,0.1569
c241d1b31ef1,HIMATSEIDE,2021-05-04,strong_winner,2,1,0,0,1,3.257,6.486,29.88,0.128
28d8cda3aaf6,LINDEINDIA,2020-12-21,strong_winner,2,1,0,0,1,3.198,5.371,40.07,0.1117
cd7b6b62fca8,ORIENTCEM,2021-02-08,strong_winner,2,1,0,0,1,2.506,4.53,42.37,0.0826
ebb976663a65,BEL,2021-08-16,strong_winner,2,1,0,0,0,2.233,3.748,28.8,0.1208
ff9600d988ca,NBCC,2021-04-26,strong_winner,2,1,0,0,0,4.625,9.907,29.48,0.168
35af76a484df,SUNDRMFAST,2021-02-08,strong_winner,2,1,0,0,0,2.217,2.55,41.71,0.0923
d5e96b94ace7,CERA,2021-02-15,strong_winner,2,1,0,0,1,2.177,3.691,39.47,0.0861
76e6282f4258,GHCL,2021-01-25,strong_winner,2,1,0,0,1,2.011,3.168,40.56,0.0997
eeed25e3b4b4,BASF,2021-04-05,strong_winner,2,1,0,0,0,2.272,3.29,33.16,0.15
6a532f497497,VAIBHAVGBL,2021-05-10,false_touch,2,2,1,0,0,-1.173,-0.329,100.41,0.713
48f7fb6f0e4b,IDBI,2021-10-18,false_touch,2,2,1,0,0,-0.994,-0.103,66.86,0.4193
1518fc145395,HINDCOPPER,2024-04-08,false_touch,2,2,1,0,0,-0.946,1.368,69.01,0.4903
f770f2922ed9,ESCORTS,2023-11-15,false_touch,2,2,1,0,0,-1.149,0.579,31.15,0.2525
84d7ff7d4096,AARTIIND,2024-02-19,false_touch,2,2,1,0,0,-1.032,0.439,31.0,0.1932
a4713a6e3f9c,WIPRO,2021-09-06,false_touch,2,2,1,0,0,-1.015,0.484,38.64,0.178
41c0c0456772,RITES,2020-02-17,false_touch,2,2,1,0,0,-0.921,-0.05,30.23,0.1993
66c29a893438,SKFINDIA,2022-01-03,false_touch,2,2,1,0,0,-1.625,1.691,28.33,0.2045
269060f57763,TITAN,2018-04-30,false_touch,2,2,1,0,0,-0.993,0.205,30.04,0.2186
2dfcbc6e898d,INTELLECT,2021-07-19,false_touch,2,2,1,0,0,-1.767,1.34,59.02,0.4056
3904bfaee349,DEEPAKFERT,2022-10-24,false_touch,2,2,1,0,0,-1.232,-0.109,56.84,0.4479
2a3058e7a7d5,VTL,2022-03-28,false_touch,2,2,1,0,0,-2.257,-0.426,34.08,0.3039
ad033daea7ff,GICRE,2021-03-15,false_touch,2,2,1,0,0,-1.018,0.219,46.26,0.1849
80b24d198be8,ZYDUSLIFE,2021-06-07,false_touch,2,2,1,0,0,-1.009,0.108,37.29,0.175
f416c891628b,MANAPPURAM,2020-01-20,false_touch,2,2,1,0,0,-1.652,0.258,31.48,0.2242
4a3a469f364f,RAIN,2018-02-15,false_touch,2,2,1,0,0,-1.399,0.184,77.13,0.6888
ffdc0d8e6038,DBL,2018-04-30,false_touch,2,2,1,0,0,-1.476,0.148,42.87,0.315
1e75adffd798,INDIACEM,2022-01-10,false_touch,2,2,1,0,0,-1.122,0.264,29.3,0.1759
0f255385fbee,LAURUSLABS,2021-08-16,false_touch,2,2,1,0,0,-1.306,-0.113,61.36,0.412
9ce0890c83f6,HINDCOPPER,2021-06-28,false_touch,2,2,1,0,0,-1.356,0.732,62.97,0.4881
9c408c90b4e6,TAKE,2021-06-14,false_touch,2,2,1,0,0,-1.027,0.002,35.09,0.1754
cfddd064d1f4,THERMAX,2024-06-05,false_touch,2,2,1,0,0,-1.003,0.173,59.61,0.4605
5973489a89b2,SUNTECK,2018-02-19,false_touch,2,2,1,0,0,-1.0,2.007,31.34,0.2437
72c7f7041989,DLF,2020-01-13,false_touch,2,2,1,0,0,-1.223,0.408,31.06,0.2508
2a31c3f3844c,KAJARIACER,2019-06-03,false_touch,2,2,1,0,0,-1.213,0.018,28.71,0.1778
28906ba9adc6,MAHABANK,2024-05-21,false_touch,2,2,1,0,0,-1.029,2.176,31.21,0.1849
410ddd7fec27,BIRLACORPN,2021-07-19,false_touch,2,2,1,0,0,-1.038,1.445,51.98,0.3544
5c14ce7e252e,MAHLIFE,2022-10-03,false_touch,2,2,1,0,0,-1.934,0.05,30.4,0.2532
fa0c36f769f0,IIFL,2018-02-19,false_touch,2,2,1,0,0,-1.273,0.308,32.11,0.2351
e124a86ff84b,BAJAJFINSV,2021-09-27,false_touch,2,2,1,0,0,-1.066,0.107,61.72,0.3724
f289d224114a,ABB,2022-11-07,false_touch,2,2,1,0,0,-1.451,0.08,27.92,0.1828
ae446f3b1f83,GODFRYPHLP,2019-03-25,false_touch,2,2,1,0,0,-1.054,0.299,32.57,0.2549
6b468b242b4d,PRAJIND,2019-02-04,false_touch,2,2,1,0,0,-1.1,2.12,30.55,0.2991
5f2d09cc9960,HEG,2021-06-28,false_touch,2,2,1,0,0,-1.407,1.32,68.32,0.4586
e2f71f7cb4d4,CEATLTD,2022-11-28,false_touch,2,2,1,0,0,-1.027,0.469,44.96,0.3319
e0557036dbf6,CSBBANK,2021-07-19,false_touch,2,2,1,0,0,-1.159,0.22,34.87,0.2155
79af42e7300d,HFCL,2018-02-12,false_touch,2,2,1,0,0,-1.0,0.469,38.59,0.2869
34a335f6efde,GUJALKALI,2018-02-19,false_touch,2,2,1,0,0,-1.304,-0.571,38.33,0.3151
c987bbd5f2df,ATGL,2022-10-24,false_touch,2,2,1,0,0,-0.281,2.102,30.85,0.2214
2d7330ca7261,FDC,2018-02-12,false_touch,2,2,1,0,0,-1.078,0.191,47.3,0.4042
219d33d24c0c,DATAPATTNS,2023-02-10,noise_stop,2,2,0,1,0,-1.21,-0.06,42.89,0.3775
c4167f5f9a79,SONATSOFTW,2021-09-27,noise_stop,2,2,0,1,0,-1.384,0.015,61.15,0.322
7e0532f20282,SUZLON,2022-01-19,noise_stop,2,2,0,1,0,-1.028,0.085,73.07,0.5882
acc371313a3b,TRITURBINE,2021-12-06,noise_stop,2,2,0,1,0,-0.877,1.504,40.26,0.3316
aaa425c8026a,ELGIEQUIP,2018-02-12,noise_stop,2,2,0,1,0,-1.09,-0.08,39.67,0.3146
41da6d475950,MFSL,2020-01-06,noise_stop,2,2,0,1,0,-1.37,0.247,28.05,0.2162
a9163ff76de9,HINDALCO,2021-01-11,noise_stop,2,2,0,1,0,-0.991,2.047,58.75,0.2236
18c3a30b44ac,VIJAYA,2024-01-01,noise_stop,2,2,0,1,0,-1.593,0.378,41.21,0.2397
