ticker,from_date,to_date
DEN,2011-06-06,2019-10-29
DENABANK,2011-01-01,2018-12-03
DEVYANI,2021-06-14,2030-12-31
DHANI,2021-06-14,2023-01-05
DHANUKA,2019-10-29,2021-06-14
DHFL,2011-01-01,2019-10-29
DISHTV,2011-06-06,2021-06-14
DIVISLAB,2011-04-20,2030-12-31
DIXON,2017-09-18,2030-12-31
DLF,2011-04-20,2030-12-31
DMART,2017-03-21,2030-12-31
DOMS,2024-10-21,2030-12-31
DREDGECORP,2011-06-06,2019-10-29
DRREDDY,2011-04-20,2030-12-31
EASEMYTRIP,2021-06-14,2024-10-21
ECLERX,2011-04-20,2030-12-31
EDELWEISS,2011-06-06,2023-09-05
EICHERMOT,2011-04-20,2030-12-31
EIDPARRY,2011-04-20,2030-12-31
EIHOTEL,2011-04-20,2030-12-31
ELECON,2024-10-21,2030-12-31
ELGIEQUIP,2011-04-20,2030-12-31
EMAMILTD,2011-04-20,2030-12-31
EMCURE,2024-10-21,2030-12-31
EMMVEE,2026-03-05,2030-12-31
ENDURANCE,2016-10-19,2030-12-31
ENGINERSIN,2011-04-20,2030-12-31
ENRIN,2025-10-26,2030-12-31
EPIGRAL,2023-09-05,2024-10-21
EPL,2021-06-14,2024-10-21
EQUITAS,2011-01-01,2022-07-22
EQUITASBNK,2021-06-14,2024-10-21
ERIS,2017-06-30,2022-07-22
ERIS,2023-09-05,2030-12-31
EROSMEDIA,2011-06-06,2019-10-29
ESABINDIA,2019-10-29,2021-06-14
ESCORTS,2011-04-20,2030-12-31
ESSELPACK,2019-10-29,2021-06-14
ETERNAL,2024-10-21,2030-12-31
EVEREADY,2011-06-06,2019-10-29
EXCELCROP,2011-01-01,2019-10-29
EXIDEIND,2011-04-20,2030-12-31
FACT,2021-06-14,2030-12-31
FCONSUMER,2011-11-04,2021-06-14
FDC,2011-06-06,2024-10-21
FEDERALBNK,2011-04-20,2030-12-31
FINCABLES,2011-04-20,2030-12-31
FINEORG,2019-10-29,2024-10-21
FINPIPE,2011-04-20,2026-03-05
FIRSTCRY,2024-10-21,2030-12-31
FIVESTAR,2023-01-05,2030-12-31
FLFL,2013-10-01,2019-10-29
FLUOROCHEM,2019-10-29,2030-12-31
FORCEMOT,2025-10-26,2030-12-31
FORTIS,2018-12-03,2030-12-31
FRETAIL,2016-08-29,2021-06-14
FSL,2011-04-20,2030-12-31
GABRIEL,2026-03-05,2030-12-31
GAEL,2021-06-14,2024-10-21
GAIL,2011-04-20,2030-12-31
GALAXYSURF,2018-02-08,2024-10-21
GALLANTT,2026-03-05,2030-12-31
GARFIBRES,2019-10-29,2023-09-05
GAYAPROJ,2011-08-22,2019-10-29
GDL,2011-01-01,2019-10-29
GEPIL,2011-01-01,2021-06-14
GESHIP,2011-04-20,2030-12-31
GET&D,2011-01-01,2021-06-14
GHCL,2011-06-06,2021-06-14
GICRE,2017-10-25,2030-12-31
GILLETTE,2011-04-20,2021-06-14
GILLETTE,2023-09-05,2030-12-31
GLAND,2021-06-14,2030-12-31
GLAXO,2011-04-20,2030-12-31
GLENMARK,2011-04-20,2030-12-31
GLS,2021-06-14,2022-07-22
GLS,2023-09-05,2024-10-21
GMDCLTD,2011-04-20,2021-06-14
GMDCLTD,2024-10-21,2030-12-31
GMMPFAUDLR,2019-10-29,2024-10-21
GMRAIRPORT,2011-04-20,2021-06-14
GMRAIRPORT,2022-07-22,2030-12-31
GNFC,2011-04-20,2025-10-26
GOCOLORS,2021-06-14,2024-10-21
GODFRYPHLP,2011-04-20,2030-12-31
GODIGIT,2024-10-21,2030-12-31
GODREJAGRO,2017-10-16,2023-09-05
GODREJAGRO,2024-10-21,2026-03-05
GODREJCP,2011-04-20,2030-12-31
GODREJIND,2011-04-20,2030-12-31
GODREJPROP,2011-04-20,2030-12-31
GPIL,2023-09-05,2030-12-31
GPPL,2011-04-20,2025-10-26
GRANULES,2011-04-20,2030-12-31
GRAPHITE,2011-04-20,2030-12-31
GRASIM,2011-04-20,2030-12-31
GRAVITA,2024-10-21,2030-12-31
GREAVESCOT,2011-06-06,2021-06-14
GREENPANEL,2022-07-22,2023-09-05
GREENPLY,2011-06-06,2019-10-29
GRINDWELL,2011-06-06,2024-10-21
GRINFRA,2021-06-14,2024-10-21
GROWW,2026-03-05,2030-12-31
GRSE,2019-10-29,2021-06-14
GRSE,2024-10-21,2030-12-31
GSFC,2011-06-06,2024-10-21
GSKCONS,2011-01-01,2019-10-29
GSPL,2011-04-20,2030-12-31
GUJALKALI,2011-06-06,2024-10-21
GUJFLUORO,2011-01-01,2019-10-29
GUJGASLTD,2015-09-15,2026-03-05
GULFOILLUB,2014-07-31,2021-06-14
GVKPIL,2011-06-06,2019-10-29
GVT&D,2024-10-21,2030-12-31
HAL,2018-04-02,2030-12-31
HAPPSTMNDS,2021-06-14,2026-03-05
HATHWAY,2011-06-06,2022-07-22
HATSUN,2014-06-20,2023-01-05
HAVELLS,2011-04-20,2030-12-31
HBLENGINE,2024-10-21,2030-12-31
HCC,2011-06-06,2019-10-29
HCL-INSYS,2011-06-06,2019-10-29
HCLTECH,2011-04-20,2030-12-31
HDBFS,2026-03-05,2030-12-31
HDFCAMC,2019-10-29,2030-12-31
HDFCBANK,2011-04-20,2030-12-31
HDFCLIFE,2017-11-17,2030-12-31
HEG,2011-04-20,2030-12-31
HEIDELBERG,2011-06-06,2021-06-14
HEMIPROP,2021-06-14,2022-07-22
HERITGFOOD,2011-06-06,2021-06-14
HEROMOTOCO,2011-04-20,2030-12-31
HEXAWARE,2011-01-01,2021-06-14
HEXT,2025-10-26,2030-12-31
HFCL,2011-04-20,2030-12-31
HGS,2021-06-14,2023-09-05
HIKAL,2021-06-14,2023-09-05
HIMATSEIDE,2011-06-06,2021-06-14
HINDALCO,2011-04-20,2030-12-31
HINDCOPPER,2011-04-20,2030-12-31
HINDPETRO,2011-04-20,2030-12-31
HINDUNILVR,2011-04-20,2030-12-31
HINDZINC,2011-04-20,2030-12-31
HLEGLAS,2021-06-14,2024-10-21
HOMEFIRST,2021-06-14,2030-12-31
HONASA,2024-10-21,2030-12-31
HONAUT,2011-04-20,2030-12-31
HSCL,2011-04-20,2021-06-14
HSCL,2024-10-21,2030-12-31
HSIL,2011-01-01,2018-12-03
HUDCO,2017-05-19,2030-12-31
HYUNDAI,2024-10-21,2030-12-31
IBREALEST,2011-06-06,2023-09-05
IBULHSGFIN,2011-01-01,2024-10-21
IBVENTURES,2011-01-01,2021-06-14
ICICIAMC,2026-03-05,2030-12-31
ICICIBANK,2011-04-20,2030-12-31
ICICIGI,2017-09-27,2030-12-31
ICICIPRULI,2016-09-29,2030-12-31
ICIL,2011-06-06,2019-10-29
ICIL,2021-06-14,2022-07-22
ICRA,2019-10-29,2021-06-14
IDBI,2011-04-20,2030-12-31
IDEA,2011-04-20,2030-12-31
IDFCFIRSTB,2015-11-06,2030-12-31
IEX,2017-10-23,2030-12-31
IFBIND,2011-06-06,2023-09-05
IFCI,2011-04-20,2021-06-14
IFCI,2024-10-21,2030-12-31
IGIL,2024-10-21,2030-12-31
IGL,2011-04-20,2030-12-31
IIFL,2011-04-20,2018-12-03
IIFL,2019-10-29,2030-12-31
IIFLWAM,2019-10-29,2023-01-05
IKS,2024-10-21,2030-12-31
IL&FSTRANS,2011-06-06,2019-10-29
INDGN,2024-10-21,2030-12-31
INDHOTEL,2011-04-20,2030-12-31
INDIACEM,2011-04-20,2030-12-31
INDIAMART,2019-10-29,2030-12-31
INDIANB,2011-04-20,2030-12-31
