BALKRISHNA INDUSTRIES LIMITED (XNSE:BALKRISIND),BALKRISIND,BALKRISIND.NS,,,,,,,,,,,,
GODAWARI POWER AND ISPAT LIMITED (XNSE:GPIL),GPIL,GPIL.NS,,,,,,,,,,,,
Max Financial Services Limited (XNSE:MFSL),MFSL,MFSL.NS,,,,,,,,,,,,
Capri Global Capital Limited (XNSE:CGCL),CGCL,CGCL.NS,,,,,,,,,,,,
ONE 97 COMMUNICATIONS LIMITED (XNSE:PAYTM),PAYTM,PAYTM.NS,,,,,,,,,,,,
HINDALCO INDUSTRIES LIMITED (XNSE:HINDALCO),HINDALCO,HINDALCO.NS,,,,,,,,,,,,
DELHIVERY LIMITED (XNSE:DELHIVERY),DELHIVERY,DELHIVERY.NS,,,,,,,,,,,,
APAR INDUSTRIES LIMITED (XNSE:APARINDS),APARINDS,APARINDS.NS,,,,,,,,,,,,
MAHINDRA AND MAHINDRA LIMITED (XNSE:M&M),M&M,M&M.NS,,,,,,,,,,,,
UNION BANK OF INDIA LIMITED (XNSE:UNIONBANK),UNIONBANK,UNIONBANK.NS,,,,,,,,,,,,
MANAPPURAM FINANCE LIMITED (XNSE:MANAPPURAM),MANAPPURAM,MANAPPURAM.NS,,,,,,,,,,,,
BANDHAN BANK LIMITED (XNSE:BANDHANBNK),BANDHANBNK,BANDHANBNK.NS,,,,,,,,,,,,
BAJAJ AUTO LIMITED. (XNSE:BAJAJ-AUTO),BAJAJ-AUTO,BAJAJ-AUTO.NS,,,,,,,,,,,,
THERMAX LIMITED. (XNSE:THERMAX),THERMAX,THERMAX.NS,,,,,,,,,,,,
ADITYA BIRLA SUN LIFE AMC LIMITED (XNSE:ABSLAMC),ABSLAMC,ABSLAMC.NS,,,,,,,,,,,,
KAJARIA CERAMICS LIMITED (XNSE:KAJARIACER),KAJARIACER,KAJARIACER.NS,,,,,,,,,,,,
GRAVITA INDIA LIMITED (XNSE:GRAVITA),GRAVITA,GRAVITA.NS,,,,,,,,,,,,
SIGNATUREGLOBAL (INDIA) LIMITED (XNSE:SIGNATURE),SIGNATURE,SIGNATURE.NS,,,,,,,,,,,,
BAJAJ FINSERV LIMITED (XNSE:BAJAJFINSV),BAJAJFINSV,BAJAJFINSV.NS,,,,,,,,,,,,
SKF INDIA LIMITED (XNSE:SKFINDIA),SKFINDIA,SKFINDIA.NS,,,,,,,,,,,,
ULTRATECH CEMENT LIMITED (XNSE:ULTRACEMCO),ULTRACEMCO,ULTRACEMCO.NS,,,,,,,,,,,,
CIPLA LIMITED (XNSE:CIPLA),CIPLA,CIPLA.NS,,,,,,,,,,,,
JINDAL STAINLESS LIMITED (XNSE:JSL),JSL,JSL.NS,,,,,,,,,,,,
AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED (XNSE:AIIL),AIIL,AIIL.NS,,,,,,,,,,,,
WELSPUN CORP LIMITED (XNSE:WELCORP),WELCORP,WELCORP.NS,,,,,,,,,,,,
INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED (XNSE:IGIL),IGIL,IGIL.NS,,,,,,,,,,,,
OLECTRA GREENTECH LIMITED (XNSE:OLECTRA),OLECTRA,OLECTRA.NS,,,,,,,,,,,,
SJVN Limited (XNSE:SJVN),SJVN,SJVN.NS,,,,,,,,,,,,
JAMMU AND KASHMIR BANK LIMITED (XNSE:J&KBANK),J&KBANK,J&KBANK.NS,,,,,,,,,,,,
ITI LIMITED (XNSE:ITI),ITI,ITI.NS,,,,,,,,,,,,
RELIANCE INDUSTRIES LIMITED (XNSE:RELIANCE),RELIANCE,RELIANCE.NS,,,,,,,,,,,,
Escorts Kubota Limited (XNSE:ESCORTS),ESCORTS,ESCORTS.NS,,,,,,,,,,,,
V GUARD INDUSTRIES LIMITED (XNSE:VGUARD),VGUARD,VGUARD.NS,,,,,,,,,,,,
THE FEDERAL BANK LTD (XNSE:FEDERALBNK),FEDERALBNK,FEDERALBNK.NS,,,,,,,,,,,,
INDEGENE LIMITED (XNSE:INDGN),INDGN,INDGN.NS,,,,,,,,,,,,
AMBER ENTERPRISES INDIA LIMITED (XNSE:AMBER),AMBER,AMBER.NS,,,,,,,,,,,,
E.I.D PARRY (INDIA) LIMITED (XNSE:EIDPARRY),EIDPARRY,EIDPARRY.NS,,,,,,,,,,,,
COLGATE-PALMOLIVE (INDIA) LIMITED (XNSE:COLPAL),COLPAL,COLPAL.NS,,,,,,,,,,,,
Indian Overseas Bank (XNSE:IOB),IOB,IOB.NS,,,,,,,,,,,,
NETWEB TECHNOLOGIES INDIA LIMITED (XNSE:NETWEB),NETWEB,NETWEB.NS,,,,,,,,,,,,
SONATA SOFTWARE LIMITED (XNSE:SONATSOFTW),SONATSOFTW,SONATSOFTW.NS,,,,,,,,,,,,
BAYER CROPSCIENCE LIMITED (XNSE:BAYERCROP),BAYERCROP,BAYERCROP.NS,,,,,,,,,,,,
DABUR INDIA LIMITED (XNSE:DABUR),DABUR,DABUR.NS,,,,,,,,,,,,
JINDAL SAW LIMITED (XNSE:JINDALSAW),JINDALSAW,JINDALSAW.NS,,,,,,,,,,,,
KNR CONSTRUCTIONS LIMITED (XNSE:KNRCON),KNRCON,KNRCON.NS,,,,,,,,,,,,
LARSEN AND TOUBRO LIMITED (XNSE:LT),LT,LT.NS,,,,,,,,,,,,
GLENMARK PHARMACEUTICALS LIMITED (XNSE:GLENMARK),GLENMARK,GLENMARK.NS,,,,,,,,,,,,
SHREE CEMENT LIMITED (XNSE:SHREECEM),SHREECEM,SHREECEM.NS,,,,,,,,,,,,
JM FINANCIAL LIMITED (XNSE:JMFINANCIL),JMFINANCIL,JMFINANCIL.NS,,,,,,,,,,,,
EMCURE PHARMACEUTICALS LIMITED (XNSE:EMCURE),EMCURE,EMCURE.NS,,,,,,,,,,,,
GAIL (INDIA) LIMITED (XNSE:GAIL),GAIL,GAIL.NS,,,,,,,,,,,,
JSW ENERGY LIMITED (XNSE:JSWENERGY),JSWENERGY,JSWENERGY.NS,,,,,,,,,,,,
NARAYANA HRUDAYALAYA Limited (XNSE:NH),NH,NH.NS,,,,,,,,,,,,
TATA MOTORS LIMITED (XNSE:TATAMOTORS),TATAMOTORS,TATAMOTORS.NS,,,,,,,,,,,,
NTPC LIMITED (XNSE:NTPC),NTPC,NTPC.NS,,,,,,,,,,,,
AVENUE SUPERMARTS LIMITED (XNSE:DMART),DMART,DMART.NS,,,,,,,,,,,,
TATA ELXSI LIMITED (XNSE:TATAELXSI),TATAELXSI,TATAELXSI.NS,,,,,,,,,,,,
MMTC LIMITED (XNSE:MMTC),MMTC,MMTC.NS,,,,,,,,,,,,
