ticker,entry_date,exit_date,days_held,entry,exit,qty,reason,return_pct,pnl
KPITTECH,2021-11-15,2021-12-01,11,424.11,516.77,4,target,21.85,365.76
ATGL,2021-11-16,2021-12-16,21,1624.43,1979.36,526,target,21.85,184225.24
PRAJIND,2021-11-16,2021-12-22,25,346.98,290.0,282,stop,-16.42,-16302.22
IEX,2021-11-23,2021-12-14,15,237.12,257.6,3472,trailing,8.64,68871.49
KPRMILL,2021-11-24,2021-12-16,16,480.9,590.75,4,target,22.84,433.83
TATAELXSI,2021-11-24,2022-01-20,41,5751.38,7053.14,23,target,22.63,29557.54
TRIDENT,2021-11-25,2021-12-02,5,50.3,43.93,3558,stop,-12.66,-23087.56
JSWENERGY,2021-11-25,2021-12-09,10,299.89,287.39,2819,trailing,-4.17,-37392.24
KPITTECH,2021-12-02,2021-12-31,21,497.0,605.59,4,target,21.85,428.62
TRIDENT,2021-12-03,2021-12-17,10,41.82,51.32,3730,target,22.72,34992.96
JSWENERGY,2021-12-10,2022-01-18,27,293.05,295.36,2757,trailing,0.79,4264.69
HFCL,2021-12-13,2022-01-18,26,88.16,88.66,7713,trailing,0.58,2137.1
RTNINDIA,2021-12-15,2021-12-21,4,61.38,49.84,14533,stop,-18.81,-169879.6
SAREGAMA,2021-12-16,2022-01-07,16,477.11,477.48,1,trailing,0.08,-0.87
IEX,2021-12-16,2022-02-14,41,245.47,194.93,1,stop,-20.59,-51.12
FLUOROCHEM,2021-12-17,2022-01-05,13,2197.21,2688.24,389,target,22.35,188539.57
ANGELONE,2021-12-17,2022-01-20,24,107.68,135.65,7317,target,25.97,202319.9
ATGL,2021-12-17,2022-02-22,46,1873.19,1541.97,136,stop,-17.68,-45650.38
TRIDENT,2021-12-20,2022-01-14,19,49.27,60.63,3877,target,23.07,43514.37
HAPPSTMNDS,2021-12-21,2022-01-19,21,1177.37,1232.47,713,trailing,4.68,37051.18
RTNINDIA,2021-12-22,2022-01-11,14,50.21,63.31,14407,target,26.09,186608.33
BSE,2021-12-23,2022-01-21,21,202.91,218.49,402,trailing,7.68,6045.17
KPITTECH,2022-01-03,2022-01-18,11,602.66,698.23,4,trailing,15.86,375.52
KPRMILL,2022-01-04,2022-01-21,13,696.04,690.74,842,trailing,-0.76,-5983.73
FLUOROCHEM,2022-01-06,2022-01-24,12,2698.2,2652.15,349,trailing,-1.71,-18500.43
SAREGAMA,2022-01-10,2022-01-24,10,458.57,454.8,222,trailing,-0.82,-1099.63
RTNINDIA,2022-01-12,2022-02-11,21,63.64,50.99,14311,stop,-19.88,-183197.07
TRIDENT,2022-01-17,2022-02-10,17,63.41,55.02,3698,stop,-13.23,-31600.46
JSWENERGY,2022-01-19,2022-02-03,10,296.96,293.32,1757,trailing,-1.23,-7745.27
KPITTECH,2022-01-19,2022-02-11,16,694.62,566.28,1404,stop,-18.48,-182496.05
PERSISTENT,2022-01-20,2022-02-04,10,2064.0,2084.67,424,trailing,1.0,6478.9
HFCL,2022-01-20,2022-02-21,21,88.31,70.66,7,stop,-19.98,-124.94
CDSL,2022-01-20,2022-02-22,22,773.63,639.34,1,stop,-17.36,-136.13
ANGELONE,2022-01-21,2022-02-14,15,136.28,112.98,7159,stop,-17.1,-169150.34
JSL,2022-01-21,2022-02-24,23,213.26,173.32,826,stop,-18.73,-33402.87
BSE,2022-01-24,2022-02-08,10,218.51,220.36,3055,trailing,0.85,3908.6
FLUOROCHEM,2022-01-25,2022-02-09,10,2615.74,2827.58,358,trailing,8.1,73307.0
SAREGAMA,2022-01-25,2022-03-15,33,434.8,430.56,201,trailing,-0.98,-1078.88
JSWENERGY,2022-02-04,2022-02-24,14,291.58,311.46,1,trailing,6.82,19.09
KPRMILL,2022-02-04,2022-03-07,20,698.2,580.58,736,stop,-16.85,-87790.51
PERSISTENT,2022-02-07,2022-04-07,41,2091.98,2283.45,421,trailing,9.15,78213.24
BSE,2022-02-09,2022-02-23,10,221.91,220.39,3030,trailing,-0.68,-6335.23
FLUOROCHEM,2022-02-10,2022-05-09,57,2979.86,2424.58,316,stop,-18.63,-177688.63
TRIDENT,2022-02-11,2022-05-12,59,53.39,42.83,5076,stop,-19.77,-54219.95
KPITTECH,2022-02-14,2022-03-02,11,534.83,552.42,1502,trailing,3.29,24288.09
RTNINDIA,2022-02-14,2022-05-10,56,50.16,34.37,14303,stop,-31.47,-227355.96
ANGELONE,2022-02-15,2022-03-07,13,108.49,115.28,7437,trailing,6.26,48313.82
HFCL,2022-02-22,2022-03-25,21,69.34,71.01,7,trailing,2.4,10.39
IEX,2022-02-23,2022-04-11,31,193.08,218.76,1,trailing,13.3,25.14
TANLA,2022-02-23,2022-05-10,49,1455.87,1139.63,144,stop,-21.72,-46024.91
BSE,2022-02-24,2022-03-11,10,211.18,285.46,3153,target,35.17,232155.73
JSWENERGY,2022-02-25,2022-03-14,10,302.82,306.89,473,trailing,1.34,1549.32
KPITTECH,2022-03-03,2022-03-28,16,562.73,562.7,1470,trailing,-0.0,-2185.76
JSL,2022-03-03,2022-05-10,44,195.22,157.28,2,stop,-19.44,-76.81
ANGELONE,2022-03-08,2022-03-23,10,116.7,149.6,3665,target,28.2,119324.62
KPRMILL,2022-03-08,2022-03-30,15,582.7,601.35,1465,trailing,3.2,25069.7
BSE,2022-03-14,2022-03-29,10,287.31,285.7,3124,trailing,-0.56,-7349.6
JSWENERGY,2022-03-15,2022-04-12,19,310.54,332.47,466,trailing,7.06,9829.45
SAREGAMA,2022-03-16,2022-04-20,22,440.06,434.91,196,trailing,-1.17,-1232.3
ANGELONE,2022-03-24,2022-04-20,17,147.8,149.75,3702,trailing,1.32,5811.93
VTL,2022-03-28,2022-03-31,3,523.94,423.39,1,stop,-19.19,-101.78
KPITTECH,2022-03-29,2022-04-12,10,566.55,558.15,1456,trailing,-1.48,-14361.13
BSE,2022-03-30,2022-05-11,27,289.44,228.25,3076,stop,-21.14,-190303.04
KPRMILL,2022-03-31,2022-04-19,11,608.47,633.22,1444,trailing,4.07,33400.86
VTL,2022-04-01,2022-05-10,24,430.38,325.44,1,stop,-24.38,-105.92
TATAELXSI,2022-04-08,2022-05-06,17,8353.47,7126.75,114,stop,-14.69,-142140.48
SRF,2022-04-08,2022-05-06,17,2665.77,2272.13,2,stop,-14.77,-800.11
GNFC,2022-04-12,2022-04-28,10,755.11,747.3,1,trailing,-1.03,-9.76
JSWENERGY,2022-04-13,2022-05-10,16,332.46,271.58,10,stop,-18.31,-616.57
KPITTECH,2022-04-13,2022-05-25,27,563.12,447.09,1709,stop,-20.61,-200542.62
KPRMILL,2022-04-20,2022-05-06,11,632.52,616.94,1442,trailing,-2.46,-24810.08
ANGELONE,2022-04-21,2022-05-06,10,161.55,133.93,3949,stop,-17.1,-110590.58
GNFC,2022-04-29,2022-05-11,7,752.22,624.55,1,stop,-16.97,-129.46
ANGELONE,2022-05-09,2022-05-23,10,129.68,130.42,4239,trailing,0.57,1716.3
TATAELXSI,2022-05-09,2022-05-25,12,7095.88,7708.81,118,trailing,8.64,70055.77
KPRMILL,2022-05-09,2022-06-21,31,610.63,493.06,1380,stop,-19.25,-164234.61
RHIM,2022-05-10,2022-05-24,10,541.1,533.23,4,trailing,-1.45,-37.07
FLUOROCHEM,2022-05-10,2022-05-31,15,2315.85,2868.77,329,target,23.88,179693.2
JSL,2022-05-11,2022-05-24,9,159.89,116.61,10,stop,-27.07,-436.43
JSWENERGY,2022-05-11,2022-05-25,10,273.61,265.99,2372,trailing,-2.79,-19738.79
LINDEINDIA,2022-05-11,2022-06-20,28,3416.22,2742.68,2,stop,-19.72,-1363.09
BSE,2022-05-12,2022-05-26,10,230.93,211.07,3035,trailing,-8.6,-62031.63
TRIDENT,2022-05-13,2022-05-27,10,42.17,42.78,5144,trailing,1.44,2563.79
GNFC,2022-05-24,2022-08-22,62,589.02,640.62,936,trailing,8.76,46799.53
RHIM,2022-05-25,2022-06-08,10,541.0,539.36,6,trailing,-0.3,-18.26
ANGELONE,2022-05-25,2022-06-13,13,131.73,124.88,1,trailing,-5.2,-7.18
KPITTECH,2022-05-26,2022-06-09,10,449.0,514.66,1684,trailing,14.62,108460.53
JSWENERGY,2022-05-26,2022-06-09,10,267.65,238.5,7,trailing,-10.89,-208.69
ATGL,2022-05-26,2022-06-10,11,2227.85,2393.59,337,trailing,7.44,53830.72
TATAELXSI,2022-05-26,2022-06-15,14,7743.89,7784.76,102,trailing,0.53,2109.57
BSE,2022-05-27,2022-06-10,10,213.95,227.22,2986,trailing,6.2,37888.45
TRIDENT,2022-05-30,2022-06-16,13,44.1,35.92,4979,stop,-18.55,-41248.29
KEI,2022-06-01,2022-06-15,10,1231.47,1249.59,1,trailing,1.47,14.9
FLUOROCHEM,2022-06-01,2022-06-20,13,2917.03,2441.74,296,stop,-16.29,-142749.18
SOLARINDS,2022-06-01,2022-06-20,13,2634.46,2685.96,29,trailing,1.95,1292.93
CHALET,2022-06-01,2022-07-13,30,298.12,313.71,1,stale,5.23,14.79
RHIM,2022-06-09,2022-09-09,63,540.9,613.74,6,time,13.47,428.03
VEDL,2022-06-10,2022-06-20,6,62.61,48.07,293,stop,-23.22,-4302.43
KPITTECH,2022-06-10,2022-08-04,39,509.79,509.52,1663,trailing,-0.05,-2643.91
BSE,2022-06-13,2022-06-20,5,222.92,176.22,3695,stop,-20.95,-174462.23
ATGL,2022-06-13,2022-07-13,22,2332.85,2842.55,281,target,21.85,141336.6
HAL,2022-06-14,2022-08-11,41,878.88,1074.72,2,target,22.28,386.61
TATAELXSI,2022-06-16,2022-08-12,40,7964.79,9767.67,99,target,22.64,176203.42
KEI,2022-06-16,2022-09-09,58,1274.39,1550.2,4,target,21.64,1088.52
TRIDENT,2022-06-17,2022-07-13,18,34.62,34.7,5152,trailing,0.24,-44.29
LINDEINDIA,2022-06-21,2022-07-05,10,2765.24,3408.4,273,target,23.26,173392.7
FLUOROCHEM,2022-06-21,2022-07-08,13,2430.95,2957.05,28,target,21.64,14534.73
BSE,2022-06-21,2022-07-13,16,178.37,218.9,3613,target,22.72,144541.97
KPRMILL,2022-06-22,2022-07-22,22,490.86,560.64,3,trailing,14.22,205.25
ELGIEQUIP,2022-06-22,2022-08-16,37,384.72,422.1,1,trailing,9.72,36.33
SOLARINDS,2022-06-22,2022-08-17,38,2751.69,3347.21,246,target,21.64,144546.46
CGPOWER,2022-07-06,2022-07-25,13,194.04,214.78,4140,trailing,10.69,83639.58
FLUOROCHEM,2022-07-11,2022-07-28,13,2952.0,3228.71,70,trailing,9.37,18807.7
TRIDENT,2022-07-14,2022-07-28,10,34.86,35.4,23795,trailing,1.57,10856.07
ATGL,2022-07-14,2022-08-03,14,2686.66,3273.67,307,target,21.85,177833.11
BSE,2022-07-14,2022-08-04,15,219.12,217.42,504,trailing,-0.78,-1142.99
RAYMOND,2022-07-25,2022-09-19,37,335.32,407.89,5,target,21.64,358.02
WELCORP,2022-07-26,2022-08-10,10,202.09,198.02,17,trailing,-2.01,-78.06
CGPOWER,2022-07-26,2022-08-22,17,215.46,226.99,4101,trailing,5.35,44942.53
TRIDENT,2022-07-29,2022-08-16,10,36.59,34.8,4390,trailing,-4.91,-8289.17
FLUOROCHEM,2022-07-29,2022-08-22,14,3279.09,3392.08,276,trailing,3.45,28791.61
ATGL,2022-08-04,2022-09-05,19,3281.99,3524.0,283,trailing,7.37,65985.08
INDHOTEL,2022-08-05,2022-09-15,26,266.54,329.42,301,target,23.59,18692.05
