tv_symbol,grade,signal_week,sig_ctl_pct,sig_body_frac,sig_range_pct,entry_date,entry,stop,risk_pct,ext_vs_sma,crs_rank,exit_date,exit_px,pct_move,R,mfe_pct,mfe_R,mae_pct,reason,weeks_held,split_flag
NSE:JUBLINGREA,A,2025-06-13,16.31,0.61,21.37,2025-06-16,774.69,697.22,10.0,10.1,0.08,2025-06-23,695.88,-10.17,-1.02,1.28,0.13,-11.26,stop,1.0,
NSE:GLENMARK,B,2025-06-13,4.84,0.94,5.35,2025-06-18,1640.98,1585.11,3.4,7.3,0.07,2025-08-11,2013.16,22.68,4.33,38.89,11.42,-1.22,trail,7.7,
NSE:TVSMOTOR,A,2025-06-20,3.29,0.62,4.2,2025-06-23,2790.25,2710.03,2.88,9.34,0.06,2025-09-15,3496.08,25.3,5.4,28.67,9.97,-2.55,blowoff_half,12.0,
NSE:EICHERMOT,A,2025-06-20,3.98,0.93,4.47,2025-06-23,5424.66,5237.09,3.46,8.08,0.03,2025-12-01,7061.5,30.17,5.36,34.28,9.92,-2.58,blowoff_half,23.0,
NSE:PERSISTENT,A,2025-06-20,4.35,0.64,5.2,2025-06-23,6028.07,5804.47,3.71,8.31,0.03,2025-07-14,5530.16,-8.26,-2.23,1.88,0.51,-9.09,stop,3.0,
NSE:CRISIL,A,2025-06-20,8.0,0.77,10.09,2025-06-23,5519.54,5215.91,5.5,13.0,0.1,2025-08-04,5154.28,-6.62,-1.2,9.64,1.75,-8.23,stop,6.0,
NSE:ABBOTINDIA,A,2025-06-27,11.62,0.6,19.82,2025-06-30,34464.99,31018.49,10.0,18.55,0.11,2025-09-15,30900.0,-10.34,-1.03,2.89,0.29,-11.39,stop,11.0,
NSE:HINDPETRO,A,2025-06-27,12.63,0.86,14.8,2025-06-30,424.34,381.91,10.0,14.91,0.08,2025-09-01,373.11,-12.07,-1.21,3.45,0.35,-12.53,stop,9.0,
NSE:RADICO,A,2025-07-04,4.9,0.23,6.83,2025-07-07,2616.21,2498.38,4.5,11.97,0.05,2025-09-08,2785.0,6.45,1.72,12.72,2.82,-1.74,blowoff_half,9.0,
NSE:RAINBOW,A,2025-07-04,5.85,0.56,8.9,2025-07-07,1602.9,1505.9,6.05,11.64,0.04,2025-08-11,1490.0,-7.04,-1.16,2.67,0.44,-9.48,stop,5.0,
NSE:JUBLINGREA,A,2025-07-04,6.53,0.53,7.35,2025-07-07,774.69,731.83,5.53,9.15,0.04,2025-08-11,694.37,-10.37,-1.87,9.2,1.66,-12.3,stop,5.0,
NSE:ASAHIINDIA,B,2025-07-04,13.31,0.89,16.3,2025-07-08,809.08,733.26,9.37,16.09,0.15,2025-12-08,1032.0,27.55,2.47,32.74,3.49,-1.23,blowoff_half,21.9,
NSE:ECLERX,A,2025-07-11,4.6,0.36,7.62,2025-07-14,1737.07,1660.08,4.43,11.64,0.06,2025-07-28,1841.19,5.99,1.35,12.83,2.9,-1.04,blowoff,2.0,
