ticker,entry_date,exit_date,entry,exit,qty,days_held,reason,return_pct,pnl,decision_date,nms,nms_rank_pct,n_rankable,mr12,mr6,close,turnover_63d,nms_rank_in_band
VBL,2020-04-01,2020-04-23,46.8637,56.8117,46,12,rebalance_trim,21.2273,457.6043,2020-03-31,2.0713254281610345,0.8066666666666666,150,1.197572721749825,0.6700808758313217,46.224342346191406,144074426.7257309,30.000000000000004
ALKEM,2020-04-01,2020-04-27,2267.1302,2560.5807,1,14,rebalance_trim,12.9437,293.4505,2020-03-31,3.104793927967397,0.9533333333333334,150,1.877264202825237,1.4287387518950283,2189.167724609375,201818317.1734619,7.999999999999995
AJANTPHARM,2020-04-01,2020-04-28,865.5075,954.8443,3,15,rebalance_trim,10.3219,268.0103,2020-03-31,2.1975680619293847,0.8533333333333334,150,0.9632840640568258,0.9664526050918022,855.6746215820312,193396616.0991211,22.999999999999993
NAM-INDIA,2019-07-01,2020-04-28,204.6758,202.2664,12,201,rebalance_trim,-1.1772,-28.9132,2019-06-28,1.810948934112378,0.8066666666666666,150,0.15561363183350455,0.8398316168444871,182.4879150390625,124778024.98234558,30.000000000000004
PFIZER,2019-12-02,2020-04-28,3707.2737,4354.0812,1,99,rebalance_trim,17.447,646.8075,2019-11-29,2.316872973398421,0.9115646258503401,147,1.6384335970032162,0.975763536177862,3618.817138671875,70565915.30053711,13.999999999999998
AUBANK,2020-03-02,2020-04-30,416.4207,274.6082,8,38,rebalance_trim,-34.0551,-1134.5004,2020-02-28,2.388427704965702,0.9,150,2.5052950548991215,1.659674292797727,578.5567626953125,327188339.4400635,15.999999999999996
CREDITACC,2019-12-02,2020-04-30,574.9434,484.445,6,101,rebalance_trim,-15.7404,-542.9905,2019-11-29,2.23096030064135,0.8979591836734694,147,2.041374359040193,0.5805155068849507,795.6904907226562,69283869.71679688,16.0
AAVAS,2020-01-01,2020-05-04,1551.0143,1145.9783,21,81,rebalance_exit,-26.1143,-8505.7567,2019-12-31,2.835468316023622,0.952054794520548,146,3.3340896212491877,0.5662286016046635,1981.0999755859375,63611471.25,7.999999999999996
AUBANK,2020-03-02,2020-05-04,416.4207,256.339,91,39,rebalance_exit,-38.4423,-14567.4393,2020-02-28,2.388427704965702,0.9,150,2.5052950548991215,1.659674292797727,578.5567626953125,327188339.4400635,15.999999999999996
CREDITACC,2019-12-02,2020-05-04,574.9434,462.1012,51,102,rebalance_exit,-19.6267,-5754.9519,2019-11-29,2.23096030064135,0.8979591836734694,147,2.041374359040193,0.5805155068849507,795.6904907226562,69283869.71679688,16.0
DIXON,2020-01-01,2020-05-04,771.671,894.9022,3,81,rebalance_trim,15.9694,369.6938,2019-12-31,2.524169664144332,0.9246575342465754,146,1.7317558393719215,1.2759260801564625,757.2647705078125,84585337.83691406,11.999999999999995
INOXLEISUR,2020-03-02,2020-05-04,331.9824,207.2726,118,39,rebalance_exit,-37.5652,-14715.7577,2020-02-28,1.9955493591948623,0.8333333333333334,150,1.5775937197708487,1.6540593671104973,428.85,76979495.55,25.999999999999993
NAUKRI,2020-03-02,2020-05-04,511.7994,486.6545,53,39,rebalance_exit,-4.913,-1332.6802,2020-02-28,1.7993406157544523,0.8133333333333334,150,1.747343255886874,1.2634366307309093,508.1753845214844,560029094.2456055,28.999999999999996
WELCORP,2020-03-02,2020-05-04,122.8766,57.1985,415,39,rebalance_exit,-53.4504,-27256.4094,2020-02-28,1.9508393227143603,0.8266666666666667,150,2.1191279794343867,1.256993547891064,168.03976440429688,115177054.8223877,27.0
