ticker,entry_date,qty,basis,pnl,entry_px,last_exit,days_held,n_sells,n_trims,final_reason,nms,rank_in_band,n_rankable,mr12,mr6,turnover,return_pct,exit_px_eff
PVR,2022-09-01,48,86917.224,-1008.0855,1810.7755,2022-10-03,22,1,0,rebalance_exit,2.3533900964247083,12.999999999999996,150,1.4797747441859304,0.9425180144307144,896438825.4711914,-1.1598224766129208,1789.77371875
MRF,2022-09-14,1,83499.8584,2419.9642,83499.8584,2022-09-15,1,1,0,rebalance_exit,1.6240236228982086,35.0,150,0.0825298578641829,1.0039576842171272,669563409.65625,2.8981656332964514,85919.8226
APOLLOTYRE,2022-10-03,348,93752.8008,12446.8439,269.4046,2023-02-01,83,3,2,rebalance_exit,1.7782445076880486,25.999999999999996,150,0.3056895710431764,1.0176061639933744,617318361.6108398,13.2762368631018,305.17139281609195
ESCORTS,2022-10-03,58,120158.4174,-1166.8912,2074.5112,2023-03-01,103,5,4,rebalance_exit,1.9422168337950103,22.999999999999996,150,1.1370664914957695,0.6654376391171939,712602805.3203125,-0.9711273044779632,2051.5780379310345
KARURVYSYA,2022-10-03,1757,119782.9907,22965.6655,65.4321,2023-05-02,141,6,5,rebalance_exit,2.612105429558925,7.000000000000005,150,1.2485192595299728,1.3684363424902115,367346922.6740456,19.172726750092743,81.24567797381901
KRBL,2022-10-03,280,101429.7417,6518.0075,359.3791,2023-02-01,83,3,2,rebalance_exit,2.0218543312067254,21.0,150,0.2563459643538474,1.3318518851032726,281825300.99694824,6.426130433495918,385.5276757142857
TEJASNET,2022-10-03,173,116921.8908,-14437.461200000002,681.0804,2023-02-01,83,3,2,rebalance_exit,2.2597978795171345,14.0,150,0.8523049284817522,1.2188195909515327,299025670.9512329,-12.347953921388347,592.3955468208092
CUB,2022-10-03,921,113995.85819999999,-16111.845800000001,126.9244,2023-03-01,103,3,2,rebalance_exit,2.179381098172556,15.000000000000009,150,0.6063605966860969,1.286053185772042,430300789.92214966,-14.133711570233173,106.28014375678609
MRF,2022-10-03,1,81854.7855,8348.6961,81854.7855,2022-11-01,19,1,0,rebalance_exit,1.8232546388443605,24.0,150,0.1590588216719138,1.1653219403269506,941716029.515625,10.19939890991468,90203.4816
PIDILITIND,2022-10-03,77,101673.5566,-3462.9173,1320.4358,2022-11-01,19,1,0,rebalance_exit,1.6216949016068956,30.000000000000004,150,0.6649425304212774,0.6021160783539304,880656654.5761719,-3.4059173454742706,1275.462848051948
ASAHIINDIA,2022-10-03,161,101197.4033,-2770.8774,628.5553,2022-11-01,19,1,0,rebalance_exit,2.286683703148818,12.999999999999996,150,1.4578152656838712,0.8551768626479149,245788693.59832764,-2.7380914031812904,611.3448813664597
ELGIEQUIP,2022-10-03,263,111140.2227,2687.0606000000002,417.298,2023-01-02,62,3,2,rebalance_exit,3.1762948643054183,2.000000000000006,150,2.34434644255756,1.3072649756991708,236368996.94940183,2.41772108667909,432.80335855513306
NAVINFLUOR,2022-11-01,21,93977.9547,-9737.1769,4475.1407,2023-01-02,43,1,0,rebalance_exit,1.83144735942048,30.000000000000004,150,0.9062983533767794,0.354267409941096,681898055.6757812,-10.361128768000311,4011.4656095238092
MAZDOCK,2022-11-01,293,91500.8587,33504.0338,307.3224,2022-12-01,21,5,4,rebalance_exit,2.6174383078090244,9.000000000000002,150,1.4466422922953992,0.8242523331441381,928303846.1391602,36.61608675154433,426.6378583617747
KALYANKJIL,2022-11-01,985,100043.5398,7114.295700000001,101.4669,2023-06-01,144,4,3,rebalance_exit,2.889122646352628,7.000000000000005,150,0.7757670245385915,1.494394270223616,355611208.13243866,7.111199497960988,108.7896807106599
SIEMENS,2022-11-01,57,96454.0092,-2111.0779,1692.1756,2023-01-02,43,2,1,rebalance_exit,2.115014801724592,24.0,150,0.900799265683379,0.6424797019900006,871580807.3144531,-2.188688596264177,1655.139145614035
ABFRL,2022-11-01,293,102614.28420000001,-18528.3613,350.2194,2023-01-02,43,1,0,rebalance_exit,1.9256910150425453,28.000000000000007,150,0.8990163954390178,0.4532834884686358,732680265.1536255,-18.056317835719014,286.9826720136519
DEVYANI,2022-11-01,474,91750.1418,-2230.7336,193.5657,2022-12-01,21,1,0,rebalance_exit,2.0116799938608017,25.999999999999996,150,1.377482463601689,0.2564647591996747,624715747.5,-2.431313517599381,188.85951097046413
COCHINSHIP,2022-11-01,412,107784.4578,-155.13670000000002,256.6719,2023-01-02,43,3,2,rebalance_exit,2.2948312716737,20.000000000000007,150,0.8617819908240624,0.8462737483238988,325975638.57629395,-0.14393234717371284,261.23621626213594
BAJAJHLDNG,2022-11-01,15,95008.2075,-9790.746,6333.8805,2023-02-01,64,2,1,rebalance_exit,2.329724432636885,17.000000000000004,150,1.2406565084584202,0.6570622516367922,528767235.5170898,-10.305158109629632,5681.1641
KPITTECH,2022-11-01,130,91379.821,-1076.9297,702.9217,2023-01-02,43,1,0,rebalance_exit,2.497304044118748,10.000000000000009,150,2.2058108784892565,0.2541377219505772,955155357.2964478,-1.178520255582466,694.6376253846154
ABB,2022-11-01,27,81468.909,-1944.0454,3017.367,2022-12-01,21,1,0,rebalance_exit,3.191644322988356,4.999999999999993,150,1.7622938331954028,1.214421638471748,990532749.1782228,-2.3862420939011226,2945.3653185185185
RAYMOND,2022-12-01,94,126922.9664,22105.629199999996,1359.6474,2023-07-03,144,7,6,rebalance_exit,1.9255110515250269,24.0,150,1.571401426735091,0.4114490057085573,362442803.607666,17.416571505533295,1585.4105914893617
RITES,2022-12-01,610,99700.10800000001,-2086.2952,163.4428,2023-02-01,43,2,1,rebalance_exit,3.1322074631094026,4.000000000000003,150,1.3991897131875268,1.898166501110308,326364454.67871094,-2.0925706519796345,160.02264393442624
UNIONBANK,2022-12-01,1483,109749.33439999999,1595.0842,74.9798,2023-01-02,22,3,2,rebalance_exit,2.085542354368345,20.000000000000007,150,0.5992351876138667,1.2397798846648176,657974164.5207672,1.4533884954476772,75.08052501685772
