as_of,ticker,week_ending,weekly_close,weekly_low,weekly_high,sma44,close_above_sma,touch_ok,dist_to_sma_pct,is_signal,is_grade_a,crs_rank_dist
2026-07-31,TARIL,2026-07-31,296.5,292.65,304.1,320.9,False,True,-7.6,False,False,
2026-07-31,TATACHEM,2026-07-30,670.3,667.9,702.0,741.64,False,True,-9.62,False,False,
2026-07-31,TATACOMM,2026-07-31,1756.4,1713.0,1805.0,1719.2,True,True,2.16,False,False,
2026-07-31,TATACONSUM,2026-07-31,1083.1,1078.2,1123.4,1131.75,False,True,-4.3,False,False,
2026-07-31,TATAELXSI,2026-07-31,3672.9,3520.7,3725.0,4611.4,False,True,-20.35,False,False,
2026-07-31,TATAINVEST,2026-07-31,679.45,634.0,690.15,698.2,False,True,-2.69,False,False,
2026-07-31,TATAPOWER,2026-07-31,380.7,367.85,383.5,388.97,False,True,-2.13,False,False,
2026-07-31,TATATECH,2026-07-31,747.65,711.0,777.0,647.36,True,False,15.49,False,False,
2026-07-31,TBOTEK,2026-07-30,1498.5,1435.1,1555.0,1420.58,True,True,5.49,False,False,
2026-07-31,TCS,2026-07-31,2365.6,2272.4,2495.0,2628.11,False,True,-9.99,False,False,
2026-07-31,TECHM,2026-07-31,1651.3,1571.0,1686.6,1453.32,True,False,13.62,False,False,
2026-07-31,TECHNOE,2026-07-30,967.2,963.0,1008.7,1131.25,False,True,-14.5,False,False,
2026-07-31,TEJASNET,2026-07-31,513.0,491.95,532.0,477.43,True,True,7.45,False,False,
2026-07-31,THERMAX,2026-07-31,4306.0,3566.5,4571.0,3602.79,True,True,19.52,False,False,
2026-07-31,TIINDIA,2026-07-31,2753.0,2665.6,2891.4,2801.32,False,True,-1.72,False,False,
2026-07-31,TIMKEN,2026-07-30,3095.1,3066.32,3166.04,3250.0,False,True,-4.77,False,False,
2026-07-31,TITAGARH,2026-07-30,824.8,806.95,839.0,799.84,True,True,3.12,False,False,
2026-07-31,TITAN,2026-07-31,4875.2,4686.9,4886.0,4125.01,True,False,18.19,False,False,
2026-07-31,TORNTPHARM,2026-07-31,5122.8,4857.2,5140.7,4121.89,True,False,24.28,False,False,
2026-07-31,TRENT,2026-07-30,2999.2,2907.1,3042.6,3248.73,False,True,-7.68,False,False,
2026-07-31,TRIDENT,2026-07-31,24.71,24.62,25.43,25.72,False,True,-3.93,False,False,
2026-07-31,TRITURBINE,2026-07-30,607.5,604.1,627.0,550.86,True,False,10.28,False,False,
2026-07-31,TRIVENI,2026-07-31,221.5,220.05,247.5,373.46,False,True,-40.69,False,False,
2026-07-31,TTML,2026-07-31,39.95,38.34,41.2,45.55,False,True,-12.3,False,False,
2026-07-31,UBL,2026-07-30,1436.1,1410.1,1459.9,1545.76,False,True,-7.09,False,False,
2026-07-31,UCOBANK,2026-07-30,25.82,25.69,27.09,27.65,False,True,-6.64,False,False,
2026-07-31,ULTRACEMCO,2026-07-30,11847.0,11516.92,11861.0,11566.99,True,True,2.42,False,False,
2026-07-31,UNIONBANK,2026-07-30,170.4,167.7,173.46,162.06,True,True,5.15,False,False,
2026-07-31,UNITDSPR,2026-07-30,1531.9,1471.7,1536.8,1350.03,True,False,13.47,False,False,
2026-07-31,UNOMINDA,2026-07-31,1180.5,1135.0,1188.0,1169.57,True,True,0.93,False,False,
2026-07-31,UPL,2026-07-31,604.3,596.75,611.6,670.3,False,True,-9.85,False,False,
2026-07-31,USHAMART,2026-07-30,502.4,494.8,527.0,451.19,True,False,11.35,False,False,
2026-07-31,UTIAMC,2026-07-30,909.3,888.35,918.5,1010.2,False,True,-9.99,False,False,
2026-07-31,VBL,2026-07-31,442.3,422.53,469.48,470.33,False,True,-5.96,False,False,
2026-07-31,VEDL,2026-07-31,264.25,259.0,269.7,506.73,False,True,-47.85,False,False,
2026-07-31,VGUARD,2026-07-30,315.15,289.37,337.2,324.89,False,True,-3.0,False,False,
2026-07-31,VIJAYA,2026-07-30,1360.2,1308.2,1375.0,1093.59,True,False,24.38,False,False,
2026-07-31,VMM,2026-07-31,107.1,106.47,110.48,124.67,False,True,-14.09,False,False,
2026-07-31,VOLTAS,2026-07-31,1328.9,1295.5,1353.8,1365.65,False,True,-2.69,False,False,
2026-07-31,VTL,2026-07-31,585.8,582.5,650.0,520.06,True,False,12.64,False,False,
2026-07-31,WAAREEENER,2026-07-31,2680.2,2561.0,2783.3,3040.39,False,True,-11.85,False,False,
2026-07-31,WELCORP,2026-07-31,1650.6,1595.1,1700.0,1030.91,True,False,60.11,False,False,
2026-07-31,WELSPUNLIV,2026-07-31,155.94,155.21,168.63,135.11,True,False,15.41,False,False,
2026-07-31,WESTLIFE,2026-07-31,507.1,459.0,513.85,509.9,False,True,-0.55,False,False,
2026-07-31,WHIRLPOOL,2026-07-31,802.9,774.0,824.95,937.05,False,True,-14.32,False,False,
2026-07-31,WIPRO,2026-07-31,183.65,175.61,191.34,212.61,False,True,-13.62,False,False,
2026-07-31,WOCKPHARMA,2026-07-31,1959.7,1843.7,1966.0,1496.83,True,False,30.92,False,False,
2026-07-31,YESBANK,2026-07-31,22.77,22.46,23.18,21.9,True,True,3.97,False,False,
2026-07-31,ZEEL,2026-07-30,112.21,105.8,113.7,94.69,True,False,18.5,False,False,
2026-07-31,ZENSARTECH,2026-07-30,520.9,502.2,553.1,597.76,False,True,-12.86,False,False,
2026-07-31,ZENTEC,2026-07-30,1615.4,1600.0,1717.5,1504.67,True,True,7.36,False,False,
2026-07-31,ZFCVINDIA,2026-07-31,2417.9,2266.0,2435.0,2373.62,True,True,1.87,False,False,
2026-07-31,ZYDUSLIFE,2026-07-30,1115.1,1095.2,1132.0,969.64,True,False,15.0,False,False,
