trade_id,ticker,signal_date,bought_date,as_of_snapshot,provenance,entry,stop,target,grade,tier,crs_rank,ext_pct_over_sma44,band_width_pct,body_ratio,signal_conviction,stop_week_low,buy_zone_low,buy_zone_high,record_would_skip_as_extended,pattern,corporate_actions,stop_width_pct_card,status,r_multiple,return_pct,exit_reason,hold_days,close_date,close_price,designed_r,beyond_stop_r,gap_through,mae_r,mfe_r,capture_of_mfe,nifty_same_window_pct,stop_width_pct_engine,width_gap_pct,stop_width_pct,stop_width_basis,state,has_corporate_action,shares,position_size,entry_price_filled
GRAPHITE:2026-08-07,GRAPHITE,2026-08-07,2026-08-10,2026-08-07,reconstructed,709.95,654.35,821.15,A,signal,0.1141,12.59,12.5,0.585,normal,654.35,726.25,744.8,False,44-week SMA pullback,,7.8315,ACTIVE,,15.59,,35.0,,820.7,,,,,,,,,,7.8315,card,open,False,,,
HINDALCO:2026-08-07,HINDALCO,2026-08-07,2026-08-11,2026-08-07,reconstructed,1020.47,981.35,1098.71,A,signal,0.1233,9.76,7.7,0.889,normal,981.35,1020.47,1051.08,False,44-week SMA pullback,,3.8335,ACTIVE,,-7.25,,35.0,,977.0,,,,,,,,,,3.8335,card,open,False,,,
NATIONALUM:2026-08-07,NATIONALUM,2026-08-07,,2026-08-14,reconstructed,369.27,353.5,400.81,A,signal,0.0777,7.09,8.5,0.731,normal,353.5,369.27,380.35,False,44-week SMA pullback,,4.2706,,,,,,,,,,,,,,,,,4.2706,card,not_entered,False,,,
PTCIL:2026-08-07,PTCIL,2026-08-07,2026-08-10,2026-08-07,reconstructed,19076.0,17776.0,21676.0,A,signal,0.0991,9.94,8.6,0.8,normal,17776.0,18895.0,19400.0,False,44-week SMA pullback,,6.8148,ACTIVE,,13.01,,35.0,,21810.0,,,,,,,,,,6.8148,card,open,False,,,
UNIONBANK:2026-08-07,UNIONBANK,2026-08-07,2026-08-10,2026-08-07,reconstructed,183.6,171.4,208.0,A,signal,0.108,12.49,7.6,0.904,normal,171.4,178.15,183.49,False,44-week SMA pullback,,6.6449,ACTIVE,,-1.9,,35.0,,180.2,,,,,,,,,,6.6449,card,open,False,,,
ADANIPORTS:2026-08-14,ADANIPORTS,2026-08-14,2026-08-17,2026-08-17,reconstructed,1688.4,1640.4,1784.4,A,signal,0.0783,6.84,3.7,0.159,low,1640.4,1688.4,1703.4,False,44-week SMA pullback,,2.8429,ACTIVE,,5.18,,30.0,,1788.0,,,,,,,,,,2.8429,card,open,False,,,
APLAPOLLO:2026-08-14,APLAPOLLO,2026-08-14,2026-08-17,2026-08-14,reconstructed,2083.3,1951.7,2346.5,A,signal,0.0904,8.87,7.1,0.736,normal,1951.7,2083.3,2099.0,False,44-week SMA pullback,,6.3169,ACTIVE,,5.81,,30.0,,2214.7,,,,,,,,,,6.3169,card,open,False,,,
CCL:2026-08-14,CCL,2026-08-14,2026-08-17,2026-08-14,reconstructed,1133.4,1116.2,1167.8,A,signal,0.0774,8.63,3.0,0.16,low,1116.2,1133.4,1149.9,False,44-week SMA pullback,,1.5176,HIT_STOP,-2.18,-5.37,stop,5.0,2026-08-24,1079.99,-1.0,-1.18,True,-3.5632,0.4547,-4.7944,-0.2824,2.4633,38.392,2.4633,engine,closed,False,,,
IKS:2026-08-14,IKS,2026-08-14,2026-08-18,2026-08-14,reconstructed,1840.0,1725.0,2070.0,A,signal,0.1424,13.38,6.7,0.831,normal,1725.0,1840.0,1848.1,False,44-week SMA pullback,,6.25,ACTIVE,,-0.79,,30.0,,1815.8,,,,,,,,,,6.25,card,open,False,,,
MCX:2026-08-14,MCX,2026-08-14,2026-08-17,2026-08-14,reconstructed,2911.5,2620.35,3493.8,A,signal,0.1435,16.75,14.4,0.646,normal,2603.2,2911.5,2998.85,False,44-week SMA pullback,,10.0,ACTIVE,,14.42,,30.0,,3324.9,,,,,,,,,,10.0,card,open,False,70.03,203999.39,2913.1
